Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
DDBL,2026-03-22,885.0,915.0,885.0,914.9,3.38,70242.0,1010.0,759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHEL,2026-03-23,705.0,719.0,693.0,702.0,-0.43,40522.0,918.9,402.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHEL,2026-03-22,705.1,716.0,701.0,707.0,0.27,41639.0,918.9,402.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHPL,2026-03-23,333.0,333.6,323.6,326.0,-2.1,28116.0,415.0,265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHPL,2026-03-22,344.0,345.0,323.0,332.0,-3.49,35600.0,423.0,265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLBS,2026-03-23,1405.0,1444.0,1405.0,1441.0,2.56,1921.0,1684.0,1240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLBS,2026-03-22,1379.0,1417.8,1357.0,1405.0,1.89,2845.0,1684.0,1240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLTI,2026-03-23,520.0,520.0,506.1,513.0,-1.35,13031.0,719.0,470.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLTI,2026-03-22,529.0,529.0,514.1,519.0,-1.89,12608.0,737.5,470.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DORDI,2026-03-23,314.0,315.0,306.9,313.0,-0.32,252160.0,450.0,213.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DORDI,2026-03-22,319.5,320.0,310.0,314.0,-1.72,384596.0,450.0,213.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBL,2026-03-23,718.0,718.0,708.0,712.0,-0.84,75760.0,780.6,594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBL,2026-03-22,718.0,719.9,714.0,717.8,-0.03,84538.0,780.6,594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBLD85,2026-03-23,1193.0,1193.0,1190.0,1190.0,-0.25,41.0,1250.0,1102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBLD85,2026-03-22,1170.0,1170.0,1170.0,1170.0,0.0,50.0,1250.0,1102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBLD86,2026-03-23,1080.0,1080.0,1080.0,1079.0,-0.09,30.0,1150.0,1010.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBLD86,2026-03-22,1100.0,1100.0,1100.0,1100.0,0.0,55.0,1150.0,1010.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDBL,2026-03-23,635.0,636.0,620.2,621.3,-2.16,77275.0,717.3,545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDBL,2026-03-22,634.9,639.0,624.7,632.0,-0.46,64090.0,717.3,545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHPL,2026-03-23,450.2,454.0,441.2,449.5,-0.16,49939.0,768.0,385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHPL,2026-03-22,465.2,465.2,446.1,449.0,-3.48,148421.0,790.6,385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENL,2026-03-23,967.0,993.0,967.0,975.0,0.83,3185.0,1289.8,866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENL,2026-03-22,950.0,995.0,950.0,976.0,2.74,5256.0,1289.8,866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMDBL,2026-03-23,904.9,982.0,877.0,973.0,7.53,201402.0,1038.8,718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMDBL,2026-03-22,858.8,902.7,842.0,893.0,3.98,196627.0,1038.8,718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOWAD,2026-03-23,1174.0,1174.0,1134.0,1145.0,-2.47,6198.0,1324.4,1012.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOWAD,2026-03-22,1130.0,1152.0,1090.0,1151.0,1.86,13821.0,1324.4,1012.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBBL,2026-03-23,443.0,444.0,429.0,436.0,-1.58,95441.0,498.0,367.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBBL,2026-03-22,438.9,445.0,433.1,440.0,0.25,138959.0,498.0,367.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBILD84/85,2026-03-23,1222.0,1224.0,1222.0,1224.0,0.16,125.0,1238.0,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBILD84/85,2026-03-22,1200.0,1200.0,1200.0,1200.0,0.0,25.0,1238.0,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBILD86/87,2026-03-23,1075.1,1090.0,1060.0,1069.0,-0.57,1390.0,1142.0,1016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBILD86/87,2026-03-22,1113.0,1113.0,1081.0,1081.0,-2.88,1660.0,1142.0,1016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBIME,2026-03-23,257.9,258.9,251.0,255.7,-0.85,343618.0,278.9,210.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBIME,2026-03-22,253.9,258.2,250.0,256.9,1.18,790003.0,278.9,210.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBIMESY2,2026-03-23,9.42,9.98,9.42,9.59,1.8,6010.0,10.18,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBIMESY2,2026-03-22,9.58,9.89,9.39,9.6,0.21,4270.0,10.18,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBLBS,2026-03-23,835.9,844.5,819.2,825.0,-1.3,12811.0,950.0,698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBLBS,2026-03-22,808.0,843.8,800.0,835.9,3.45,33922.0,950.0,698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCIL,2026-03-23,470.0,489.9,458.3,476.0,1.28,135998.0,579.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCIL,2026-03-22,451.0,475.0,451.0,470.0,4.21,127382.0,579.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFCL,2026-03-23,716.0,716.0,695.1,705.0,-1.54,25115.0,756.8,528.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFCL,2026-03-22,695.0,706.0,685.1,702.0,1.01,59281.0,756.8,528.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHL,2026-03-23,281.5,281.5,269.0,274.0,-2.66,386685.0,295.0,197.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHL,2026-03-22,289.0,289.0,272.0,276.0,-4.5,673229.0,299.0,197.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIBF1,2026-03-23,11.13,11.57,11.13,11.24,0.99,35700.0,11.68,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIBF1,2026-03-22,11.0,11.35,11.0,11.35,3.18,353350.0,11.68,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GILB,2026-03-23,1258.0,1280.0,1230.0,1266.0,0.64,14389.0,1441.6,1100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GILB,2026-03-22,1171.0,1249.0,1169.0,1237.9,5.71,9637.0,1441.6,1100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLBSL,2026-03-23,1985.0,2029.0,1966.6,2000.0,0.76,3173.0,3232.0,1838.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLBSL,2026-03-22,1969.0,2004.0,1940.0,1985.0,0.81,3183.0,3232.0,1838.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLH,2026-03-23,318.4,318.4,305.0,312.5,-1.85,206538.0,328.2,227.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLH,2026-03-22,314.2,316.2,302.8,312.2,-0.64,631887.0,328.2,227.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMFBS,2026-03-23,1519.0,1519.0,1469.1,1506.0,-0.86,2142.0,1871.0,1385.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMFBS,2026-03-22,1487.0,1526.0,1465.0,1519.0,2.15,2783.0,1871.0,1385.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMFIL,2026-03-23,522.0,523.0,508.2,519.9,-0.4,80936.0,557.0,393.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMFIL,2026-03-22,505.0,518.0,500.0,512.0,1.39,95923.0,557.0,393.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMLI,2026-03-23,1791.9,1791.9,1760.0,1770.0,-1.22,5354.0,2778.0,1694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMLI,2026-03-22,1756.0,1783.0,1748.0,1759.0,0.17,6755.0,2778.0,1694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRDBL,2026-03-23,1156.4,1181.0,1141.5,1154.8,-0.14,12824.0,1668.4,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRDBL,2026-03-22,1142.7,1190.0,1142.7,1180.0,3.26,21737.0,1668.4,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSY,2026-03-23,10.08,10.08,9.72,10.0,-0.79,30810.0,10.4,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSY,2026-03-22,9.71,9.9,9.71,9.9,1.96,19126.0,10.4,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
