Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
AKJCL,2026-03-03,360.0,374.2,360.0,371.9,3.31,936347.0,396.0,172.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKJCL,2026-03-01,345.1,362.8,345.0,361.5,4.75,742035.0,396.0,172.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKPL,2026-03-19,305.0,317.0,301.2,310.0,1.64,1694102.0,317.0,216.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKPL,2026-03-17,290.0,300.0,284.5,299.5,3.28,1250967.0,306.5,216.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKPL,2026-03-16,293.0,294.1,284.2,289.9,-1.06,414888.0,306.5,216.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKPL,2026-03-15,300.0,300.0,290.0,293.0,-2.33,562706.0,306.5,216.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKPL,2026-03-12,282.1,297.5,282.0,295.0,4.57,985982.0,306.5,216.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKPL,2026-03-11,291.0,298.5,286.0,286.0,-1.72,581995.0,306.5,216.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKPL,2026-03-09,278.3,300.0,278.3,299.0,7.44,13810.0,306.5,216.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKPL,2026-03-03,272.8,274.8,257.4,272.9,0.04,253442.0,306.5,216.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKPL,2026-03-01,260.0,267.5,259.1,267.5,2.88,209735.0,306.5,216.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBSL,2026-03-19,1117.2,1174.0,1117.2,1160.0,3.83,34337.0,1250.0,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBSL,2026-03-17,1122.0,1144.4,1118.0,1140.0,1.6,13350.0,1250.0,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBSL,2026-03-16,1131.0,1190.0,1130.1,1143.9,1.14,10529.0,1250.0,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBSL,2026-03-15,1140.0,1203.0,1140.0,1154.0,1.23,10090.0,1250.0,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBSL,2026-03-12,1120.0,1187.0,1120.0,1162.0,3.75,31172.0,1250.0,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBSL,2026-03-11,1145.0,1190.0,1123.0,1142.0,-0.26,5939.0,1250.0,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBSL,2026-03-09,1144.4,1190.5,1144.4,1190.5,4.03,1707.0,1250.0,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBSL,2026-03-03,1073.1,1133.0,1073.1,1122.0,4.56,7491.0,1250.0,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBSL,2026-03-01,1077.6,1113.0,1057.0,1095.0,1.61,8837.0,1250.0,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALICL,2026-03-19,475.0,485.5,470.9,483.7,1.83,87150.0,779.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALICL,2026-03-17,470.0,472.0,464.2,470.0,0.0,25076.0,779.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALICL,2026-03-16,471.5,476.0,465.3,469.5,-0.42,32109.0,779.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALICL,2026-03-15,482.0,485.0,475.2,476.4,-1.16,30850.0,779.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALICL,2026-03-12,477.0,485.0,471.1,481.2,0.88,40262.0,779.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALICL,2026-03-11,480.0,490.0,472.0,476.0,-0.83,44239.0,780.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALICL,2026-03-09,461.0,488.9,461.0,480.0,4.12,3038.0,783.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALICL,2026-03-03,446.0,454.5,445.3,452.0,1.35,33671.0,815.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALICL,2026-03-01,440.0,451.0,438.0,448.0,1.82,32164.0,831.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANLB,2026-03-19,6370.0,6599.0,6266.1,6500.0,2.04,710.0,6800.0,4920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANLB,2026-03-17,6421.0,6500.0,6420.0,6500.0,1.23,202.0,6800.0,4905.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANLB,2026-03-16,6425.0,6450.0,6401.1,6450.0,0.39,246.0,6800.0,4905.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANLB,2026-03-15,6415.1,6478.9,6400.0,6478.9,0.99,282.0,6800.0,4895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANLB,2026-03-12,6400.0,6524.8,6400.0,6410.1,0.16,239.0,6800.0,4895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANLB,2026-03-11,6350.0,6477.0,6350.0,6439.9,1.42,802.0,6800.0,4895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANLB,2026-03-09,6528.0,6528.0,6528.0,6528.0,0.0,10.0,6800.0,4895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANLB,2026-03-03,6350.0,6460.0,6350.0,6400.0,0.79,925.0,6800.0,4700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANLB,2026-03-01,6325.0,6390.0,6315.1,6350.0,0.4,1355.0,6800.0,4700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,2026-03-19,347.8,353.9,342.2,344.4,-0.98,1528471.0,355.0,258.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,2026-03-17,332.5,343.7,331.0,341.0,2.56,768540.0,355.0,258.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,2026-03-16,339.0,343.9,331.0,333.0,-1.77,566324.0,355.0,258.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,2026-03-15,343.0,343.0,335.2,339.8,-0.93,922715.0,355.0,258.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,2026-03-12,345.0,345.0,335.3,336.3,-2.52,719166.0,355.0,258.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,2026-03-11,341.0,355.0,336.2,340.0,-0.29,1303521.0,355.0,258.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,2026-03-09,323.0,345.0,323.0,340.0,5.26,47031.0,345.0,258.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,2026-03-03,316.0,319.0,312.2,317.0,0.32,483492.0,335.0,258.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,2026-03-01,312.4,321.0,308.0,316.0,1.15,1049844.0,335.0,258.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVYAN,2026-03-19,1070.0,1122.0,1070.0,1098.0,2.62,31275.0,1225.0,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVYAN,2026-03-17,1060.0,1092.0,1058.4,1087.9,2.63,7731.0,1225.0,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVYAN,2026-03-16,1082.0,1110.0,1071.1,1078.0,-0.37,20694.0,1225.0,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVYAN,2026-03-15,1040.0,1101.0,1030.0,1090.0,4.81,39625.0,1225.0,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVYAN,2026-03-12,1008.5,1046.0,1008.5,1035.0,2.63,7772.0,1225.0,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
