Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
ICFCD83,2026-03-25,1091.5,1091.5,1088.5,1088.5,-0.27,70.0,1368.9,1088.5,,,,,,,
ICFCD88,2026-03-25,1150.0,1150.0,1150.0,1171.0,1.83,51.0,1216.0,1044.1,,,,,,,
IGI,2026-03-25,490.9,490.9,475.0,478.0,-2.63,42668.0,600.0,392.0,,,,,,,
IHL,2026-03-25,524.0,527.0,520.0,521.0,-0.57,13943.0,718.0,490.0,,,,,,,
ILBS,2026-03-25,1055.0,1065.0,1029.0,1049.0,-0.57,11378.0,1311.0,795.2,,,,,,,
ILI,2026-03-25,475.0,475.0,466.0,467.0,-1.68,28857.0,500.0,405.0,,,,,,,
JBBD87,2026-03-25,1162.8,1162.8,1162.8,1162.8,0.0,10.0,1289.0,1042.0,,,,,,,
JBBL,2026-03-25,389.0,390.0,377.3,378.0,-2.83,222192.0,413.0,295.0,,,,,,,
JBLB,2026-03-25,1395.0,1395.0,1380.1,1384.0,-0.79,10449.0,1644.0,1270.7,,,,,,,
JFL,2026-03-25,468.0,468.0,452.0,453.0,-3.21,18769.0,558.0,395.0,,,,,,,
JHAPA,2026-03-25,1466.2,1494.0,1405.1,1430.0,-2.47,16859.0,1749.0,293.4,,,,,,,
JOSHI,2026-03-25,325.0,325.0,314.0,314.9,-3.11,82312.0,487.0,254.0,,,,,,,
JSLBB,2026-03-25,1245.0,1245.0,1230.0,1230.0,-1.2,1898.0,1535.8,1059.0,,,,,,,
KBL,2026-03-25,245.0,248.0,240.1,241.8,-1.31,1676626.0,256.0,175.5,,,,,,,
KBSH,2026-03-25,1743.0,1743.0,1721.0,1721.0,-1.26,354.0,2579.0,1618.0,,,,,,,
KDBY,2026-03-25,10.34,10.72,10.34,10.52,1.74,110115.0,10.72,8.67,,,,,,,
KDL,2026-03-25,900.0,914.0,895.0,902.0,0.22,3373.0,1212.0,770.0,,,,,,,
KEF,2026-03-25,9.82,10.03,9.82,9.95,1.32,51320.0,10.42,8.31,,,,,,,
KKHC,2026-03-25,297.8,297.8,288.0,290.0,-2.62,103429.0,475.9,208.0,,,,,,,
KMCDB,2026-03-25,977.1,996.0,970.0,976.0,-0.11,9397.0,1223.0,893.0,,,,,,,
KPCL,2026-03-25,541.5,548.0,529.0,536.0,-1.02,112410.0,711.0,491.0,,,,,,,
KSBBL,2026-03-25,511.0,518.0,504.2,506.0,-0.98,134747.0,588.0,404.1,,,,,,,
KSBBLD87,2026-03-25,1162.8,1162.8,1162.8,1162.8,0.0,155.0,1178.1,1041.3,,,,,,,
KSY,2026-03-25,9.7,9.9,9.7,9.9,2.06,2200.0,10.51,8.21,,,,,,,
LBBL,2026-03-25,540.0,544.8,514.0,519.0,-3.89,167124.0,646.3,376.5,,,,,,,
LBBLD89,2026-03-25,1320.0,1342.0,1320.0,1342.0,1.67,150.0,1346.0,1150.1,,,,,,,
LBLD86,2026-03-25,1132.0,1132.0,1132.0,1132.0,0.0,15.0,1205.0,1077.4,,,,,,,
LEC,2026-03-25,267.0,268.3,257.0,257.6,-3.52,432207.0,276.0,180.0,,,,,,,
LICN,2026-03-25,896.0,896.0,868.7,875.0,-2.34,39283.0,1052.0,773.0,,,,,,,
LLBS,2026-03-25,1050.0,1055.0,1028.0,1052.5,0.24,2121.0,1300.5,865.0,,,,,,,
LSL,2026-03-25,235.2,240.0,232.3,233.9,-0.55,352849.0,252.0,201.0,,,,,,,
LUK,2026-03-25,9.83,10.0,9.83,10.0,1.73,4400.0,11.97,8.97,,,,,,,
LVF2,2026-03-25,10.0,10.05,9.95,9.95,-0.5,6100.0,11.45,8.76,,,,,,,
MABEL,2026-03-25,749.0,784.0,735.0,769.0,2.67,35225.0,927.0,317.7,,,,,,,
MAKAR,2026-03-25,546.0,550.0,538.0,544.8,-0.22,21838.0,802.0,515.0,,,,,,,
MANDU,2026-03-25,851.0,865.0,848.0,850.0,-0.12,3127.0,970.0,766.5,,,,,,,
MATRI,2026-03-25,1005.0,1014.9,1001.1,1012.9,0.79,2063.0,1347.0,904.0,,,,,,,
MBJC,2026-03-25,321.5,325.9,315.0,318.0,-1.09,87125.0,371.0,270.0,,,,,,,
MBL,2026-03-25,269.2,284.0,265.4,267.0,-0.82,301037.0,284.0,205.0,,,,,,,
MBLEF,2026-03-25,10.45,10.8,10.32,10.4,-0.48,5000.0,10.8,8.59,,,,,,,
MCHL,2026-03-25,428.0,428.0,416.6,420.0,-1.87,6294.0,641.0,392.0,,,,,,,
MDB,2026-03-25,670.0,670.0,651.0,655.9,-2.1,18072.0,729.7,530.5,,,,,,,
MEHL,2026-03-25,492.5,492.5,469.0,470.0,-4.57,62249.0,580.0,372.4,,,,,,,
MEL,2026-03-25,310.5,310.5,298.1,298.6,-3.83,35732.0,350.0,255.0,,,,,,,
MEL,,,,,,,,,,164.0,323.0,298.6,0.0,-4001.6,-4001.6,-7.55
MEN,2026-03-25,630.0,630.6,616.0,624.0,-0.95,193506.0,683.4,535.0,,,,,,,
MERO,2026-03-25,815.0,815.0,785.0,790.1,-3.06,22893.0,1000.0,668.0,,,,,,,
MFIL,2026-03-25,887.0,938.0,857.0,865.0,-2.48,186554.0,938.0,545.0,,,,,,,
MFLD85,2026-03-25,1126.0,1126.0,1126.0,1126.0,0.0,25.0,1201.0,1051.8,,,,,,,
MHCL,2026-03-25,388.0,390.0,380.0,383.0,-1.29,22546.0,543.9,325.0,,,,,,,
MHL,2026-03-25,560.0,560.0,548.0,548.0,-2.14,28541.0,738.7,445.0,,,,,,,
MHNL,2026-03-25,315.0,316.0,305.3,311.9,-0.98,63426.0,324.0,226.0,,,,,,,
MKCL,2026-03-25,1430.0,1458.0,1414.1,1423.0,-0.49,3809.0,1900.0,1333.0,,,,,,,
MKHC,2026-03-25,353.0,358.0,349.1,349.1,-1.1,45221.0,546.0,310.7,,,,,,,
MKHL,2026-03-25,785.0,817.0,780.0,798.0,1.66,11819.0,1027.0,652.0,,,,,,,
MKJC,2026-03-25,552.0,552.0,535.0,537.9,-2.55,41412.0,635.0,475.5,,,,,,,
MLBBL,2026-03-25,1380.0,1389.7,1348.0,1365.0,-1.09,8676.0,1690.0,1285.0,,,,,,,
MLBL,2026-03-25,408.0,410.0,399.0,400.0,-1.96,87148.0,468.6,348.9,,,,,,,
MLBS,2026-03-25,1515.0,1536.0,1509.2,1536.0,1.39,1450.0,1900.0,1395.0,,,,,,,
MLBSL,2026-03-25,1970.1,1985.0,1955.0,1976.0,0.3,1208.0,2435.5,1808.4,,,,,,,
MMF1,2026-03-25,10.0,10.0,9.62,9.83,-1.7,37750.0,10.09,8.22,,,,,,,
MMKJL,2026-03-25,572.0,579.9,568.5,568.5,-0.61,9399.0,732.9,528.2,,,,,,,
MNBBL,2026-03-25,404.0,409.0,401.0,401.0,-0.74,74481.0,503.0,340.1,,,,,,,
MND84/85,2026-03-25,1081.3,1100.0,1081.3,1100.0,1.73,150.0,1128.0,1031.1,,,,,,,
MNMF1,2026-03-25,10.1,10.15,9.92,10.0,-0.99,276804.0,10.15,8.53,,,,,,,
MPFL,2026-03-25,715.0,729.0,705.3,705.3,-1.36,59551.0,744.0,491.0,,,,,,,
MSHL,2026-03-25,815.0,815.0,800.0,809.0,-0.74,831.0,979.0,782.0,,,,,,,
MSLB,2026-03-25,1449.5,1449.5,1385.0,1390.0,-4.1,5885.0,1710.0,1130.2,,,,,,,
NABBC,2026-03-25,1489.0,1599.3,1431.0,1460.0,-1.95,38792.0,1917.0,662.0,,,,,,,
NABIL,2026-03-25,544.0,548.0,538.0,539.0,-0.92,133329.0,562.0,471.0,,,,,,,
NABILD2089,2026-03-25,1050.0,1050.0,1050.0,1050.0,0.0,25.0,1125.0,1000.0,,,,,,,
NABILD87,2026-03-25,1142.0,1142.0,1142.0,1142.0,0.0,25.0,1200.0,1040.0,,,,,,,
NADEP,2026-03-25,833.2,844.0,815.6,831.6,-0.19,11307.0,1046.0,696.0,,,,,,,
NBF2,2026-03-25,10.15,10.55,10.05,10.05,-0.99,26020.0,11.1,8.89,,,,,,,
NBF3,2026-03-25,10.0,10.22,10.0,10.05,0.5,94757.0,10.67,8.35,,,,,,,
NBL,2026-03-25,283.9,284.0,277.0,278.9,-1.76,215500.0,313.0,225.4,,,,,,,
NESDO,2026-03-25,1665.0,1665.0,1569.0,1600.0,-3.9,2503.0,1894.0,1380.1,,,,,,,
NFS,2026-03-25,671.7,673.0,660.0,661.0,-1.59,18479.0,851.0,576.0,,,,,,,
NGPL,2026-03-25,500.8,500.8,480.0,484.0,-3.35,1082912.0,502.0,254.8,,,,,,,
