Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,Buy_Signal,Sell_Signal,Signal
MHNL,2025-06-26,287.0,294.0,275.0,280.79,-2.16,40188704.0,264.4620619010342,264.347849496362,67.85899397187293,True,False,Buy
CBLD88,2025-06-23,1178.0,1178.0,1178.0,1178.0,0.0,235600.0,1148.0615079429501,1146.3740499602009,53.21888412017168,True,False,Buy
SBD89,2025-06-23,1140.0,1140.0,1140.0,1155.0,1.32,9240.0,1149.2845370766474,1149.1917053394984,64.66274085144846,True,False,Buy
KKHC,2025-06-22,355.4,369.8,353.5,355.53,0.04,13397595.0,350.27436137259576,350.2419116475144,57.135014787714745,True,False,Buy
NMBPO,2025-06-22,125.5,125.5,125.5,125.5,0.0,5774380.5,127.76190476190476,127.90196078431373,0.0,False,True,Sell
KPCL,2025-06-18,558.0,574.9,537.0,559.13,0.2,15670416.0,537.4532159646878,536.1839387129489,64.2182533159415,True,False,Buy
LEC,2025-06-16,217.0,227.9,214.5,221.21,1.94,117778180.0,215.0514329390137,214.9147296418569,64.38496623779,True,False,Buy
OHL,2025-06-16,900.0,946.0,897.0,941.82,4.65,77550536.0,899.4313337600248,898.1789078985323,55.802318909702755,True,False,Buy
MEN,2025-06-12,607.6,629.0,607.6,617.56,1.64,279916600.0,586.1664050249287,585.8106226250181,63.438476444193704,True,False,Buy
NLICP,2025-06-12,413.0,413.0,413.0,413.0,0.0,5782000.0,428.38095238095235,429.3333333333333,0.0,False,True,Sell
SRLIP,2025-06-10,218.6,218.6,214.3,214.3,-1.97,14841186.0,222.17142886207216,222.65882364908853,0.0,False,True,Sell
SADBLP,2025-06-09,201.0,201.0,201.0,201.0,0.0,3354288.0,204.61904761904762,204.84313725490196,0.0,False,True,Sell
CGH,2025-06-08,899.0,918.0,896.0,901.47,0.27,62155036.0,875.8329483703503,875.7409695115356,64.80525520432788,True,False,Buy
BARUN,2025-06-04,493.0,502.0,479.0,480.72,-2.49,201187890.0,520.8969241065324,521.6803882903567,24.415230897248364,False,True,Sell
SMATAP,2025-06-02,443.0,443.0,443.0,443.0,0.0,2564970.0,451.14285714285717,451.64705882352945,0.0,False,True,Sell
GSY,2025-06-02,9.04,9.4,9.04,9.4,3.98,251493.0,9.18780134886954,9.174731286154168,53.947356037843214,True,False,Buy
LSL,2025-06-02,235.0,235.6,227.0,228.15,-2.91,62952430.0,217.4268230777096,217.34227783567803,68.51686885049979,True,False,Buy
CIZBD90,2025-05-26,1185.0,1207.0,1163.0,1207.0,1.86,654788.5,1149.3715212184052,1148.8564358607719,68.12227074235807,True,False,Buy
SADBL,2025-05-22,443.9,445.0,426.0,427.74,-3.64,72861060.0,406.1041425389299,406.02147174730334,67.94094698061348,True,False,Buy
TPC,2025-05-19,354.0,381.7,354.0,381.7,7.82,25917130.0,555.4715416452523,558.3142830929896,21.566882222038686,False,True,Sell
PMHPL,2025-05-19,293.4,295.0,286.1,287.98,-1.85,3061021.0,304.2715647485711,304.623966183544,22.89580469528795,False,True,Sell
NMLBBLP,2025-05-19,340.0,340.0,340.0,340.0,0.0,1532720.0,363.53242682978146,364.9841601684524,0.38170250733237765,False,True,Sell
LBLD86,2025-05-18,1106.7,1106.7,1106.7,1106.7,0.0,27667.5,1093.4600735870852,1093.0632570049158,54.181536426476065,True,False,Buy
GWFD83,2025-05-18,1167.9,1167.9,1167.9,1121.8,-3.95,2266.4,1196.6457113331953,1197.6973638519412,21.71129411007817,False,True,Sell
JOSHI,2025-05-14,456.5,464.0,430.3,435.73,-4.55,84881510.0,391.0037926225494,390.09696628554815,68.67777522561279,True,False,Buy
PCBLP,2025-05-13,105.0,105.0,105.0,105.0,0.0,3165960.0,105.19736353597506,105.1995421886829,25.000953652489045,False,True,Sell
SANIMA,2025-05-07,307.0,310.0,299.7,307.33,0.11,19956746.0,304.06953513671016,303.89933872159276,55.68144486560529,True,False,Buy
