Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,Crossover
UMHL,2025-01-05,321.0,336.9,321.0,336.0,4.35 %,"107,567.00",328.2563626260275,328.159618004538,42.44031830238728,True
RBCL,2024-12-05,17544.0,18409.0,17500.0,17900.0,4.07 %,"3,324.00",17177.38288867902,17141.40592549503,66.62802318608833,True
AKJCL,2024-12-05,219.5,227.0,216.0,217.0,-3.04 %,"487,617.00",213.36827533894487,213.23976187096315,55.6840077071291,True
STC,2024-12-02,5834.0,6390.0,5834.0,6200.0,5.96 %,"16,586.00",5865.588387298817,5856.401424440593,61.102529445838975,True
SJLIC,2024-12-02,518.0,518.0,502.2,506.0,-0.37 %,"96,443.00",489.9556303850146,489.43013133534356,48.383620689655174,True
HEI,2024-12-02,679.3,691.0,670.0,685.0,0.84 %,"26,517.00",674.7267628054781,674.3835345667701,40.78048780487805,True
KDL,2024-12-02,1097.0,1224.0,1097.0,1200.0,7.25 %,"47,588.00",1112.4186273433352,1110.444839574326,59.47242206235013,True
SHINE,2024-12-01,480.0,497.5,473.1,491.5,1.93 %,"138,254.00",479.22813584784177,478.699193674955,50.837988826815646,True
MERO,2024-11-28,784.0,809.8,782.0,788.0,-1.50 %,"9,494.00",780.0117098462014,779.9745885358291,53.89221556886227,True
PPCL,2024-11-28,284.1,306.4,282.0,301.8,8.33 %,"260,428.00",274.85805553962126,274.4696410043059,70.79152731326646,True
HLBSL,2024-11-27,1007.0,1042.0,1007.0,1037.9,3.07 %,"9,003.00",1004.0006557304018,1003.4907231835514,65.72487262621586,True
NICL,2024-11-27,1024.0,1024.0,1007.1,1021.0,1.49 %,"20,991.00",1004.5678704858071,1003.8209105071492,46.3235294117647,True
UPPER,2024-11-27,220.0,220.0,216.0,217.9,0.79 %,"235,371.00",216.97368052388038,216.91878886041303,48.41498559077811,True
KSBBL,2024-11-27,467.1,476.0,465.0,471.0,1.07 %,"32,734.00",466.1377569728415,465.9738591808882,58.60091743119266,True
BBC,2024-11-27,4590.0,4950.0,4590.0,4950.0,10.00 %,"4,229.00",4357.909318325335,4333.720332549694,73.21289821289822,True
TRADING,2024-11-27,3606.66,3872.8,3606.65,3870.86,9.27 %,"38,255,167.90",3594.820741912216,3591.5884703012657,70.97018512314838,True
GVL,2024-11-26,561.0,592.6,549.0,586.0,6.55 %,"43,715.00",561.1522318083108,560.9534468946152,62.77777777777777,True
NFS,2024-11-26,1428.9,1581.0,1397.5,1550.0,6.31 %,"319,916.00",1441.664177294625,1436.547843703319,53.835532371893215,True
LLBS,2024-11-24,1136.1,1158.9,1136.1,1153.0,-0.26 %,"1,736.00",1117.6466119758115,1116.3132324508565,75.80586743933358,True
VLBS,2024-11-21,947.4,959.0,916.0,930.0,0.11 %,"24,598.00",915.245694340991,915.166619351903,66.54578422484136,True
NYADI,2024-11-20,337.0,343.3,324.0,343.3,1.87 %,"9,043.00",332.2706845050053,332.2096510194465,64.03361344537817,True
CBBL,2024-11-20,970.0,985.0,960.1,985.0,1.44 %,"9,403.00",976.0693994372134,975.5258097190325,55.939524838012964,True
MKJC,2024-11-19,550.1,553.9,513.0,520.0,-5.28 %,"83,442.00",501.55030014054734,501.0904061831067,66.53968253968254,True
USLB,2024-11-19,1800.0,1800.0,1680.0,1680.0,-5.31 %,"14,479.00",1555.846987979833,1552.0316344515797,65.27538726333907,True
ACLBSL,2024-11-17,1142.4,1185.0,1142.4,1154.0,3.04 %,"9,296.00",1079.1077234367503,1078.4939140930007,78.52348993288592,True
GILB,2024-11-17,1375.0,1402.0,1361.0,1370.0,1.56 %,"11,559.00",1297.1245825163405,1294.574376670156,70.4791344667697,True
TVCL,2024-11-17,503.0,529.0,495.3,522.0,5.67 %,"76,281.00",483.42183878726325,483.4196187493695,76.4957264957265,True
SMPDA,2024-11-14,959.8,997.0,931.0,960.0,2.02 %,"8,220.00",932.1778584218217,932.0475854238856,68.40490797546012,True
AVYAN,2024-11-14,980.0,1066.0,970.0,1060.0,8.27 %,"14,820.00",948.5234349117478,943.5607415131002,80.46528803545053,True
MHNL,2024-11-14,291.0,301.9,291.0,300.0,1.35 %,"58,674.00",278.53657718649015,277.3725762996882,78.34302325581397,True
PPL,2024-11-14,525.0,535.0,522.1,533.5,2.99 %,"29,639.00",499.13500346880045,497.98357030320693,76.16926503340756,True
SIKLES,2024-11-14,744.0,784.0,739.0,770.0,3.77 %,"32,531.00",718.7372996964906,716.9866374158855,63.76811594202898,True
GUFL,2024-11-14,815.0,840.0,810.0,819.9,1.35 %,"71,367.00",765.8950505503974,763.7413393600951,79.98856489422528,True
KMCDB,2024-11-14,1086.7,1170.0,1086.7,1130.0,1.91 %,"19,170.00",1066.376429106929,1062.718211751188,56.80735194009531,True
GBLBS,2024-11-13,830.0,831.0,815.0,824.9,1.21 %,"14,810.00",776.6815065276164,774.778341150321,77.35573411249086,True
JOSHI,2024-11-13,329.0,335.0,322.6,335.0,0.00 %,"38,454.00",317.97425524534856,317.1175006656395,66.57929226736567,True
VLUCL,2024-11-13,624.1,670.0,621.1,660.0,5.75 %,"65,353.00",619.7365309087496,618.2290700749722,67.94258373205741,True
HPPL,2024-11-13,350.1,377.9,348.0,364.9,3.96 %,"54,509.00",338.41263264617396,336.9078699071301,69.16666666666667,True
MLBSL,2024-11-13,2149.0,2149.0,2100.0,2124.9,0.25 %,"1,708.00",2058.9944385233575,2055.147509646042,66.19610835558946,True
MNBBL,2024-11-13,408.0,408.0,398.0,401.0,0.22 %,"31,903.00",398.3955310534469,398.34898244484896,47.21189591078067,True
NMFBS,2024-11-13,1530.0,1530.0,1471.1,1485.0,-1.01 %,"2,749.00",1459.589389276406,1459.1502277869004,52.04750204750204,True
DORDI,2024-11-12,471.0,493.0,470.2,471.0,-1.46 %,"11,411.00",453.9712178879208,453.2543059506946,60.07462686567164,True
MICROFINANCE,2024-11-12,5195.27,5254.65,5142.1,5162.96,-0.68 %,"652,433,404.70",4994.4235682532035,4987.445997519832,56.28356008123975,True
MLBL,2024-11-11,422.9,428.0,412.6,415.0,-0.12 %,"69,667.00",404.73819792419437,404.28209041283276,45.703611457036125,True
BGWT,2024-11-11,979.0,1000.0,965.0,987.0,0.80 %,"12,778.00",949.7974050718959,948.0651094167179,52.71739130434783,True
HATHY,2024-11-11,1366.0,1440.0,1366.0,1440.0,5.88 %,"51,968.00",1378.7186320449177,1377.6251108638976,44.736842105263165,True
FMDBL,2024-11-11,818.0,869.0,789.0,869.0,7.99 %,"92,459.00",780.6081278786404,776.3078344451711,62.96829971181556,True
UHEWA,2024-11-11,524.0,564.0,524.0,537.0,0.73 %,"16,383.00",505.7013195003965,505.6448293342936,62.15722120658137,True
MHL,2024-11-11,775.0,797.0,775.0,795.0,2.58 %,"10,326.00",747.1312935678103,746.0358040976888,56.0461956521739,True
CHL,2024-11-11,380.0,393.7,365.2,380.0,0.00 %,"26,385.00",355.7949038505881,354.6945280827191,56.637168141592916,True
TPC,2024-11-11,536.0,549.9,524.3,528.0,0.48 %,"92,843.00",479.7918965700637,478.28857866301905,66.04886267902276,True
MKHL,2024-11-11,572.0,576.3,561.0,566.0,0.71 %,"45,759.00",532.1003409577247,530.0904022006239,60.85645355850423,True
SICL,2024-11-10,858.0,886.0,852.0,885.0,3.15 %,"20,553.00",850.4051246459978,848.2678603475614,59.01442307692307,True
BHDC,2024-11-10,638.5,690.0,635.1,685.0,7.70 %,"45,844.00",609.5975012020141,608.2074094487057,73.3160621761658,True
SKBBL,2024-11-10,933.0,944.0,933.0,944.0,1.18 %,"8,114.00",937.4482057123491,937.2654340751568,45.354729729729726,True
MKHC,2024-11-06,386.5,391.5,375.0,390.0,2.90 %,"25,285.00",358.6799916029322,358.34233732207423,73.93617021276593,True
IHL,2024-11-05,535.0,552.0,535.0,547.0,1.88 %,"11,600.00",521.6108264653915,520.9810519910584,70.35714285714282,True
KPCL,2024-11-05,495.0,524.0,495.0,508.0,1.60 %,"6,566.00",495.0586271898375,494.4839060002416,63.29787234042553,True
MEN,2024-11-05,698.0,708.9,696.3,700.2,-1.24 %,"49,133.00",656.3820680112829,654.7306376904868,68.15602836879434,True
SJCL,2024-11-05,344.0,370.0,344.0,363.1,7.39 %,"137,850.00",335.028939545581,333.54256284991015,68.93203883495148,True
KKHC,2024-10-30,290.0,290.0,280.0,281.0,-1.40 %,"29,303.00",268.01885246125687,267.55205574241154,58.54037267080745,True
MHCL,2024-10-30,422.0,439.6,421.0,424.9,-1.23 %,"17,665.00",412.2780112811923,411.8778489343314,62.22403924775143,True
BHPL,2024-10-29,696.9,697.0,685.1,688.0,0.15 %,"5,602.00",680.4851695338759,680.0702577476076,57.76536312849159,True
CYCL,2024-10-29,1549.0,1579.0,1503.0,1564.0,2.96 %,"1,960.00",1539.0246365960354,1538.0287433357337,55.829228243021355,True
NWCL,2024-10-29,1000.1,1038.0,1000.1,1028.0,2.49 %,"8,457.00",998.1160280021398,996.6869642374596,46.58536585365854,True
MMKJL,2024-10-29,559.0,614.0,537.1,572.0,0.35 %,"98,625.00",536.3469611728613,535.2647958022283,79.136690647482,True
SGHC,2024-10-29,414.0,419.9,402.0,419.2,3.25 %,"13,899.00",397.94148854080265,397.72111446115633,68.80341880341878,True
SHL,2024-10-29,514.9,536.0,514.9,536.0,4.10 %,"85,283.00",518.1793284184163,517.6628237375334,57.26495726495726,True
SPL,2024-10-29,855.0,860.5,828.3,855.0,1.18 %,"4,985.00",838.0012584551467,837.8649410700932,51.81869054280918,True
SMHL,2024-10-29,685.0,701.0,681.0,701.0,2.94 %,"34,161.00",629.393169290416,626.1398292339894,85.66753926701571,True
ULHC,2024-10-29,430.0,452.4,428.0,443.0,4.24 %,"70,938.00",403.29083194667953,401.6867936393788,69.4489465153971,True
SMB,2024-10-29,1745.0,1800.0,1745.0,1800.0,2.62 %,"1,373.00",1795.7137639885857,1795.6798072472466,50.0,True
MAKAR,2024-10-28,548.7,572.0,545.0,570.0,5.95 %,"53,998.00",502.9244683181187,502.0927593565854,77.47899159663866,True
DOLTI,2024-10-28,546.0,612.8,546.0,612.8,10.00 %,"93,107.00",541.7595157221683,537.6381464373798,77.1729185727356,True
JFL,2024-10-27,679.3,727.0,679.0,705.3,5.90 %,"189,009.00",643.8904435125095,643.7672524620865,67.57798808271994,True
TAMOR,2024-10-27,487.1,515.1,487.1,510.0,4.72 %,"71,483.00",483.6179997192732,482.14507374594206,59.231411862990825,True
UMRH,2024-10-23,475.0,482.9,470.0,475.0,-0.40 %,"22,876.00",464.4557687114711,464.1419426076015,71.12676056338029,True
USHEC,2024-10-22,514.9,531.0,514.0,530.0,2.91 %,"12,556.00",495.68131390314113,495.5347129190813,62.86633309506791,True
PFL,2024-10-20,660.0,683.0,635.0,650.1,-3.29 %,"77,168.00",624.8048014417643,623.6320367850219,71.70220455366822,True
NICA,2024-10-17,498.0,505.0,493.0,493.0,-1.14 %,"80,563.00",472.2908865365749,471.10056113566856,72.98578199052133,True
PHCL,2024-10-16,410.7,420.0,408.8,414.9,1.02 %,"43,293.00",372.7769677740444,370.78094053183503,75.03259452411994,True
SMFBS,2024-10-16,1526.9,1588.5,1467.0,1587.0,6.01 %,"1,232.00",1504.7361654635554,1502.3745191756288,55.6549019607843,True
ALBSL,2024-10-16,1049.0,1080.0,1049.0,1073.0,0.28 %,"1,902.00",1042.3980489567552,1042.37448281575,55.906879777623345,True
BNT,2024-10-16,14998.9,15049.0,14998.9,15049.0,1.68 %,64.00,14756.173668785468,14749.61138820056,57.378984651711924,True
SHIVM,2024-10-16,607.0,631.0,603.0,626.0,3.80 %,"157,190.00",595.1933489531299,594.3031700322415,64.50589301903898,True
FOWAD,2024-10-16,1485.2,1534.0,1485.2,1500.0,1.00 %,"1,951.00",1463.9479571384775,1462.197963505813,61.085676913015035,True
MKCL,2024-10-15,1480.0,1544.0,1471.1,1536.0,4.49 %,"14,946.00",1428.770374949659,1428.6252559568322,59.7682119205298,True
SPDL,2024-10-15,311.1,316.2,304.5,306.2,0.39 %,"12,290.00",299.4075808047389,299.13442950703677,55.12027491408934,True
BEDC,2024-10-15,479.4,479.4,459.1,472.8,0.60 %,"1,257.00",462.6714638209135,462.5550716047522,45.78005115089515,True
CFCL,2024-10-15,620.0,674.3,620.0,652.0,6.36 %,"36,118.00",598.1558822479255,597.8400042630851,64.19585175110507,True
DHPL,2024-10-09,255.0,255.0,246.7,252.0,0.80 %,"7,587.00",240.86917123315553,240.73055591164825,55.76036866359448,True
NTC,2024-10-08,1000.0,1000.0,984.0,990.0,-0.50 %,"22,518.00",961.4149830442642,960.362874754149,56.53409090909091,True
NABIL,2024-10-08,592.0,600.0,580.0,591.0,-0.08 %,"65,705.00",573.9435179372114,573.5902159115938,58.84955752212389,True
FINANCE,2024-10-07,3376.06,3472.98,3283.95,3331.25,-0.71 %,"1,001,994,155.90",3141.021051691373,3129.57655433349,47.30965432020532,True
SNLI,2024-10-07,600.0,630.2,600.0,616.0,3.17 %,"45,554.00",582.5402066504959,582.008789990517,58.7956698240866,True
BFC,2024-10-06,585.0,623.9,572.0,623.1,7.62 %,"74,162.00",569.6171614654805,569.2770952449619,53.14917127071824,True
MEHL,2024-10-06,365.0,379.4,358.1,377.9,1.59 %,"22,810.00",375.1068814647428,374.9920365279053,57.7124868835257,True
BARUN,2024-10-06,350.0,375.0,348.0,358.0,2.29 %,"14,190.00",343.5499783816808,342.80603214549365,60.39501039501039,True
SIFC,2024-10-06,590.0,633.0,590.0,629.0,6.00 %,"52,384.00",589.5276771745642,588.5547296145301,50.79513564078579,True
MFIL,2024-10-06,700.0,744.0,694.0,740.0,6.02 %,"62,708.00",691.0278186321488,690.8086614655231,53.446115288220554,True
