Symbol,50 vs 20 EMA Cross,Date
CHDC,UAIL - 2024-04-30 00:00:00 - Cross - Close: 552.9,2024-04-30
CHL,SHINE - 2024-04-29 00:00:00 - Cross - Close: 371.0,2024-04-29
CIT,SLBBL - 2024-04-28 00:00:00 - Cross - Close: 659.0,2024-04-28
CITY,ULHC - 2024-04-25 00:00:00 - Cross - Close: 333.0,2024-04-25
CIZBD90,SLBBL - 2024-04-24 00:00:00 - Cross - Close: 650.0,2024-04-24
CKHL,SFMF - 2024-04-10 00:00:00 - Cross - Close: 9.54,2024-04-10
CLI,SFMF - 2024-04-09 00:00:00 - Cross - Close: 9.69,2024-04-09
CMF1,USHL - 2024-04-18 00:00:00 - Cross - Close: 462.1,2024-04-18
CMF2,SJLIC - 2024-04-16 00:00:00 - Cross - Close: 502.9,2024-04-16
CORBL,UNL - 2024-03-28 00:00:00 - Cross - Close: 39800.1,2024-03-28
CYCL,NIL - 2024-04-14 00:00:00 - Cross - Close: 813.3,2024-04-14
CZBIL,TRH - 2024-04-10 00:00:00 - Cross - Close: 760.0,2024-04-10
DDBL,SNLI - 2024-04-09 00:00:00 - Cross - Close: 605.0,2024-04-09
DHPL,SRLI - 2024-04-07 00:00:00 - Cross - Close: 459.0,2024-04-07
DLBS,SIFC - 2024-04-04 00:00:00 - Cross - Close: 361.9,2024-04-04
DOLTI,TRADING - 2024-03-28 00:00:00 - Cross - Close: 2792.93,2024-03-28
DORDI,UNL - 2024-03-18 00:00:00 - Cross - Close: 39900.0,2024-03-18
EBL,USHL - 2024-04-01 00:00:00 - Cross - Close: 480.0,2024-04-01
EBLD85,SIFC - 2024-03-31 00:00:00 - Cross - Close: 360.0,2024-03-31
EBLD86,USHEC - 2024-03-28 00:00:00 - Cross - Close: 370.0,2024-03-28
EDBL,UHEWA - 2024-03-27 00:00:00 - Cross - Close: 355.0,2024-03-27
EHPL,ULHC - 2024-03-26 00:00:00 - Cross - Close: 331.0,2024-03-26
ENL,SFMF - 2024-03-13 00:00:00 - Cross - Close: 9.78,2024-03-13
FMDBL,ULHC - 2024-03-21 00:00:00 - Cross - Close: 316.8,2024-03-21
FOWAD,SICL - 2024-03-20 00:00:00 - Cross - Close: 715.0,2024-03-20
GBBD85,UNL - 2024-02-29 00:00:00 - Cross - Close: 39607.0,2024-02-29
GBBL,RBCL - 2024-03-18 00:00:00 - Cross - Close: 13903.1,2024-03-18
GBILD84/85,VLUCL - 2024-03-17 00:00:00 - Cross - Close: 525.0,2024-03-17
GBILD86/87,USHEC - 2024-03-14 00:00:00 - Cross - Close: 360.5,2024-03-14
GBIME,TAMOR - 2024-03-13 00:00:00 - Cross - Close: 397.0,2024-03-13
GBLBS,SWBBL - 2024-03-12 00:00:00 - Cross - Close: 770.0,2024-03-12
GCIL,WNLB - 2024-03-10 00:00:00 - Cross - Close: 869.0,2024-03-10
GFCL,SMFBS - 2024-03-07 00:00:00 - Cross - Close: 890.0,2024-03-07
GHL,SPC - 2024-03-06 00:00:00 - Cross - Close: 617.0,2024-03-06
GIBF1,NYADI - 2024-03-05 00:00:00 - Cross - Close: 285.0,2024-03-05
GILB,UNL - 2024-02-14 00:00:00 - Cross - Close: 39983.0,2024-02-14
GLBSL,VLUCL - 2024-03-03 00:00:00 - Cross - Close: 528.0,2024-03-03
GLH,TVCL - 2024-02-29 00:00:00 - Cross - Close: 506.1,2024-02-29
GMFBS,SIFC - 2024-02-28 00:00:00 - Cross - Close: 359.8,2024-02-28
GMFIL,SPHL - 2024-02-27 00:00:00 - Cross - Close: 475.0,2024-02-27
GRDBL,TPC - 2024-02-26 00:00:00 - Cross - Close: 538.0,2024-02-26
GUFL,UMHL - 2024-02-25 00:00:00 - Cross - Close: 252.0,2024-02-25
GVL,TSHL - 2024-02-22 00:00:00 - Cross - Close: 530.0,2024-02-22
GWFD83,VLUCL - 2024-02-21 00:00:00 - Cross - Close: 533.1,2024-02-21
H8020,UPCL - 2024-02-20 00:00:00 - Cross - Close: 222.1,2024-02-20
HATHY,WNLB - 2024-02-15 00:00:00 - Cross - Close: 834.1,2024-02-15
HBL,UNL - 2024-01-30 00:00:00 - Cross - Close: 39993.0,2024-01-30
HDHPC,SHLB - 2024-02-14 00:00:00 - Cross - Close: 915.0,2024-02-14
HDL,SMB - 2024-02-13 00:00:00 - Cross - Close: 970.0,2024-02-13
HEI,SHL - 2024-02-12 00:00:00 - Cross - Close: 464.7,2024-02-12
HEIP,VLUCL - 2024-02-11 00:00:00 - Cross - Close: 525.1,2024-02-11
HHL,SADBL - 2024-02-08 00:00:00 - Cross - Close: 311.0,2024-02-08
HIDCL,SIFC - 2024-02-07 00:00:00 - Cross - Close: 361.0,2024-02-07
HIDCLP,UNL - 2024-01-21 00:00:00 - Cross - Close: 40200.0,2024-01-21
HLBSL,UNL - 2024-01-18 00:00:00 - Cross - Close: 40200.0,2024-01-18
HLI,VLBS - 2024-02-04 00:00:00 - Cross - Close: 635.0,2024-02-04
HPPL,SWBBL - 2024-02-01 00:00:00 - Cross - Close: 735.1,2024-02-01
HRL,SMATA - 2024-01-31 00:00:00 - Cross - Close: 630.0,2024-01-31
HURJA,UNL - 2024-01-11 00:00:00 - Cross - Close: 38750.0,2024-01-11
ICFC,TRADING - 2024-01-23 00:00:00 - Cross - Close: 2839.48,2024-01-23
IGI,SIFC - 2024-01-28 00:00:00 - Cross - Close: 355.0,2024-01-28
IHL,SIFC - 2024-01-25 00:00:00 - Cross - Close: 350.0,2024-01-25
ILBS,SADBL - 2024-01-24 00:00:00 - Cross - Close: 300.2,2024-01-24
ILI,STC - 2024-01-23 00:00:00 - Cross - Close: 5280.0,2024-01-23
JBBL,SPIL - 2024-01-22 00:00:00 - Cross - Close: 742.0,2024-01-22
JBLB,SBL - 2024-01-21 00:00:00 - Cross - Close: 240.0,2024-01-21
JFL,TRH - 2024-01-18 00:00:00 - Cross - Close: 821.2,2024-01-18
JOSHI,SJLIC - 2024-01-17 00:00:00 - Cross - Close: 535.2,2024-01-17
JSLBB,NTC - 2024-01-16 00:00:00 - Cross - Close: 898.0,2024-01-16
KBL,UPPER - 2024-01-14 00:00:00 - Cross - Close: 211.5,2024-01-14
KBLD89,SHIVM - 2024-01-11 00:00:00 - Cross - Close: 518.1,2024-01-11
KBSH,SRLI - 2024-01-10 00:00:00 - Cross - Close: 475.0,2024-01-10
KDBY,SMATA - 2024-01-09 00:00:00 - Cross - Close: 618.0,2024-01-09
KDL,SRLI - 2024-01-08 00:00:00 - Cross - Close: 470.0,2024-01-08
KEF,SWBBL - 2024-01-07 00:00:00 - Cross - Close: 710.5,2024-01-07
KKHC,SRLI - 2024-01-04 00:00:00 - Cross - Close: 470.0,2024-01-04
KMCDB,SMATA - 2024-01-03 00:00:00 - Cross - Close: 605.0,2024-01-03
KPCL,SKBBL - 2024-01-02 00:00:00 - Cross - Close: 865.0,2024-01-02
KRBL,UPPER - 2024-01-01 00:00:00 - Cross - Close: 199.0,2024-01-01
KSBBL,NBL - 2023-12-28 00:00:00 - Cross - Close: 240.0,2023-12-28
KSBBLD87,SFMF - 2023-12-13 00:00:00 - Cross - Close: 9.58,2023-12-13
KSY,SCB - 2023-12-24 00:00:00 - Cross - Close: 518.8,2023-12-24
LBBL,SPHL - 2023-12-21 00:00:00 - Cross - Close: 418.7,2023-12-21
LICN,UMRH - 2023-12-19 00:00:00 - Cross - Close: 336.1,2023-12-19
LLBS,USLB - 2023-12-18 00:00:00 - Cross - Close: 720.0,2023-12-18
LSL,UNLB - 2023-12-14 00:00:00 - Cross - Close: 1016.0,2023-12-14
LUK,ULHC - 2023-12-14 00:00:00 - Cross - Close: 260.0,2023-12-14
LVF2,WNLB - 2023-12-12 00:00:00 - Cross - Close: 730.0,2023-12-12
MAKAR,SMATA - 2023-12-12 00:00:00 - Cross - Close: 620.0,2023-12-12
MANDU,SMH - 2023-12-11 00:00:00 - Cross - Close: 535.0,2023-12-11
MBJC,UPPER - 2023-12-10 00:00:00 - Cross - Close: 214.0,2023-12-10
MBL,USHEC - 2023-12-07 00:00:00 - Cross - Close: 239.1,2023-12-07
MCHL,UPCL - 2023-12-05 00:00:00 - Cross - Close: 177.0,2023-12-05
MDB,UMHL - 2023-12-04 00:00:00 - Cross - Close: 178.0,2023-12-04
MEL,SPIL - 2023-11-30 00:00:00 - Cross - Close: 710.0,2023-11-30
MEN,UNHPL - 2023-11-29 00:00:00 - Cross - Close: 170.0,2023-11-29
MERO,UPCL - 2023-11-28 00:00:00 - Cross - Close: 182.0,2023-11-28
MFIL,USHL - 2023-11-27 00:00:00 - Cross - Close: 347.6,2023-11-27
MFLD85,UMHL - 2023-11-26 00:00:00 - Cross - Close: 188.0,2023-11-26
MHCL,VLBS - 2023-11-23 00:00:00 - Cross - Close: 583.8,2023-11-23
MHL,TSHL - 2023-11-22 00:00:00 - Cross - Close: 351.0,2023-11-22
MHNL,UNL - 2023-10-16 00:00:00 - Cross - Close: 35850.0,2023-10-16
MKCL,TRH - 2023-11-09 00:00:00 - Cross - Close: 739.5,2023-11-09
MKHL,WNLB - 2023-11-05 00:00:00 - Cross - Close: 724.9,2023-11-05
MKJC,MLBSL - 2023-11-06 00:00:00 - Cross - Close: 1775.0,2023-11-06
MLBBL,PCBL - 2023-11-06 00:00:00 - Cross - Close: 183.3,2023-11-06
MLBL,WNLB - 2023-10-30 00:00:00 - Cross - Close: 738.0,2023-10-30
MLBS,NUBL - 2023-11-01 00:00:00 - Cross - Close: 597.0,2023-11-01
MLBSL,USHEC - 2023-10-31 00:00:00 - Cross - Close: 241.7,2023-10-31
MMF1,UMRH - 2023-10-30 00:00:00 - Cross - Close: 379.0,2023-10-30
MNBBL,USLB - 2023-10-19 00:00:00 - Cross - Close: 715.5,2023-10-19
MND84/85,TSHL - 2023-10-18 00:00:00 - Cross - Close: 336.0,2023-10-18
MPFL,TPC - 2023-10-16 00:00:00 - Cross - Close: 325.0,2023-10-16
MSLB,SPC - 2023-10-12 00:00:00 - Cross - Close: 366.6,2023-10-12
NABBC,UNHPL - 2023-10-11 00:00:00 - Cross - Close: 171.0,2023-10-11
NABIL,UHEWA - 2023-10-10 00:00:00 - Cross - Close: 299.1,2023-10-10
NADEP,VLBS - 2023-10-09 00:00:00 - Cross - Close: 592.0,2023-10-09
NBF2,UPCL - 2023-10-08 00:00:00 - Cross - Close: 183.1,2023-10-08
NBF3,UMHL - 2023-10-05 00:00:00 - Cross - Close: 187.0,2023-10-05
NBLD85,STC - 2023-10-03 00:00:00 - Cross - Close: 5321.0,2023-10-03
NBLD87,SMHL - 2023-10-02 00:00:00 - Cross - Close: 344.5,2023-10-02
NESDO,VLBS - 2023-10-01 00:00:00 - Cross - Close: 598.0,2023-10-01
