Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52 Weeks High,52 Weeks Low,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
AVYAN,2025-07-11,"1,010.00","1,040.00","1,010.00",1035.06,,5475.0,"1,306.80",832,1017.2485395662446,1016.6946384866583,65.82064974233046,2870.9666666666667,1.0081281651234348,0.33500295900450966,True
MPFL,2025-07-10,613.5,613.5,601,604.54,,10713.0,936.9,517,596.5628594483196,596.3040816704439,68.40953108591623,16030.0,1.0064741528275363,0.3628474248130715,True
RLFL,2025-07-10,499,507,492.2,494.25,,40530.0,838,445,482.18138331549466,482.0702908548112,69.46062227559781,26071.033333333333,1.6739511350329395,0.5840761333750948,True
RSDC,2025-07-10,668,681,668,679.02,,16044.0,890,638,666.8813129478623,666.344623971908,68.2616215232146,13515.066666666668,0.09690310018213495,0.04379156195223004,True
CYCL,2025-07-10,"1,640.00","1,674.90","1,618.20",1654.65,,1240.0,"1,958.00","1,448.00",1632.1545010192335,1631.4964752746614,68.90726636108484,3153.9666666666667,0.6782660408933225,0.22039347836653178,True
SINDU,2025-07-10,920,975,869.3,882.74,,110196.0,"1,482.00",449,857.7767724106706,856.4489631605514,69.3752523674259,76074.4,5.512909776568426,1.9228398301912875,True
NADEP,2025-07-09,825,865,825,861.97,,8807.0,"1,190.00",775,841.9690721995361,841.8021969641198,67.3909501884517,2686.633333333333,0.4328440420950301,0.1559240397212534,True
NYADI,2025-07-08,459.1,476,459.1,469.16,,28341.0,880,283.3,455.3738163667314,455.2858181779034,69.71614458711264,50080.166666666664,2.276529526586785,0.8002420616743848,True
HDL,2025-07-07,"1,244.00","1,247.00","1,215.00",1216.02,,52595.0,"1,749.00","1,136.00",1198.282685979617,1198.1559822622476,69.40161599361694,34489.9,1.7934544392632232,0.5868803545298761,True
FMDBL,2025-07-07,749.1,761,749.1,751.99,,16759.0,"1,004.00",666,747.3603036057314,747.1425275346927,64.20678971400694,17966.566666666666,0.6728638063296785,0.2372837419085954,True
UNLB,2025-07-07,"2,172.00","2,172.00","2,107.30",2118.95,,786.0,"3,223.00","1,935.90",2092.1773623038916,2091.6221141980345,68.58243774317675,1263.8,7.546719974816915,2.6794781685201996,True
RBCL,2025-07-06,"14,650.00","14,775.00","14,650.00",14751.33,,350.0,"22,493.90","13,035.00",14643.885166036795,14640.082429557953,64.06774647887325,218.66666666666666,18.036410401937975,6.277509088069564,True
KMCDB,2025-07-06,"1,049.00","1,060.00","1,024.00",1035.74,,3465.0,"1,285.00",950.6,1018.1657348962465,1018.1043095250881,65.69576970497005,3683.5333333333333,2.6618444471876046,0.9285815888164279,True
DLBS,2025-07-06,"1,500.00","1,549.00","1,471.00",1516.73,,3350.0,"2,250.00","1,200.10",1447.3837087487466,1443.8579536184077,66.0119583171069,2110.4666666666667,9.215936340753023,3.3664750558536527,True
BHDC,2025-07-05,541.9,541.9,509,514.07,,133376.0,829.7,426,485.5229324767614,484.32046051592835,60.2436897500909,70673.73333333334,3.9055870146423333,1.3844005930312506,True
MNMF1,2025-07-05,9.14,9.4,9.04,9.25,,5500.0,10.42,8.67,9.163910421291984,9.161133858593203,56.190480515528996,12617.433333333332,0.011757642736716534,0.004122205568149795,True
SJCL,2025-07-05,330,334.9,325,326.48,,24598.0,442,257,325.15361521339287,325.1468795076407,33.99685591132406,32218.8,0.15883362153502958,0.053570823628922425,True
ICFC,2025-07-04,617,640,615.9,627.98,,49472.0,910,555,609.4350911494904,609.3417110639195,65.69275405489356,20425.2,1.0319487846578794,0.3175981242232638,True
RBCLPO,2025-07-04,"11,800.00","12,000.00","11,800.00",11803.9,,627.0,"16,270.00","9,893.10",11559.747626208273,11550.554466869888,63.63923887225033,210.86666666666667,19.134087073663615,6.3633973493688245,True
SWBBL,2025-07-04,826.1,845,826.1,835.76,,14016.0,"1,232.00",782.4,814.8399274137921,813.9309104867453,69.5389214111448,6159.033333333334,2.311023374999195,0.8117223320432231,True
NMLBBL,2025-07-03,681.5,681.5,650.1,662.0,,16152.0,988,608.2,644.7398196016659,643.879986456199,68.18106978450446,7447.033333333334,1.7599543530206803,0.6120394931636156,True
RSY,2025-07-02,9.02,9.2,9.02,9.11,,8200.0,10,8.7,9.070421200071326,9.069205128789388,52.8571409108682,12305.714285714286,8.430104942149796e-05,-0.0001589132069661048,True
ADBLD83,2025-07-02,"1,100.00","1,131.00","1,100.00",1115.0,,43.0,"1,160.00","1,046.00",1094.6766306607901,1093.8159435241673,62.734689236629286,134.96666666666667,0.7376110568060085,0.23888553893102654,True
NBL,2025-07-01,254,260,251.5,259.18,,136286.0,337.5,202.1,252.97975961517196,252.72598133527654,57.772618729410766,73656.33333333333,0.16497975076612192,0.0573276202265788,True
NMFBS,2025-07-01,"1,254.00","1,269.90","1,238.00",1263.26,,7119.0,"1,727.00","1,161.00",1224.108285118182,1223.720064123525,61.87535730327902,4498.266666666666,0.7678335897211127,0.19786246919757106,True
DDBL,2025-07-01,806,825,801.1,817.35,,18062.0,"1,099.00",759,793.9207029453096,793.9066616797862,54.96939890189044,6865.433333333333,0.5188842677867569,0.12224439357366919,True
SMATA,2025-06-29,814,818,796,802.68,,14930.0,"1,271.00",734.1,780.1197151484723,779.2188482288794,69.98900760401824,6034.266666666666,2.3315175585286396,0.8077972372796012,True
GRDBL,2025-06-29,"1,328.00","1,380.00","1,320.10",1366.42,,49032.0,"2,001.40",438.5,1241.9487014819704,1237.0303240275493,64.13019719091642,32844.333333333336,7.515471740339445,2.599614962333726,True
MKJC,2025-06-29,544,544,525,527.92,,43369.0,735,402,514.3673747809551,513.6452699282045,61.16380540489244,27389.7,2.4435360288754056,0.8704303530915922,True
GVL,2025-06-29,448,483.8,442,480.07,,175442.0,699.9,424,451.70194440043485,451.6396641696073,60.550988802324056,37696.63333333333,0.5166794810727197,0.139149904132546,True
SAPDBL,2025-06-29,"1,015.70","1,095.40","1,015.70",1095.4,,166986.0,"1,622.70",356,980.9643564284736,977.7371469577973,56.13674938846154,96459.33333333333,3.3323460720098184,1.0854557429214764,True
MEL,2025-06-26,338,350,320.8,324.82,,153069.0,393,215,307.02773116128037,306.35480046553164,69.1354457928832,51038.4,0.8057552877222065,0.2614556966865848,True
