Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microcredit,934.00,0.00,-1.27%,-1.16%,-3.50%,-3.10%,-9.14%,+168.70%,12.98,71.97,7.40,"1,08,755.91","3,99,648.74",-72.79%,"50,952.59","1,89,044.69",-73.05%,"8,111.46","66,050.20",-87.72%,12.98,26.42,-50.88%,126.15,126.98,-0.65%,"37,25,565.79","36,65,346.07",+1.64%,"34,10,179.44","33,47,895.37",+1.86%,"2,50,000.00","2,50,000.00",0.00%,"65,386.35","67,450.70",-3.06%
BANDIPUR,Bandipur Cablecar and Tourism Limited,Hotels,830.00,23.49 Ar,-0.36%,+1.22%,+8.23%,+164.75%,+164.75%,+164.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARUN,Barun Hydropower,Hydro Power,323.20,0.00,+0.69%,+1.13%,+2.60%,+5.97%,+30.58%,+162.12%,7.25,44.58,2.96,"39,473.75","97,021.47",-59.31%,"33,306.25","81,251.99",-59.01%,"18,990.58","19,855.21",-4.35%,7.25,3.71,+95.64%,109.04,115.74,-5.78%,"14,40,609.40","9,48,224.00",+51.93%,"2,98,072.51","3,28,090.43",-9.15%,"10,47,786.70","5,35,815.00",+95.55%,"94,750.19","84,318.57",+12.37%
BBC,Bishal Bazar,Trading,"4,886.00",0.00,+0.74%,+0.12%,+0.64%,-0.06%,-13.00%,+74.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,Bhugol Energy Development Company Limited,Hydro Power,531.00,2.89 Ar,+0.19%,-0.41%,-2.59%,-7.33%,-33.62%,+138.12%,7.64,69.48,10.61,"30,713.00","53,774.31",-42.89%,"28,222.11","42,931.39",-34.26%,"10,394.84","-29,987.20",-134.66%,7.64,-5.51,-238.66%,50.07,48.16,+3.97%,"8,63,446.33","8,57,983.59",+0.64%,"5,91,057.86","5,95,989.95",-0.83%,"5,44,053.40","5,44,053.40",0.00%,"-2,71,664.93","-2,82,059.76",-3.69%
BFC,Best Finance,Finance,470.00,4.18 Ar,+1.10%,+0.64%,+3.30%,+6.84%,-25.28%,+209.21%,-24.58,-19.12,3.96,"1,27,848.98","5,63,756.72",-77.32%,"32,206.09","1,39,827.55",-76.97%,"-54,717.77","2,077.50","-2,733.82%",-24.58,0.23,"-10,636.01%",118.55,125.04,-5.20%,"73,94,627.70","70,43,460.91",+4.99%,"63,39,040.54","59,30,031.06",+6.90%,"8,90,424.24","8,90,424.24",0.00%,"1,65,162.92","2,23,005.62",-25.94%
BGWT,Bhagawati Hydropower Development Company Limited,Hydro Power,777.00,0.00,+0.26%,+1.24%,+0.90%,-3.60%,-18.21%,+140.85%,10.80,71.93,6.09,"39,258.69","1,56,647.91",-74.94%,"33,715.24","1,33,288.71",-74.71%,"16,066.88","66,197.89",-75.73%,10.80,11.13,-2.92%,127.60,120.38,+6.00%,"9,79,698.24","8,84,176.08",+10.80%,"2,20,546.37","1,68,007.84",+31.27%,"5,94,947.30","5,94,947.30",0.00%,"1,64,204.56","1,21,220.94",+35.46%
BHCL,Bikash Hydropower Company Limited,Hydro Power,532.00,4.84 Ar,-2.03%,+3.70%,+3.91%,+30.04%,+65.58%,+65.58%,7.81,68.10,5.13,"41,572.31","1,52,562.36",-72.75%,"38,188.74","1,38,099.59",-72.35%,"17,754.48","39,765.74",-55.35%,7.81,4.37,+78.59%,103.77,0.00,0.00%,"12,41,080.55",0.00,0.00%,"2,97,711.47","4,97,230.24",-40.13%,"9,09,101.30","9,09,101.30",0.00%,"34,267.78",0.00,0.00%
BHDC,Bindhyabasini Hydropower Development Company Limited,Hydro Power,465.00,5.25 Ar,-1.90%,-0.79%,+1.99%,-17.90%,-29.81%,+52.75%,30.87,15.06,3.98,"1,66,446.01","3,88,379.35",-57.14%,"1,62,724.31","3,79,000.23",-57.06%,"87,182.43","60,389.43",+44.37%,30.87,5.35,+477.47%,116.88,109.37,+6.87%,"29,29,609.05","28,75,341.71",+1.89%,"16,09,687.05","16,39,662.76",-1.83%,"11,29,800.00","11,29,800.00",0.00%,"1,90,756.32","1,05,878.95",+80.16%
BHL,Balephi Hydropower Limited,Hydro Power,178.60,6.53 Ar,-0.50%,+1.25%,+1.36%,-0.33%,-49.41%,+69.37%,13.62,13.11,2.29,"3,47,858.38","8,29,066.21",-58.04%,"3,23,991.09","6,00,420.96",-46.04%,"1,24,475.36","-3,93,999.49",-131.59%,13.62,-10.78,-226.37%,78.02,74.61,+4.56%,"86,57,035.48","86,55,661.86",+0.02%,"58,04,842.69","59,27,944.43",-2.08%,"36,55,940.00","36,55,940.00",0.00%,"-8,03,747.21","-9,28,222.57",-13.41%
BHPL,Barahi Hydropower Public Limited,Hydro Power,556.90,1.39 Ar,+1.27%,+2.94%,-7.95%,-15.93%,-46.45%,+160.60%,9.48,58.72,10.57,"14,637.93","29,524.03",-50.42%,"13,347.37","27,104.83",-50.76%,"5,927.83","-4,682.09",-226.61%,9.48,-1.87,-606.43%,52.70,52.69,+0.01%,"3,77,493.29","3,66,246.33",+3.07%,"2,45,740.82","2,34,511.83",+4.79%,"2,50,000.00","2,50,000.00",0.00%,"-1,18,247.53","-1,18,265.50",-0.02%
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Hydro Power,454.80,1.82 Ar,+0.89%,-0.04%,+4.29%,+3.84%,-6.03%,+73.79%,7.28,62.50,5.88,"50,819.91","1,43,781.60",-64.65%,"49,395.44","1,36,243.43",-63.74%,"7,518.32","-22,594.43",-133.28%,7.28,-5.47,-233.10%,77.35,74.66,+3.61%,"13,50,587.42","13,66,576.00",-1.17%,"10,30,876.55","10,57,996.27",-2.56%,"4,13,304.40","4,13,304.40",0.00%,"-93,593.53","-1,04,724.67",-10.63%
BNT,Bottlers Nepal (Terai),Manufacturing And Processing,"11,700.00",0.00,-0.78%,-0.85%,-2.50%,+9.24%,-12.37%,+31.24%,905.30,12.92,3.72,"26,22,779.00","76,99,956.00",-65.94%,"9,33,024.00","17,41,008.00",-46.41%,"2,73,853.00","-6,07,572.00",-145.07%,905.30,-502.13,-280.29%,"3,141.86","2,920.77",+7.57%,"95,32,726.00","86,70,966.00",+9.94%,"57,31,081.00","51,36,829.00",+11.57%,"1,21,000.00","1,21,000.00",0.00%,"36,80,645.00","34,13,137.00",+7.84%
BPCL,Butwal Power,Hydro Power,786.00,26.80 Ar,+0.13%,+3.84%,+12.41%,+18.64%,+101.60%,+142.79%,9.95,78.99,3.66,"2,41,214.00","7,33,793.00",-67.13%,"1,34,450.00","3,12,107.00",-56.92%,"84,802.00","2,26,150.00",-62.50%,9.95,6.63,+49.99%,215.04,212.69,+1.10%,"83,36,439.00","81,41,520.00",+2.39%,"10,05,514.00","8,90,686.00",+12.89%,"34,09,065.00","34,09,065.00",0.00%,"39,21,860.00","38,41,769.00",+2.08%
BUNGAL,Bungal Hydro Limited,Hydro Power,637.20,5.29 Ar,-1.51%,-1.98%,+7.82%,+91.58%,+91.58%,+91.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBBL,Chhimek Laghubitta Bikas Bank,Microcredit,919.90,29.58 Ar,-0.23%,+0.10%,+4.21%,+6.32%,+23.21%,+39.55%,33.46,27.49,3.46,"16,51,153.23","61,22,253.02",-73.03%,"7,55,117.98","28,19,466.84",-73.22%,"2,69,002.80","12,12,874.50",-77.82%,33.46,37.72,-11.28%,266.18,257.54,+3.35%,"5,37,35,805.33","5,17,69,918.55",+3.80%,"4,51,77,284.70","4,34,89,078.88",+3.88%,"32,15,345.87","32,15,345.87",0.00%,"53,43,174.76","50,65,493.81",+5.48%
CCBD88,Century Debenture 2088,Bond,"1,212.00",0.00,+0.08%,-3.43%,+0.58%,-2.65%,+3.51%,+21.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFCL,Central Finance,Finance,510.00,4.84 Ar,+3.24%,+2.99%,+7.59%,+8.05%,-13.41%,+195.63%,7.78,65.59,4.46,"1,48,054.20","6,96,918.97",-78.76%,"37,701.33","1,98,871.20",-81.04%,"18,444.57","89,148.10",-79.31%,7.78,9.40,-17.24%,114.32,113.92,+0.35%,"91,64,863.95","88,39,786.38",+3.68%,"80,80,145.12","77,58,800.60",+4.14%,"9,48,875.46","9,48,875.46",0.00%,"1,35,843.37","1,32,110.32",+2.83%
CGH,Chandragiri Hills Limited,Hotels,851.00,0.00,+0.20%,-0.12%,+2.61%,+6.66%,+1.57%,+445.01%,-3.24,-262.54,7.97,"1,48,996.63","9,32,849.15",-84.03%,"50,933.28","5,39,041.22",-90.55%,"-12,431.73","2,10,895.50",-105.89%,-3.24,13.75,-123.58%,106.80,107.61,-0.75%,"37,48,301.63","37,01,440.77",+1.27%,"21,09,838.33","20,50,545.75",+2.89%,"15,34,091.00","15,34,091.00",0.00%,"1,04,372.30","1,16,804.03",-10.64%
CHCL,Chilime Hydropower,Hydro Power,470.00,0.00,-0.84%,-0.21%,+4.09%,+5.92%,+2.24%,+27.18%,9.38,50.13,3.55,"3,53,082.70","11,24,979.34",-68.61%,"2,69,080.99","8,58,545.77",-68.66%,"2,05,841.81","6,79,599.76",-69.71%,9.38,7.74,+21.15%,132.45,130.59,+1.42%,"1,21,42,825.57","1,18,64,367.36",+2.35%,"5,10,964.03","3,95,747.06",+29.11%,"87,82,396.92","87,82,396.92",0.00%,"28,49,464.62","26,86,223.38",+6.08%
CHDC,CEDB Holdings Limited,Organized Fund,"2,305.00",23.84 Ar,-0.39%,+2.69%,+2.90%,+6.22%,+37.38%,+521.89%,60.55,38.07,11.06,"1,60,927.48","6,08,464.23",-73.55%,"1,58,278.29","6,06,863.42",-73.92%,"1,56,563.73","5,73,502.14",-72.70%,60.55,55.45,+9.20%,208.39,193.25,+7.83%,"21,65,007.42","20,15,554.97",+7.41%,"9,766.24","16,877.52",-42.13%,"10,34,237.06","10,34,237.06",0.00%,"11,21,004.12","9,64,440.39",+16.23%
CHL,Chhyangdi Hydropower Ltd.,Hydro Power,269.20,2.08 Ar,+1.62%,+5.65%,+4.95%,+13.59%,+4.16%,+115.36%,9.93,27.12,3.16,"57,700.82","1,40,141.32",-58.83%,"49,246.52","1,08,830.01",-54.75%,"19,207.03","-49,710.31",-138.64%,9.93,-12.85,-177.28%,85.16,51.42,+65.63%,"13,66,572.42","13,18,838.67",+3.62%,"7,07,442.72","11,19,857.81",-36.83%,"7,73,955.00","3,86,977.50",+100.00%,"-1,14,825.30","-1,87,996.64",-38.92%
CIT,Citizen Investment Trust,Organized Fund,"1,774.00",0.00,-0.06%,-0.34%,+1.78%,+1.12%,-5.81%,+17.74%,19.40,91.45,4.30,"5,37,202.00","20,97,409.00",-74.39%,"4,58,525.00","20,38,776.00",-77.51%,"3,14,328.00","12,53,569.00",-74.93%,19.40,19.34,+0.30%,412.40,410.37,+0.49%,"31,91,55,681.00","31,10,66,708.00",+2.60%,"29,24,25,099.00","28,44,67,679.00",+2.80%,"64,81,712.00","64,81,712.00",0.00%,"2,02,48,869.00","2,01,17,316.00",+0.65%
CITY,City Hotel Limited,Hotels,470.00,0.00,0.00%,-0.84%,-4.86%,-11.32%,-12.33%,+318.40%,-13.30,-35.34,3.46,"1,15,535.89","5,22,315.41",-77.88%,"24,284.01","1,50,265.43",-83.84%,"-55,652.16","-1,98,965.88",-72.03%,-13.30,-11.89,+11.88%,135.99,80.83,+68.24%,"59,08,122.77","55,60,623.70",+6.25%,"36,31,721.29","42,07,530.36",-13.69%,"16,74,000.00","16,74,000.00",0.00%,"6,02,401.47","-3,20,906.66",-287.72%
CKHL,Chirkhwa Hydropower Limited,Hydro Power,654.00,0.00,-0.91%,+0.45%,+1.71%,+10.87%,-18.66%,+98.18%,17.52,37.32,7.16,"47,273.92","1,18,463.10",-60.09%,"42,878.47","97,940.42",-56.22%,"17,524.30","-5,436.26",-422.36%,17.52,-1.36,"-1,389.44%",91.32,91.08,+0.26%,"11,95,412.61","11,96,615.48",-0.10%,"8,30,114.76","8,32,282.66",-0.26%,"4,00,000.00","4,00,000.00",0.00%,"-34,702.15","-35,667.18",-2.71%
CLI,Citizen Life Insurance Company Limited,Life Insurance,474.00,23.70 Ar,-0.21%,-1.23%,-1.37%,+11.35%,-9.88%,+43.92%,10.52,45.06,3.85,"27,15,163.01","91,98,427.38",-70.48%,"3,77,457.12","13,01,350.59",-70.99%,"1,31,489.59","4,25,013.15",-69.06%,10.52,8.50,+23.75%,148.93,148.71,+0.15%,"2,96,07,870.76","2,80,94,737.44",+5.39%,"2,21,61,432.32","2,06,59,315.50",+7.27%,"50,00,000.00","50,00,000.00",0.00%,"11,56,978.00","10,39,952.27",+11.25%
CMF2,Citizen Mutual Fund 2,Mutual Fund,10.50,0.00,+4.90%,+10.29%,+14.88%,+16.67%,+22.75%,+64.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORBL,Corporate Development Bank,Development Bank,"1,571.00",8.25 Ar,+1.35%,+0.06%,-5.58%,-12.43%,-8.66%,+686.13%,2.22,707.47,11.51,"56,890.47","1,97,714.82",-71.23%,"23,452.16","62,366.30",-62.40%,"2,914.53","-16,385.86",-117.79%,2.22,-3.12,-171.15%,136.54,136.24,+0.22%,"27,17,727.00","28,66,512.04",-5.19%,"20,00,899.94","21,51,235.66",-6.99%,"5,25,000.00","5,25,000.00",0.00%,"1,91,827.05","1,90,276.37",+0.81%
CREST,Crest Micro Life Insurance Limited,Life Insurance,"1,230.90",9.23 Ar,-0.33%,-1.35%,-0.57%,-0.74%,+269.97%,+269.97%,2.98,412.44,11.69,"1,11,950.68","3,90,922.61",-71.36%,"35,386.28","1,38,865.83",-74.52%,"5,595.85","22,709.28",-75.36%,2.98,3.03,-1.43%,110.30,104.51,+5.54%,"11,43,327.53","10,26,754.07",+11.35%,"3,16,068.98","2,42,908.49",+30.12%,"7,50,000.00","7,50,000.00",0.00%,"39,839.82","23,125.31",+72.28%
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microcredit,"1,527.00",0.00,+1.11%,+0.79%,+3.18%,-1.67%,-1.36%,+419.71%,-21.88,-69.79,3.24,"1,85,220.08","8,90,045.92",-79.19%,"75,502.79","4,50,390.32",-83.24%,"-14,573.82","1,17,478.31",-112.41%,-21.88,44.09,-149.62%,471.51,277.17,+70.11%,"73,69,513.44","73,66,206.02",+0.04%,"66,78,831.42","66,27,747.89",+0.77%,"2,66,424.39","2,66,424.39",0.00%,"9,89,794.07","4,72,033.73",+109.69%
CZBIL,Citizen Bank International,Commercial Banks,193.00,28.50 Ar,-1.53%,-2.97%,+1.58%,-0.05%,-3.38%,-12.61%,-5.97,-32.33,1.26,"40,66,326.62","1,73,09,675.06",-76.51%,"16,66,263.49","63,64,973.10",-73.82%,"-2,20,411.17","12,93,321.39",-117.04%,-5.97,8.76,-168.17%,153.30,155.42,-1.36%,"24,63,48,568.20","24,53,77,715.60",+0.40%,"22,37,07,044.50","22,24,23,755.60",+0.58%,"1,47,69,012.97","1,47,69,012.97",0.00%,"78,72,510.67","81,84,947.10",-3.82%
DDBL,Deprosc Laghubitta,Microcredit,826.00,15.43 Ar,+0.73%,+1.35%,+4.43%,+11.71%,+16.55%,+8.67%,43.29,19.08,3.73,"9,27,017.52","34,95,545.35",-73.48%,"5,33,543.99","18,35,858.44",-70.94%,"2,02,215.58","6,91,154.54",-70.74%,43.29,36.99,+17.03%,221.21,208.84,+5.92%,"2,71,35,989.25","2,71,23,861.70",+0.04%,"2,30,03,063.34","2,32,22,065.89",-0.94%,"18,68,285.70","18,68,285.70",0.00%,"22,64,640.21","20,33,510.12",+11.37%
DHEL,Daramkhola Hydro Energy Limited,Hydro Power,648.00,6.68 Ar,-1.22%,+3.35%,+13.29%,+46.47%,+46.47%,+46.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHPL,Dibyashwori Hydropower Ltd.,Hydro Power,289.50,0.00,+1.58%,-0.52%,-1.86%,-1.80%,-9.11%,+163.18%,17.51,16.54,37.25,"34,963.00","89,929.00",-61.12%,"33,151.00","84,212.00",-60.63%,"11,555.00","-4,554.00",-353.73%,17.51,-1.73,"-1,114.93%",7.77,3.40,+128.90%,"7,78,457.00","7,83,148.00",-0.60%,"7,57,938.00","7,74,184.00",-2.10%,"2,64,000.00","2,64,000.00",0.00%,"-2,43,481.00","-2,55,036.00",-4.53%
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microcredit,"1,308.90",0.00,+0.68%,-2.10%,-2.17%,+0.30%,-22.08%,+628.38%,7.80,167.83,7.62,"73,056.81","3,26,102.90",-77.60%,"34,600.27","1,49,081.38",-76.79%,"2,595.13","15,208.42",-82.94%,7.80,11.43,-31.75%,171.75,169.57,+1.28%,"26,41,878.21","26,13,398.39",+1.09%,"24,13,279.31","23,87,695.66",+1.07%,"1,33,100.00","1,33,100.00",0.00%,"95,498.90","92,602.73",+3.13%
DOLTI,Dolti Power Company Limited,Hydro Power,511.80,0.00,+0.75%,-0.02%,-1.39%,+0.39%,-34.77%,+78.27%,14.23,35.96,8.30,"47,753.56","85,121.14",-43.90%,"43,309.63","71,329.55",-39.28%,"19,089.06","-28,884.03",-166.09%,14.23,-5.38,-364.35%,61.63,58.07,+6.12%,"10,85,123.57","10,41,986.02",+4.14%,"7,54,501.13","7,30,434.29",+3.29%,"5,36,486.00","5,36,486.00",0.00%,"-2,05,863.56","-2,24,934.27",-8.48%
DORDI,Dordi Khola Jal Bidyut Company Limited,Hydro Power,284.90,6.01 Ar,+1.75%,+12.61%,+10.00%,+28.91%,-18.13%,+37.30%,1.70,168.03,2.70,"74,601.02","3,01,108.65",-75.22%,"66,027.95","2,62,293.88",-74.83%,"8,937.89","-70,569.42",-112.67%,1.70,-3.36,-150.44%,105.35,104.26,+1.05%,"35,01,940.07","35,87,223.89",-2.38%,"12,80,688.73","13,98,718.10",-8.44%,"21,08,520.80","20,99,157.90",+0.45%,"1,12,730.54","89,347.88",+26.17%
EBL,Everest Bank,Commercial Banks,660.00,0.00,-0.15%,+0.30%,+2.31%,+3.29%,+23.02%,+29.72%,36.44,18.11,2.58,"53,09,342.00","2,08,18,988.00",-74.50%,"24,03,897.00","91,29,388.00",-73.67%,"11,79,274.00","49,18,165.00",-76.02%,36.44,37.99,-4.09%,255.69,247.39,+3.36%,"37,63,27,699.00","36,52,05,354.00",+3.05%,"34,32,29,653.00","33,31,81,802.00",+3.02%,"1,29,44,694.00","1,29,44,694.00",0.00%,"2,01,53,353.00","1,90,78,857.00",+5.63%
EBLD85,10.50% Everest Bank Limited Debenture 2085,Bond,"1,225.00",0.00,-1.21%,+0.33%,+2.08%,+5.15%,+10.31%,+22.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBLD91,Everest Bank Limited Debenture 2091,Bond,"1,110.00",0.00,-2.72%,-0.45%,-0.89%,+0.91%,+8.29%,+8.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDBL,Excel Development Bank,Development Bank,595.00,0.00,-0.67%,0.00%,+3.59%,+3.62%,-0.78%,+122.91%,-28.74,-20.70,3.83,"2,88,436.91","12,14,838.53",-76.26%,"1,33,331.24","5,51,380.03",-75.82%,"-89,796.91","40,901.48",-319.54%,-28.74,3.27,-978.18%,155.37,167.35,-7.16%,"1,86,74,147.27","1,91,70,112.87",-2.59%,"1,67,32,518.88","1,70,78,786.15",-2.03%,"12,49,694.47","12,49,694.47",0.00%,"6,91,933.91","8,41,632.25",-17.79%
EHPL,Eastern Hydropower Limited,Hydro Power,417.00,2.59 Ar,+2.23%,+3.73%,+0.02%,-11.28%,-47.80%,+75.51%,11.57,36.04,5.50,"48,268.40","1,29,392.65",-62.70%,"44,762.24","1,16,613.45",-61.61%,"17,936.45","9,587.45",+87.08%,11.57,1.55,+648.33%,75.81,73.07,+3.75%,"11,03,767.77","10,97,498.31",+0.57%,"6,33,742.96","6,44,477.50",-1.67%,"6,20,000.00","6,20,000.00",0.00%,"-1,49,975.19","-1,66,979.19",-10.18%
ENL,Emerging Nepal Limited,Organized Fund,901.00,0.00,+0.99%,-0.22%,+0.14%,-4.60%,-27.21%,+219.16%,-1.36,-660.66,8.30,513.66,"14,696.53",-96.50%,"-1,501.87","12,043.38",-112.47%,"-1,894.32","5,949.00",-131.84%,-1.36,1.07,-227.37%,108.52,108.86,-0.31%,"6,11,043.45","6,12,906.20",-0.30%,"8,096.10","8,064.42",+0.39%,"5,55,600.00","5,55,600.00",0.00%,"47,347.34","49,241.78",-3.85%
