Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52 Weeks High,52 Weeks Low,EMA_20,EMA_50,RSI,Buy_Signal,Sell_Signal,Signal
SBLD89,2025-04-02,"1,229.00","1,230.20","1,229.00",1230.2,,80.0,"1,247.00","1,000.00",1181.1100088251133,1180.6250005010033,62.054777798587324,True,False,Buy
UNLBP,2025-04-01,"1,211.00","1,211.00","1,211.00",1211.0,,3000.0,"1,383.00","1,211.00",1355.509556203434,1362.9513083203296,8.021390374331546,False,True,Sell
RNLI,2025-03-27,527,549,520,544.22,,100760.0,600.1,415,553.5814321989237,553.747603313604,29.415497199712277,False,True,Sell
EBL,2025-03-26,602,605,600,603.17,,24908.0,790,487.3,612.545371841316,612.6686705425761,24.9905527067354,False,True,Sell
NICD83/84,2025-03-26,"1,051.20","1,051.20","1,051.20",1052.1,,2.0,"1,150.00","1,010.50",1074.2532387010283,1074.2661632589463,23.409878846371598,False,True,Sell
UPCL,2025-03-26,283.6,286.4,278,282.46,,117263.0,345,183,299.69643871322955,300.5962017431899,23.0806065442937,False,True,Sell
PMLI,2025-03-24,554,581.2,549,572.31,,28668.0,732.2,473,586.1586741856889,586.9515090821985,26.81292746680674,False,True,Sell
MEHL,2025-03-23,560,582,538,540.73,,16629.0,696,283.5,586.8378069148417,589.0261863511064,29.076094187551746,False,True,Sell
SARBTM,2025-03-23,785,824,770,771.7,,35336.0,"1,083.00",696.8,818.3921116051384,820.3199437328303,11.447261976591037,False,True,Sell
KSBBL,2025-03-21,444.9,445,440,440.73,,25689.0,564.8,341,452.5351461873306,452.69193997440675,12.674527888121702,False,True,Sell
GBIME,2025-03-21,222,222,218.1,220.08,,105949.0,302,170,224.4487244090538,224.69435402920413,9.929891548482317,False,True,Sell
NICL,2025-03-20,865.3,877.8,848,850.08,,20326.0,"1,162.00",800,981.3428287557249,988.1296752250439,11.460997071474779,False,True,Sell
SBL,2025-03-19,287.1,290.9,286.2,287.0,,24740.0,380,214,291.5556434216975,291.7296402814246,15.189846523504343,False,True,Sell
BPCL,2025-03-17,401,407,399.2,399.2,,7839.0,536.5,284.4,409.7835831526723,410.41357017224163,4.184101486934253,False,True,Sell
HBLD86,2025-03-17,"1,100.10","1,100.10","1,100.10",1100.1,,1.0,"1,180.80","1,000.00",1108.361552790935,1108.8273093377318,23.675027498005036,False,True,Sell
AKPL,2025-03-17,231.3,237,231.3,234.4,,80368.0,326,157.2,238.11622472137117,238.25886730196248,17.85709528151881,False,True,Sell
SBLD83,2025-03-17,"1,047.50","1,047.50","1,047.50",1047.5,,26.0,"1,221.90","1,021.00",1074.84493941108,1075.4289460138145,25.213140201200787,False,True,Sell
EHPL,2025-03-16,801,815,765,766.0,,11877.0,997,423.9,836.1029203923431,840.1477471882002,15.483870967741922,False,True,Sell
UHEWA,2025-03-15,829,839.9,820,827.0,,5999.0,993.4,338.2,871.929300726578,872.0900177168992,8.153000106588806,False,True,Sell
SMB,2025-03-14,"2,703.30","2,749.70","2,698.00",2727.0,,2014.0,"4,026.20","1,069.00",2849.44007980936,2853.4919759732525,13.78719576454219,False,True,Sell
SPDL,2025-03-13,339.8,354.9,338,339.5,,109972.0,389,220.2,350.7459919371525,350.9912396121424,23.021590631325807,False,True,Sell
