Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
SICL,Shikhar Insurance,Non Life Insurance,624.90,18.27 Ar,-0.65%,-1.28%,-0.05%,+4.86%,-13.14%,-47.51%,-3.06,-204.18,1.50,"12,30,721.21","5,40,107.29",+127.87%,"3,36,661.67","-60,980.47",-652.08%,"-44,731.68","-1,58,586.42",-71.79%,-3.06,-21.70,-85.90%,196.64,192.63,+2.08%,"1,58,13,473.62","1,55,82,767.28",+1.48%,"1,00,65,444.74","99,51,998.73",+1.14%,"29,23,099.00","29,23,099.00",0.00%,"1,65,757.55","67,760.93",+144.62%
SIFC,Shree Investment Finance,Finance,591.00,5.91 Ar,+2.78%,-5.88%,+18.44%,+22.16%,+5.21%,+195.45%,2.43,242.94,4.34,"3,66,480.49","1,96,358.53",+86.64%,"1,14,969.53","65,349.44",+75.93%,"12,163.54","3,443.79",+253.20%,2.43,1.38,+76.60%,136.25,140.98,-3.36%,"1,01,68,408.49","98,65,839.75",+3.07%,"88,05,952.91","84,55,993.98",+4.14%,"10,00,000.00","10,00,000.00",0.00%,"3,62,455.58","4,09,845.77",-11.56%
SIGS2,Siddhartha Investment Growth Scheme 2,Mutual Fund,9.69,1.16 Ar,-1.12%,-1.12%,-1.22%,+5.43%,+17.95%,+42.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGS3,Siddhartha Investment Growth Scheme 3,Mutual Fund,10.35,83.40 Cr,+5.50%,-0.96%,+3.29%,+12.38%,+23.80%,+51.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIKLES,Sikles Hydropower Limited,Hydro Power,614.00,5.19 Ar,+0.33%,-1.48%,-1.29%,+10.44%,-50.45%,+127.24%,24.94,24.50,5.43,"2,04,927.22","1,30,653.08",+56.85%,"1,85,333.23","1,25,881.50",+47.23%,"1,05,982.30","87,699.85",+20.85%,24.94,41.27,-39.58%,112.58,126.17,-10.78%,"20,69,466.42","21,18,419.04",-2.31%,"11,12,559.68","10,45,943.91",+6.37%,"8,50,000.00","8,50,000.00",0.00%,"1,06,906.74","2,22,475.13",-51.95%
SINDU,Sindhu Bikash Bank,Development Bank,759.00,4.23 Ar,+0.26%,-8.00%,+4.99%,+8.97%,-33.07%,+295.31%,-5.55,-136.77,8.06,"1,93,773.76","1,01,498.33",+90.91%,"58,805.19","30,507.78",+92.75%,"-15,468.12","-44,597.70",-65.32%,-5.55,-32.00,-82.66%,94.19,89.47,+5.28%,"63,57,053.32","62,28,211.19",+2.07%,"58,31,992.20","57,29,474.52",+1.79%,"5,57,456.07","5,57,456.07",0.00%,"-32,394.95","-58,719.40",-44.83%
SJCL,Sanjen Jalavidhyut Company Limited,Hydro Power,319.89,11.68 Ar,+6.10%,+6.63%,+13.72%,+8.92%,-10.89%,+6.28%,5.95,53.79,3.79,"9,03,417.69","5,57,938.68",+61.92%,"7,85,358.83","5,02,716.25",+56.22%,"1,08,527.88","1,56,336.54",-30.58%,5.95,17.13,-65.29%,84.49,85.55,-1.25%,"1,27,81,459.85","1,31,64,417.32",-2.91%,"96,97,719.30","1,00,42,314.63",-3.43%,"36,50,000.00","36,50,000.00",0.00%,"-5,66,259.45","-5,27,277.91",+7.39%
SJLIC,SuryaJyoti Life Insurance Company Limited,Life Insurance,436.00,21.85 Ar,+0.25%,-1.58%,-0.34%,+4.81%,-0.65%,-30.14%,8.06,54.12,4.00,"77,02,172.85","39,55,053.02",+94.74%,"8,89,445.48","4,45,160.34",+99.80%,"2,01,873.79","1,22,490.74",+64.81%,8.06,9.78,-17.60%,123.33,134.42,-8.25%,"5,44,58,473.18","5,19,07,292.71",+4.91%,"4,82,77,250.33","4,51,70,303.82",+6.88%,"50,11,947.80","50,11,947.80",0.00%,"4,52,984.94","10,41,908.79",-56.52%
SKBBL,Sana Kisan Bikas Bank,Microcredit,763.50,32.93 Ar,+0.08%,+0.32%,-0.99%,+1.75%,+5.19%,+10.27%,15.46,49.37,3.53,"10,74,472.06","5,66,584.47",+89.64%,"6,54,335.01","3,41,713.03",+91.49%,"3,80,955.88","2,28,498.37",+66.72%,15.46,21.19,-27.04%,216.48,244.30,-11.39%,"4,00,92,180.89","4,05,72,455.79",-1.18%,"2,94,25,725.62","3,00,36,737.57",-2.03%,"49,27,170.08","43,12,621.51",+14.25%,"57,39,285.19","62,23,096.70",-7.77%
SLBBL,Swarojgar Laghu Bitta Bikas Bank,Microcredit,824.00,6.46 Ar,+0.70%,+0.12%,-0.11%,+11.62%,+11.59%,+40.93%,32.53,25.33,4.75,"6,72,117.03","3,38,472.80",+98.57%,"3,48,924.79","1,77,253.97",+96.85%,"1,27,495.56","50,647.97",+151.73%,32.53,25.84,+25.86%,173.65,165.96,+4.63%,"1,09,38,016.20","1,05,28,615.08",+3.89%,"95,76,759.15","92,27,600.43",+3.78%,"7,83,924.40","7,83,924.40",0.00%,"5,77,332.64","5,17,090.25",+11.65%
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,Microcredit,"1,309.00",2.24 Ar,+1.46%,-1.50%,+0.69%,+2.10%,-46.07%,+15.70%,39.01,33.56,13.48,"1,54,005.25","80,036.82",+92.42%,"86,884.87","45,599.39",+90.54%,"33,314.89","9,088.56",+266.56%,39.01,21.28,+83.28%,97.12,122.06,-20.43%,"24,88,221.66","21,37,079.33",+16.43%,"23,22,337.32","19,28,598.67",+20.42%,"1,70,805.00","1,70,805.00",0.00%,"-4,920.67","37,675.66",-113.06%
SLCF,Sanima Large Cap Fund,Mutual Fund,9.89,1.19 Ar,+1.85%,+0.71%,+5.78%,+7.97%,+20.57%,+17.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microcredit,781.00,4.91 Ar,-0.13%,-1.88%,+0.50%,+5.71%,-7.62%,+109.10%,17.12,45.62,5.75,"3,93,392.72","1,94,847.52",+101.90%,"2,23,994.23","1,07,980.05",+107.44%,"56,536.45","19,716.34",+186.75%,17.12,12.54,+36.55%,135.74,147.30,-7.85%,"64,05,401.55","67,89,768.78",-5.66%,"55,08,846.75","58,63,170.26",-6.04%,"6,60,504.14","6,29,051.56",+5.00%,"2,36,050.66","2,97,546.95",-20.67%
SMB,Support Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,890.00",2.31 Ar,+0.48%,-0.68%,+6.18%,-1.19%,-23.33%,+100.54%,51.87,36.44,10.00,"1,51,052.84","76,253.34",+98.09%,"89,449.00","44,950.53",+98.99%,"31,755.79","16,200.34",+96.02%,51.87,52.92,-1.99%,189.01,190.55,-0.81%,"22,43,797.43","21,49,955.26",+4.36%,"20,12,370.37","19,16,640.39",+4.99%,"1,22,443.45","1,22,443.45",0.00%,"1,08,983.61","1,10,871.42",-1.70%
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,629.90",2.50 Ar,-0.01%,-2.92%,-0.37%,-2.98%,-13.77%,+28.37%,38.11,42.76,7.91,"2,08,848.58","1,02,310.24",+104.13%,"1,15,306.48","52,672.55",+118.91%,"29,242.80","8,027.10",+264.30%,38.11,20.93,+82.15%,206.18,192.35,+7.19%,"34,14,612.44","30,80,300.11",+10.85%,"30,98,240.16","27,85,143.52",+11.24%,"1,53,445.51","1,53,445.51",0.00%,"1,62,926.77","1,41,711.08",+14.97%
SMH,Super Mai Hydropower Limited,Hydro Power,823.30,4.40 Ar,-1.40%,-2.80%,+13.56%,+9.99%,-23.41%,+105.83%,10.19,80.76,6.38,"93,826.04","68,594.51",+36.78%,"80,918.62","61,293.33",+32.02%,"27,270.74","33,141.43",-17.71%,10.19,24.78,-58.86%,128.99,130.36,-1.05%,"13,43,849.89","13,69,741.04",-1.89%,"6,53,772.25","6,72,310.67",-2.76%,"5,35,000.00","5,35,000.00",0.00%,"1,55,077.65","1,62,430.38",-4.53%
SMHL,Super Madi Hydropower Limited,Hydro Power,464.00,10.23 Ar,+0.65%,-6.09%,-6.45%,-38.69%,-56.38%,+56.40%,18.68,24.83,4.01,"6,72,866.73","3,95,563.14",+70.10%,"6,26,985.27","3,85,094.08",+62.81%,"2,05,988.55","1,11,884.29",+84.11%,18.68,20.30,-7.95%,115.76,111.49,+3.83%,"97,53,973.87","98,65,162.34",-1.13%,"72,01,493.54","74,06,786.27",-2.77%,"22,05,000.00","22,05,000.00",0.00%,"3,47,480.32","2,53,376.06",+37.14%
SMJC,Sagarmatha Jalabidhyut Company Limited,Hydro Power,486.00,5.70 Ar,+0.62%,-6.54%,+0.41%,-2.80%,-18.46%,+49.79%,3.85,126.18,4.51,"1,22,668.69","81,157.39",+51.15%,"1,06,579.42","74,238.40",+43.56%,"22,593.61","30,686.54",-26.37%,3.85,10.46,-63.19%,107.73,108.42,-0.64%,"24,68,904.85","25,13,134.15",-1.76%,"12,04,997.82","12,41,134.22",-2.91%,"11,73,200.00","11,73,200.00",0.00%,"90,707.03","98,799.94",-8.19%
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,Microcredit,870.00,6.10 Ar,0.00%,-0.80%,-0.91%,-3.76%,-12.96%,-9.67%,24.55,35.44,5.50,"6,46,039.34","3,28,681.09",+96.56%,"3,45,240.22","1,68,069.04",+105.42%,"86,030.02","54,276.49",+58.50%,24.55,30.98,-20.75%,158.15,186.58,-15.24%,"1,06,59,933.45","1,11,36,290.96",-4.28%,"95,51,558.21","98,28,653.81",-2.82%,"7,00,858.35","7,00,858.35",0.00%,"4,07,516.89","6,06,778.80",-32.84%
SNLI,Sun Nepal Life Insurance Company Limited,Life Insurance,456.90,22.99 Ar,-0.22%,-2.16%,-3.20%,+4.75%,-9.34%,+54.59%,1.83,249.12,4.12,"15,58,229.78","13,02,173.00",+19.66%,"2,56,418.24","6,13,188.44",-58.18%,"46,137.78","2,39,277.62",-80.72%,1.83,19.02,-90.36%,147.28,161.89,-9.02%,"1,87,90,573.90","1,88,50,031.89",-0.32%,"1,13,80,411.97","1,07,05,111.29",+6.31%,"50,31,232.00","50,31,226.50",0.00%,"5,48,529.23","12,59,741.84",-56.46%
SONA,Sonapur Minerals And Oil Limited,Manufacturing And Processing,429.00,13.19 Ar,+0.02%,-1.83%,-0.56%,+4.43%,-7.74%,+36.19%,5.68,75.49,2.24,"6,71,071.80","26,27,458.45",-74.46%,"2,34,676.10","7,12,940.93",-67.08%,"43,688.34","6,150.26",+610.35%,5.68,0.20,"+2,741.40%",191.91,190.49,+0.75%,"1,41,25,802.11","1,39,40,764.61",+1.33%,"82,24,465.84","80,83,116.67",+1.75%,"30,75,050.00","30,75,050.00",0.00%,"28,26,286.27","27,82,597.93",+1.57%
SPC,Samling Power Company Limited,Hydro Power,509.00,2.54 Ar,+0.20%,-3.47%,-4.68%,+12.11%,-24.03%,+58.81%,-1.98,-257.36,4.81,"1,01,310.71","78,418.70",+29.19%,"87,068.58","68,078.34",+27.89%,"-4,944.39","21,785.77",-122.70%,-1.98,17.43,-111.35%,105.93,112.00,-5.42%,"21,39,136.12","21,32,559.39",+0.31%,"16,09,503.19","15,72,546.30",+2.35%,"5,00,000.00","5,00,000.00",0.00%,"29,632.93","60,013.09",-50.62%
SPDL,Synergy Power Development Ltd.,Hydro Power,407.90,4.94 Ar,+1.97%,-0.71%,+6.22%,+10.65%,+19.96%,+126.13%,9.18,44.43,3.44,"1,34,397.51","82,573.33",+62.76%,"1,27,085.02","79,196.64",+60.47%,"55,538.51","38,939.77",+42.63%,9.18,12.87,-28.69%,118.62,117.33,+1.09%,"17,86,517.75","17,89,969.59",-0.19%,"3,51,400.54","3,70,387.66",-5.13%,"12,09,862.50","12,09,862.50",0.00%,"2,25,254.71","2,09,719.43",+7.41%
SPHL,Sayapatri Hydropower Limited,Hydro Power,555.00,1.67 Ar,-1.60%,-5.45%,-4.15%,+10.34%,-35.09%,+159.10%,20.67,26.85,5.75,"27,439.87","57,817.85",-52.54%,"26,462.11","49,773.75",-46.84%,"15,504.04","5,777.99",+168.33%,20.67,1.93,+973.32%,96.55,91.38,+5.66%,"5,41,761.26","5,26,039.51",+2.99%,"2,52,111.22","2,51,893.51",+0.09%,"3,00,000.00","3,00,000.00",0.00%,"-10,349.96","-25,853.99",-59.97%
SPIL,Siddhartha Premier Insurance Limited,Non Life Insurance,694.90,19.50 Ar,+0.86%,-2.26%,-2.76%,+9.59%,-17.57%,-21.84%,-12.72,-54.61,1.33,"11,20,845.31","4,92,445.49",+127.61%,"80,814.83","-2,69,742.51",-129.96%,"-1,78,552.55","-2,98,541.77",-40.19%,-12.72,-42.55,-70.10%,241.34,265.13,-8.97%,"2,13,26,925.71","2,24,91,158.57",-5.18%,"1,45,53,549.43","1,50,50,018.31",-3.30%,"28,06,549.90","28,06,549.90",0.00%,"1,18,516.29","7,28,805.34",-83.74%
SPL,Shuvam Power Limited,Hydro Power,799.00,1.60 Ar,-0.12%,-7.74%,-5.80%,-12.20%,-21.44%,+174.10%,20.11,39.74,7.99,"6,232.29","22,467.88",-72.26%,"5,571.22","17,478.71",-68.13%,"10,052.48","5,250.30",+91.46%,20.10,2.63,+665.86%,100.02,95.05,+5.23%,"2,48,705.33","2,41,562.14",+2.96%,"48,663.36","51,463.98",-5.44%,"2,00,000.00","2,00,000.00",0.00%,41.96,"-9,901.84",-100.42%
SRLI,Sanima Reliance Life Insurance Limited,Life Insurance,392.00,19.66 Ar,+1.95%,-0.51%,-0.48%,+3.84%,-2.50%,+44.31%,11.01,35.59,3.72,"44,11,127.08","22,24,814.44",+98.27%,"6,65,621.86","3,39,187.64",+96.24%,"2,76,187.71","1,49,608.05",+84.61%,11.01,11.93,-7.70%,108.26,110.57,-2.09%,"2,85,77,518.97","2,76,72,278.13",+3.27%,"2,31,48,477.83","2,21,27,406.00",+4.61%,"50,14,924.06","50,14,924.06",0.00%,"2,65,789.41","4,06,910.48",-34.68%
SSHL,Shiva Shree Hydropower Ltd,Hydro Power,195.50,2.89 Ar,-1.01%,-2.25%,+23.27%,+17.07%,+17.77%,+50.38%,-1.56,-125.67,3.45,"2,57,484.09","1,49,600.65",+72.11%,"2,52,334.41","1,46,477.26",+72.27%,"-22,967.26",-306.05,"+7,404.31%",-1.56,-0.07,"+2,256.09%",56.69,30.36,+86.72%,"50,38,103.44","49,91,449.21",+0.93%,"33,64,186.13","44,28,524.98",-24.03%,"29,52,800.00","18,54,148.30",+59.25%,"-12,78,882.70","-12,91,224.08",-0.96%
STC,Salt Trading Corporation,Trading,"5,550.00",17.80 Ar,+0.91%,+0.42%,-0.54%,+6.73%,+7.76%,+16.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWASTIK,Swastik Laghubitta Bittiya Sanstha Limited,Microcredit,"2,870.00",1.66 Ar,+0.17%,-3.92%,-0.52%,+580.74%,+604.47%,+604.47%,27.65,103.81,19.13,"31,395.23","91,361.55",-65.64%,"20,428.29","40,618.45",-49.71%,"3,991.37","9,973.38",-59.98%,27.65,28.78,-3.95%,150.03,200.32,-25.11%,"7,91,163.51","6,72,374.15",+17.67%,"7,04,523.22","6,02,963.07",+16.84%,"57,750.00","34,650.00",+66.67%,"28,890.29","34,761.08",-16.89%
SWBBL,Swabalamban Bikas Bank,Microcredit,732.90,12.14 Ar,-0.15%,-0.96%,+0.38%,-0.32%,-13.05%,-14.46%,19.73,37.15,3.35,"17,17,295.98","9,26,996.30",+85.25%,"9,50,775.51","5,41,200.33",+75.68%,"1,72,629.25","57,880.30",+198.25%,19.73,13.98,+41.17%,218.53,227.88,-4.10%,"2,52,36,019.48","2,42,73,441.61",+3.97%,"2,14,11,710.27","2,04,98,341.83",+4.46%,"17,50,000.00","16,56,625.00",+5.64%,"20,74,309.22","21,18,474.78",-2.08%
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microcredit,675.00,7.47 Ar,+2.43%,-0.15%,-0.27%,-0.59%,-13.07%,+51.29%,21.18,31.87,4.61,"8,04,638.11","4,01,662.47",+100.33%,"4,30,380.23","2,07,530.87",+107.38%,"1,17,142.13","62,452.40",+87.57%,21.18,22.58,-6.21%,146.33,150.92,-3.04%,"1,26,43,859.53","1,27,59,835.30",-0.91%,"1,10,25,082.07","1,10,90,278.85",-0.59%,"11,06,286.30","11,06,286.30",0.00%,"5,12,491.16","5,63,270.16",-9.02%
SYPNL,SY Panel Nepal Limited,Manufacturing And Processing,"1,892.00",24.75 Ar,-0.94%,-10.54%,+36.72%,+437.96%,+437.96%,+437.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydro Power,435.20,14.50 Ar,-0.02%,-2.86%,-1.76%,-6.63%,-25.84%,+34.11%,10.86,40.06,3.77,"8,89,135.34","5,74,666.87",+54.72%,"7,79,742.47","5,18,382.22",+50.42%,"1,81,010.57","2,10,016.41",-13.81%,10.86,25.21,-56.91%,115.57,116.44,-0.75%,"1,41,10,082.97","1,42,67,143.79",-1.10%,"1,02,58,701.38","1,03,86,756.36",-1.23%,"33,32,497.00","33,32,497.00",0.00%,"5,18,884.59","5,47,890.43",-5.29%
TPC,Terhathum Power Company Limited,Hydro Power,429.00,3.43 Ar,+5.30%,+8.88%,+15.60%,+31.23%,+17.53%,+138.86%,16.54,25.94,4.25,"1,13,908.40","82,307.76",+38.39%,"85,719.50","67,718.51",+26.58%,"66,148.26","56,247.67",+17.60%,16.54,28.12,-41.20%,100.85,99.61,+1.24%,"12,03,347.86","12,13,820.49",-0.86%,"3,96,550.94","4,16,924.16",-4.89%,"8,00,000.00","8,00,000.00",0.00%,"6,796.92","-3,103.67",-319.00%
TRH,Taragaon Regency Hotel,Hotels,757.00,14.85 Ar,+0.80%,-0.92%,+5.80%,+8.75%,-31.25%,+145.03%,-9.26,-81.76,5.05,"2,33,164.53","2,03,820.88",+14.40%,"-41,059.39",-486.22,"+8,344.59%","-90,830.99","-23,742.88",+282.56%,-9.26,-4.84,+91.28%,150.05,157.49,-4.72%,"42,39,805.94","46,53,009.43",-8.88%,"12,95,698.57","15,62,915.01",-17.10%,"19,62,120.16","19,62,120.16",0.00%,"9,81,987.21","11,27,974.26",-12.94%
TSHL,Three Star Hydropower Limited,Hydro Power,770.50,3.79 Ar,-1.72%,-3.81%,+1.92%,+11.83%,-16.16%,+174.69%,-4.60,-167.41,11.75,"79,883.92","60,039.51",+33.05%,"49,264.47","48,473.59",+1.63%,"-11,333.38","16,569.50",-168.40%,-4.60,13.46,-134.20%,65.57,71.28,-8.00%,"13,63,217.67","13,89,889.35",-1.92%,"10,40,274.01","10,38,859.48",+0.14%,"4,92,500.00","4,92,500.00",0.00%,"-1,69,556.34","-1,41,470.13",+19.85%
TTL,Trade Tower Limited,Trading,899.00,7.33 Ar,0.00%,-6.27%,+3.36%,+27.14%,+123.24%,+123.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVCL,Trishuli Jal Vidhyut Company Limited,Hydro Power,620.00,11.49 Ar,+1.64%,+7.83%,+61.88%,+51.96%,+1.66%,+110.31%,-6.99,-88.72,7.75,0.00,0.00,0.00%,0.00,0.00,0.00%,"-62,512.41","-27,475.05",+127.52%,-6.99,-6.14,+13.76%,79.98,81.94,-2.39%,"73,17,068.66","71,32,449.26",+2.59%,"58,86,048.54","56,66,391.78",+3.88%,"17,89,162.77","17,89,162.77",0.00%,"-3,58,142.65","-3,23,105.29",+10.84%
UAIL,United Ajod Insurance Limited,Non Life Insurance,468.00,10.81 Ar,-0.43%,-2.05%,+4.23%,+3.77%,-25.76%,-8.93%,-9.23,-50.69,2.44,"7,81,997.59","3,63,461.68",+115.15%,"1,80,548.25","-60,365.58",-399.09%,"-1,06,629.00","-1,51,193.33",-29.48%,-9.23,-26.18,-64.74%,171.70,169.49,+1.30%,"69,46,201.20","78,32,148.34",-11.31%,"29,79,845.50","39,16,832.42",-23.92%,"23,10,000.00","23,10,000.00",0.00%,"-5,987.72","-50,552.06",-88.16%
UHEWA,Upper Hewakhola Hydropower Company Limited,Hydro Power,560.00,2.80 Ar,+0.90%,-0.81%,+1.27%,+11.27%,-29.53%,+350.29%,29.81,18.79,4.25,"1,51,468.94","93,319.76",+62.31%,"1,48,014.32","91,687.12",+61.43%,"74,517.06","51,827.92",+43.78%,29.81,41.46,-28.11%,131.73,126.07,+4.49%,"15,63,390.84","15,85,300.93",-1.38%,"9,04,762.28","9,54,951.84",-5.26%,"5,00,000.00","5,00,000.00",0.00%,"1,58,628.56","1,30,349.10",+21.70%
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microcredit,"3,253.80",3.45 Ar,-0.65%,-0.16%,-5.69%,-17.14%,-30.47%,+318.10%,27.06,120.26,11.82,"1,72,983.30","84,893.94",+103.76%,"90,247.71","42,778.54",+110.96%,"14,359.68","7,727.08",+85.84%,27.06,29.12,-7.08%,275.33,294.27,-6.44%,"31,59,044.49","28,33,721.16",+11.48%,"28,66,785.94","24,53,583.08",+16.84%,"1,06,148.20","1,06,148.20",0.00%,"1,86,110.35","2,06,217.74",-9.75%
ULHC,Upper Lohore Khola Hydropower Company Limited,Hydro Power,533.10,2.72 Ar,-1.09%,-0.91%,+16.91%,+24.67%,-14.57%,+101.93%,-0.36,-1493.42,5.43,0.00,0.00,0.00%,0.00,0.00,0.00%,"-1,364.87","-1,131.92",+20.58%,-0.36,-0.44,-19.61%,98.27,98.31,-0.05%,"12,34,679.23","12,06,096.49",+2.37%,"7,33,719.06","7,04,903.37",+4.09%,"5,09,804.00","5,09,804.00",0.00%,"-8,843.83","-8,610.88",+2.71%
UMHL,United Modi Hydropower,Hydro Power,614.00,7.56 Ar,-0.26%,-4.21%,+8.54%,+16.73%,+49.76%,+301.14%,6.14,100.02,5.55,"1,50,495.00","76,260.00",+97.34%,"1,39,192.00","71,270.00",+95.30%,"37,769.00","19,181.00",+96.91%,6.14,6.24,-1.55%,110.67,109.24,+1.31%,"21,72,432.00","21,34,179.00",+1.79%,"8,10,681.00","7,89,994.00",+2.62%,"12,30,500.00","12,30,500.00",0.00%,"1,31,251.00","1,13,684.00",+15.45%
UMRH,United IDI Mardi RB Hydropower Limited,Hydro Power,557.00,2.57 Ar,+0.18%,-3.13%,-0.36%,+7.70%,-16.61%,+182.48%,20.94,26.60,4.79,"1,11,248.54","63,338.20",+75.64%,"96,306.82","51,769.44",+86.03%,"48,246.62","26,586.06",+81.47%,20.94,23.08,-9.26%,116.23,111.73,+4.03%,"14,34,899.72","14,50,865.08",-1.10%,"8,99,298.61","9,35,996.41",-3.92%,"4,60,824.00","4,60,824.00",0.00%,"74,777.11","54,044.68",+38.36%
UNHPL,Union Hydropower Limited,Hydro Power,510.00,3.83 Ar,+0.20%,-3.95%,+10.63%,-2.09%,+44.39%,+343.48%,7.03,72.57,4.90,"49,609.66","27,751.91",+78.76%,"48,467.49","27,210.99",+78.12%,"26,352.33","14,603.41",+80.45%,7.03,7.79,-9.77%,104.17,102.84,+1.30%,"7,85,999.29","7,94,477.87",-1.07%,"4,706.20","23,187.77",-79.70%,"7,50,000.00","7,50,000.00",0.00%,"31,293.10","21,290.11",+46.98%
UNL,Unilever Nepal,Manufacturing And Processing,"46,600.00",42.90 Ar,+0.65%,-2.10%,0.00%,+0.22%,+2.88%,+191.98%,1587.19,29.36,10.07,"38,46,900.00","20,29,900.00",+89.51%,"19,55,400.00","9,59,800.00",+103.73%,"7,30,900.00","2,99,900.00",+143.71%,"1,587.19","1,302.50",+21.86%,"4,627.69","6,001.30",-22.89%,"83,75,800.00","82,29,500.00",+1.78%,"41,13,700.00","27,02,300.00",+52.23%,"92,100.00","92,100.00",0.00%,"41,70,000.00","54,35,100.00",-23.28%
UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,Microcredit,"1,842.00",2.74 Ar,-0.70%,-1.34%,-0.43%,-4.56%,-28.83%,+86.17%,62.31,29.56,7.53,"2,55,965.15","1,36,720.77",+87.22%,"1,31,539.73","72,883.69",+80.48%,"46,291.09","18,598.06",+148.90%,62.31,50.07,+24.45%,244.51,272.14,-10.15%,"37,56,241.43","37,91,462.05",-0.93%,"33,92,963.22","33,87,131.94",+0.17%,"1,48,575.00","1,48,575.00",0.00%,"2,14,703.22","2,55,755.11",-16.05%
UPCL,Universal Power Company Ltd,Hydro Power,382.10,8.71 Ar,+0.69%,-0.75%,+8.24%,+5.76%,+35.82%,+231.06%,6.74,56.71,3.60,"1,73,823.67","95,358.35",+82.28%,"1,55,207.53","87,808.22",+76.76%,"83,727.43","53,600.06",+56.21%,6.74,9.40,-28.35%,106.07,114.76,-7.58%,"40,76,713.09","40,59,217.93",+0.43%,"14,40,828.01","14,42,660.63",-0.13%,"24,85,123.62","22,79,929.93",+9.00%,"1,50,761.46","3,36,627.37",-55.21%
UPPER,Upper Tamakoshi Hydropower Ltd,Hydro Power,192.90,40.86 Ar,+1.53%,+2.55%,+11.05%,+10.54%,-4.93%,-33.14%,31.63,6.10,3.62,"38,55,149.07","69,23,881.51",-44.32%,"37,48,790.91","67,44,664.26",-44.42%,"16,74,689.00","-25,72,538.62",-165.10%,31.63,-12.15,-360.39%,53.25,45.34,+17.44%,"8,50,07,782.97","8,44,02,176.29",+0.72%,"7,37,30,376.08","7,47,99,458.41",-1.43%,"2,11,80,000.00","2,11,80,000.00",0.00%,"-99,02,593.12","-1,15,77,282.12",-14.47%
USHEC,Upper Solu Hydro Electric Company Limited,Hydro Power,469.00,6.33 Ar,-0.02%,-3.62%,+1.98%,-3.40%,-35.58%,+31.37%,28.69,16.35,3.97,"4,71,640.66","2,58,348.20",+82.56%,"4,27,635.55","2,36,879.90",+80.53%,"1,93,635.47","1,16,498.34",+66.21%,28.69,34.52,-16.89%,118.12,112.67,+4.84%,"48,58,066.32","48,28,372.48",+0.61%,"32,63,401.19","33,07,319.60",-1.33%,"13,50,000.00","13,50,000.00",0.00%,"2,44,665.14","1,71,052.87",+43.03%
USHL,Upper Syange Hydropower Limited,Hydro Power,739.50,1.63 Ar,-1.00%,-2.05%,-8.84%,+5.64%,-9.60%,+165.15%,4.63,159.82,7.85,"38,391.41","18,948.40",+102.61%,"37,143.36","18,176.40",+104.35%,"5,089.64",916.18,+455.53%,4.63,1.67,+177.76%,94.15,92.25,+2.06%,"6,26,978.76","6,29,863.36",-0.46%,"4,19,853.40","4,26,911.43",-1.65%,"2,20,000.00","2,20,000.00",0.00%,"-12,874.61","-17,048.07",-24.48%
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microcredit,"1,437.00",3.55 Ar,-0.42%,-1.98%,-0.55%,-23.93%,-20.08%,+2.36%,17.04,84.31,9.02,"2,58,042.34","1,29,161.81",+99.78%,"1,38,807.74","66,354.93",+109.19%,"21,038.57","4,286.64",+390.79%,17.04,6.95,+145.40%,159.37,149.95,+6.29%,"42,12,297.36","41,00,603.13",+2.72%,"38,18,862.01","37,30,434.37",+2.37%,"2,46,865.74","2,46,865.74",0.00%,"1,46,569.61","1,23,303.02",+18.87%
