Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
NLG,Nlg Insurance,Non Life Insurance,676.00,17.34 Ar,-1.30%,-5.85%,-0.60%,+1.35%,-36.47%,+37.71%,0.86,785.05,2.30,"7,82,383.04","3,94,088.34",+98.53%,"2,49,677.65","-11,048.68","-2,359.80%","11,044.50","-1,01,052.28",-110.93%,0.86,-15.76,-105.46%,174.15,168.76,+3.19%,"98,74,764.13","95,62,074.22",+3.27%,"54,07,353.67","52,32,975.94",+3.33%,"25,65,224.43","25,65,224.43",0.00%,"2,272.74","-1,50,777.45",-101.51%
NLIC,Nepal Life Insurance,Life Insurance,754.00,68.08 Ar,+0.40%,-2.09%,-3.21%,+1.16%,+13.52%,-52.52%,7.11,106.08,7.04,"3,58,11,973.51","1,83,64,131.39",+95.01%,"28,60,231.54","14,91,367.24",+91.79%,"3,36,920.29","2,15,551.66",+56.31%,7.11,9.55,-25.57%,124.86,138.14,-9.61%,"27,22,41,271.90","26,21,32,838.10",+3.86%,"26,04,04,147.30","24,96,60,890.90",+4.30%,"94,80,201.37","90,28,763.21",+5.00%,"6,77,609.06","13,94,589.37",-51.41%
NLICL,National Life Insurance,Life Insurance,585.00,32.02 Ar,+1.04%,-1.68%,+0.26%,+2.31%,+10.61%,-17.29%,10.08,58.04,5.46,"1,43,20,104.79","73,11,425.62",+95.86%,"15,70,068.89","7,37,596.83",+112.86%,"2,86,831.35","1,40,885.66",+103.59%,10.08,10.30,-2.12%,127.64,131.54,-2.97%,"11,02,66,938.00","10,55,67,467.70",+4.45%,"10,30,02,290.40","9,83,68,639.40",+4.71%,"56,91,649.33","54,72,739.74",+4.00%,"4,07,935.06","6,38,071.82",-36.07%
NMB,NMB Bank,Commercial Banks,234.00,42.98 Ar,+0.30%,-0.04%,-2.46%,+7.75%,+3.95%,-33.10%,17.10,13.69,1.38,"1,06,53,507.00","55,94,323.00",+90.43%,"47,71,475.00","24,87,253.00",+91.84%,"16,48,614.00","9,15,983.00",+79.98%,17.10,19.95,-14.29%,169.36,179.29,-5.54%,"35,91,35,364.00","36,02,20,851.00",-0.30%,"32,64,73,469.00","32,72,90,460.00",-0.25%,"1,92,85,041.00","1,83,66,706.00",+5.00%,"1,33,76,853.00","1,45,63,685.00",-8.15%
NMB50,NMB 50,Mutual Fund,10.25,1.28 Ar,-0.10%,-2.01%,-2.38%,+1.38%,+11.61%,+59.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMBHF2,NMB Hybrid Fund L- II,Mutual Fund,9.44,1.29 Ar,+0.43%,-2.48%,+2.72%,+6.30%,+2.38%,+2.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMBMF,NMB Microfinance,Microcredit,658.90,4.75 Ar,-0.62%,-2.67%,-3.66%,+0.52%,-16.70%,-27.69%,9.67,68.12,4.69,"4,69,439.15","2,34,381.43",+100.29%,"2,83,143.97","1,36,335.53",+107.68%,"34,891.74","12,725.09",+174.20%,9.67,7.06,+37.10%,140.61,140.01,+0.43%,"85,43,328.76","77,18,825.56",+10.68%,"75,28,864.46","67,08,739.86",+12.22%,"7,21,449.15","7,21,449.15",0.00%,"2,93,015.15","2,88,636.55",+1.52%
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,114.00",14.83 Ar,-0.54%,+0.67%,-2.02%,+1.80%,-2.04%,-1.92%,48.21,23.11,4.54,"16,98,727.00","8,42,820.00",+101.55%,"9,02,242.00","4,23,211.00",+113.19%,"3,66,699.00","1,44,287.00",+154.15%,48.21,43.34,+11.22%,245.37,255.89,-4.11%,"3,08,06,828.00","3,01,08,634.00",+2.32%,"2,70,73,882.00","2,67,01,201.00",+1.40%,"15,21,363.00","13,31,609.00",+14.25%,"22,11,583.00","20,75,824.00",+6.54%
NMIC,Nepal Micro Insurance Company Limited,Non Life Insurance,"1,315.00",9.86 Ar,-1.50%,-9.68%,+5.88%,-0.98%,+295.49%,+295.49%,3.61,364.03,9.56,"64,316.50","42,976.13",+49.66%,"32,899.40","23,762.33",+38.45%,"13,546.33","8,207.19",+65.05%,3.61,4.38,-17.47%,101.65,106.89,-4.90%,"10,72,763.59","11,25,797.96",-4.71%,"3,10,369.65","3,24,150.67",-4.25%,"7,50,000.00","7,50,000.00",0.00%,"2,261.87","44,360.95",-94.90%
NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microcredit,622.00,8.69 Ar,+0.48%,-1.27%,-1.89%,-1.58%,-9.46%,-25.47%,11.18,55.62,2.92,"12,73,097.60","7,15,018.61",+78.05%,"6,81,075.05","4,03,300.41",+68.88%,"78,150.52","55,368.51",+41.15%,11.18,15.84,-29.43%,212.76,211.21,+0.73%,"2,14,11,950.49","2,12,68,274.67",+0.68%,"1,84,38,083.11","1,83,16,013.85",+0.67%,"13,97,764.27","13,97,764.27",0.00%,"15,76,103.10","15,54,496.55",+1.39%
NRIC,Nepal Reinsurance Company Limited,ReInsurance,"1,252.00",168.05 Ar,-0.87%,-2.57%,-2.11%,-5.01%,+28.48%,+7.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM,Nepal Republic Media Limited,Media,425.00,4.11 Ar,+0.71%,-3.19%,-1.85%,+2.29%,-27.23%,+54.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRN,NRN Infrastructure and Development Limited,Organized Fund,"1,590.00",20.42 Ar,+0.38%,-3.46%,+15.89%,+11.70%,+57.04%,+519.62%,-0.59,-2700.63,9.11,"22,645.42","12,533.84",+80.67%,"15,506.39","7,708.85",+101.15%,"-5,293.24","5,066.95",-204.47%,-0.59,1.58,-137.31%,174.49,241.90,-27.87%,"35,67,740.13","37,16,127.49",-3.99%,"4,30,227.88","6,09,207.52",-29.38%,"17,98,121.20","12,84,372.29",+40.00%,"13,39,391.04","18,22,547.69",-26.51%
NSIF2,NMB Sulav Investment Fund - 2,Mutual Fund,10.66,1.30 Ar,-0.37%,-1.30%,+2.50%,+4.61%,+18.75%,+20.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC,Nepal Doorsanchar Company,Telecom,848.00,152.64 Ar,+0.06%,-0.59%,-0.40%,+2.47%,-0.55%,-8.67%,46.27,18.33,1.57,"1,92,27,266.00","94,71,050.00",+103.01%,"1,62,99,173.00","79,45,789.00",+105.13%,"41,64,508.00","13,25,174.00",+214.26%,46.27,29.45,+57.13%,539.51,505.75,+6.67%,"13,49,87,055.00","12,63,67,322.00",+6.82%,"3,78,75,189.00","3,53,31,602.00",+7.20%,"1,80,00,000.00","1,80,00,000.00",0.00%,"7,91,11,867.00","7,30,35,720.00",+8.32%
