Symbol,Date,Signal,Close_at_Crossover,Latest_Close,P/L_%
JBBL,2025-09-11,SELL,325.4,332.0,-2.03
MHNL,2025-09-11,SELL,245.13,265.7,-8.39
NYADI,2025-09-11,SELL,399.62,401.5,-0.47
SSHL,2025-09-11,SELL,173.88,185.5,-6.68
BARUN,2025-09-04,SELL,330.66,346.2,-4.7
MPFL,2025-09-04,SELL,570.03,610.0,-7.01
HURJA,2025-08-28,SELL,237.78,263.0,-10.61
KKHC,2025-08-28,SELL,256.24,288.6,-12.63
OHL,2025-08-21,SELL,862.03,708.0,17.87
SIFC,2025-08-21,SELL,508.34,577.0,-13.51
JOSHI,2025-08-14,SELL,319.81,296.0,7.45
LEC,2025-08-07,BUY,254.17,215.0,-15.41
ADBL,2025-07-31,BUY,332.18,296.5,-10.74
ICFC,2025-07-31,BUY,694.65,640.2,-7.84
MFIL,2025-07-31,BUY,716.71,747.0,4.23
CGH,2025-07-24,BUY,1129.73,821.1,-27.32
GBBL,2025-07-24,BUY,469.65,392.5,-16.43
JBBL,2025-07-24,BUY,387.21,332.0,-14.26
MNBBL,2025-07-24,BUY,473.72,359.0,-24.22
RURU,2025-07-24,BUY,812.81,660.0,-18.8
SCB,2025-07-24,BUY,670.91,640.8,-4.49
SIFC,2025-07-24,BUY,566.43,577.0,1.87
RHPL,2025-07-24,SELL,349.21,294.0,15.81
CHCL,2025-07-17,BUY,547.62,466.9,-14.74
LBBL,2025-07-17,BUY,492.67,474.0,-3.79
MBL,2025-07-17,BUY,261.69,226.0,-13.64
NBL,2025-07-17,BUY,299.67,240.7,-19.68
CZBIL,2025-07-10,BUY,220.98,188.1,-14.88
SJCL,2025-07-10,SELL,314.29,301.8,3.97
PCBL,2025-07-03,BUY,254.49,231.5,-9.03
MHNL,2025-06-26,BUY,280.79,265.7,-5.37
CFCL,2025-06-26,SELL,498.18,535.0,-7.39
CHL,2025-06-26,SELL,337.99,280.5,17.01
CZBIL,2025-06-26,SELL,201.99,188.1,6.88
PCBL,2025-06-26,SELL,237.82,231.5,2.66
AKJCL,2025-06-19,BUY,218.06,373.0,71.05
SAHAS,2025-06-19,BUY,545.38,556.0,1.95
SBL,2025-06-19,BUY,307.4,373.0,21.34
SIFC,2025-06-19,SELL,510.63,577.0,-13.0
SIFC,2025-06-12,BUY,586.56,577.0,-1.63
ALICL,2025-06-12,SELL,500.56,442.8,11.54
MHNL,2025-06-12,SELL,264.38,265.7,-0.5
PROFL,2025-06-12,SELL,494.97,453.0,8.48
TRH,2025-06-12,SELL,942.89,743.0,21.2
NGPL,2025-06-05,BUY,395.88,425.1,7.38
JBBL,2025-06-05,SELL,326.04,332.0,-1.83
MBL,2025-06-05,SELL,217.46,226.0,-3.93
RLFL,2025-06-05,SELL,467.59,447.0,4.4
SIFC,2025-06-05,SELL,485.56,577.0,-18.83
TPC,2025-06-05,SELL,336.55,392.0,-16.48
GBIME,2025-05-29,BUY,249.27,223.2,-10.46
HURJA,2025-05-29,BUY,253.03,263.0,3.94
MBL,2025-05-29,BUY,234.82,226.0,-3.76
BFC,2025-05-29,SELL,485.09,465.0,4.14
SCB,2025-05-29,SELL,628.67,640.8,-1.93
SPC,2025-05-29,SELL,508.71,499.0,1.91
GMFIL,2025-05-22,SELL,507.26,457.0,9.91
SFCL,2025-05-22,SELL,492.43,381.0,22.63
AKJCL,2025-05-15,SELL,205.45,373.0,-81.55
MBL,2025-05-15,SELL,211.18,226.0,-7.02
RURU,2025-05-15,SELL,693.42,660.0,4.82
AKJCL,2025-05-08,BUY,219.19,373.0,70.17
HBL,2025-05-08,SELL,220.32,188.6,14.4
GBIME,2025-05-01,SELL,215.07,223.2,-3.78
ICFC,2025-04-24,SELL,590.99,640.2,-8.33
LBBL,2025-04-24,SELL,389.4,474.0,-21.73
MFIL,2025-04-24,SELL,585.52,747.0,-27.58
SBL,2025-04-24,SELL,272.84,373.0,-36.71
GFCL,2025-04-17,SELL,679.49,640.0,5.81
NBL,2025-04-10,SELL,246.12,240.7,2.2
SHINE,2025-04-10,SELL,411.27,403.5,1.89
CHCL,2025-04-03,SELL,481.48,466.9,3.03
GBBL,2025-03-27,SELL,394.51,392.5,0.51
JFL,2025-03-27,SELL,512.71,424.8,17.15
ADBL,2025-03-20,SELL,285.66,296.5,-3.79
NFS,2025-03-13,SELL,734.9,625.0,14.95
NLICL,2025-02-27,BUY,620.5,569.0,-8.3
PFL,2025-02-06,SELL,412.0,372.0,9.71
GUFL,2025-01-30,SELL,594.5,548.0,7.82
LEC,2025-01-30,SELL,210.0,215.0,-2.38
MNBBL,2025-01-23,SELL,371.0,359.0,3.23
NGPL,2025-01-23,SELL,285.0,425.1,-49.16
NLICL,2025-01-16,SELL,589.0,569.0,3.4
AKJCL,2025-01-09,SELL,201.0,373.0,-85.57
MEN,2025-01-09,SELL,620.0,574.3,7.37
