Symbol,Date,Signal,Entry_Close,Latest_Close,PnL_%
HIDCL,2024-04-29,Buy,162.0,265.3,63.77
AKPL,2024-04-29,Buy,167.0,255.0,52.69
KBL,2024-04-25,Buy,134.0,184.8,37.91
MEN,2024-04-07,Buy,510.0,605.0,18.63
NMB,2024-03-06,Buy,181.4,241.5,33.13
PCBL,2024-03-03,Buy,188.9,245.0,29.7
CZBIL,2023-11-21,Buy,160.3,198.0,23.52
EBL,2023-11-20,Buy,467.9,671.0,43.41
SHPC,2023-11-06,Buy,292.0,553.9,89.69
CGH,2023-10-18,Buy,1090.0,877.5,-19.5
NLICL,2023-10-17,Buy,531.0,596.0,12.24
UMRH,2023-09-18,Buy,342.0,576.0,68.42
PMHPL,2023-09-18,Buy,158.8,333.0,109.7
UMHL,2023-09-17,Buy,174.0,631.0,262.64
SPDL,2023-09-13,Buy,175.0,391.0,123.43
NHPC,2023-09-12,Buy,134.0,214.1,59.78
DHPL,2023-09-12,Buy,140.0,305.5,118.21
PPCL,2023-09-12,Buy,215.0,368.5,71.4
UPCL,2023-09-12,Buy,173.8,377.0,116.92
MKJC,2023-09-11,Buy,325.0,515.4,58.58
MHNL,2023-09-10,Buy,175.0,268.9,53.66
UNHPL,2023-08-27,Buy,165.0,461.6,179.76
RADHI,2023-08-22,Buy,209.0,805.0,285.17
EDBL,2023-04-11,Buy,285.9,668.0,133.65
PLI,2023-04-10,Buy,397.0,587.0,47.86
PLIC,2023-03-09,Buy,422.0,340.0,-19.43
ULI,2023-03-07,Buy,407.0,358.0,-12.04
GLICL,2023-02-08,Buy,456.0,344.0,-24.56
NIB,2023-01-01,Buy,239.6,251.0,4.76
MEGA,2022-12-26,Buy,196.5,219.0,11.45
SRBL,2022-12-26,Buy,183.5,173.1,-5.67
BOKL,2022-12-26,Buy,205.0,207.3,1.12
HPPL,2022-12-22,Buy,217.9,477.1,118.95
GLH,2022-10-31,Buy,229.0,264.9,15.68
KPCL,2022-10-23,Buy,294.1,586.9,99.56
NIFRA,2022-10-23,Buy,187.1,266.0,42.17
SJCL,2022-09-29,Buy,214.0,295.0,37.85
NHDL,2022-09-29,Buy,304.0,695.0,128.62
NCCB,2022-09-25,Buy,184.0,189.0,2.72
CORBL,2022-06-30,Buy,275.0,1775.3,545.56
KRBL,2022-06-28,Buy,215.0,810.0,276.74
JLI,2022-06-27,Buy,351.9,351.9,0.0
RLI,2022-06-27,Buy,338.1,387.0,14.46
SLICL,2022-06-26,Buy,387.0,387.0,0.0
MDB,2022-06-26,Buy,346.0,638.0,84.39
SHINE,2022-06-26,Buy,284.9,412.0,44.61
SADBL,2022-06-26,Buy,280.0,419.0,49.64
SIFC,2022-06-24,Buy,256.9,598.0,132.78
JBBL,2022-06-24,Buy,265.0,364.5,37.55
MFIL,2022-06-24,Buy,381.0,834.0,118.9
GRDBL,2022-06-24,Buy,198.0,1127.5,469.44
SBI,2022-06-24,Buy,278.0,415.0,49.28
LBL,2022-06-24,Buy,200.0,173.0,-13.5
SLI,2022-06-16,Buy,369.0,396.8,7.53
RHPC,2021-10-21,Buy,619.0,840.0,35.7
SHL,2021-05-02,Buy,189.0,501.8,165.5
MLBL,2019-12-05,Buy,172.0,382.8,122.56
CBL,2019-12-04,Buy,136.0,214.0,57.35
CCBL,2019-02-27,Buy,158.0,199.5,26.27
RRHP,2018-11-19,Buy,111.0,563.9,408.02
GMFIL,2018-07-02,Buy,128.0,489.9,282.73
NBB,2018-03-26,Buy,211.0,400.0,89.57
SHBL,2017-03-16,Buy,399.0,490.0,22.81
