Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
TAMOR,2024-06-02,374.0,395.0,371.6,385.0,2.94 %,29631.0,377.347113248333,377.3444916625007,63.11188531368543,18783.9,0.28630948943919066,0.09359195773051851,True
SSIS,2024-05-29,9.34,9.34,9.34,9.34,0.00 %,0.0,8.961546836475769,8.955141307020828,57.812508537127506,0.0,0.010691779792990986,0.0034966724175429674,True
TSHL,2024-05-21,512.0,541.0,495.0,535.0,6.19 %,30659.0,512.4522653918909,511.5016606219615,64.24050357857163,11350.766666666666,0.05444729386299514,0.025450900162991275,True
JBBL,2024-05-21,302.0,303.0,296.1,297.2,-0.23 %,36633.0,293.9649733313895,293.772953732767,40.66986833632425,47600.63333333333,0.418946290245492,0.15104896458718714,True
SPHL,2024-05-21,483.3,503.0,483.3,502.8,5.87 %,21779.0,469.07885142869156,468.66227112983904,65.20978974342285,3799.5333333333333,0.9813200238724449,0.30737637391625866,True
MHL,2024-05-21,430.0,465.0,429.1,453.0,6.09 %,49392.0,408.51211680295376,406.6919832211689,69.168029918185,9027.133333333333,1.1380626092381363,0.38994812178943905,True
PCBL,2024-05-20,200.0,218.0,199.4,205.9,3.78 %,224862.0,195.22671359610246,194.7618743475942,68.62743729187464,64718.46666666667,0.48907035377622493,0.1766966117865593,True
CLI,2024-05-15,471.0,474.0,460.0,462.9,0.11 %,58629.0,453.35086386230444,453.16010090326677,68.5271182856037,57216.566666666666,0.743697062459114,0.25493300454791096,True
ADBL,2024-05-09,236.8,241.5,233.1,239.0,2.58 %,37949.0,233.87988833132403,233.63651964536558,68.24641979272656,24010.866666666665,0.3641540137794038,0.1357678586149575,True
FMDBL,2024-05-05,634.0,658.0,631.0,638.0,0.63 %,104846.0,616.6919041135034,616.0054728481273,57.71144278606966,29486.033333333333,0.8470408333171008,0.2762324010474231,True
NUBL,2024-05-05,674.9,690.0,659.9,668.0,0.60 %,32699.0,642.6643784953658,641.1221129434899,58.92857142857143,9738.733333333334,0.8970013290284214,0.31542883249096576,True
SADBL,2024-05-02,328.0,328.0,314.2,315.0,-2.17 %,56737.0,301.14465394550535,300.963829891906,58.68984099033638,35030.9,0.8723351100321338,0.2675186370786264,True
