Symbol,Date,Signal,Entry_Close,Latest_Close,PnL_%
BPCL,2024-12-23,Buy,387.0,714.0,84.5
GBIME,2024-12-11,Buy,232.5,228.0,-1.94
RURU,2024-05-14,Buy,557.5,727.0,30.4
CHDC,2024-05-14,Buy,770.0,2207.9,186.74
SHEL,2024-05-14,Buy,156.9,268.0,70.81
AHPC,2024-05-13,Buy,158.0,272.3,72.34
HIDCL,2024-04-29,Buy,162.0,254.5,57.1
AKPL,2024-04-29,Buy,167.0,244.0,46.11
KBL,2024-04-25,Buy,134.0,178.4,33.13
MEN,2024-04-07,Buy,510.0,560.0,9.8
NMB,2024-03-06,Buy,181.4,235.1,29.6
PCBL,2024-03-03,Buy,188.9,257.0,36.05
CZBIL,2023-11-21,Buy,160.3,191.5,19.46
EBL,2023-11-20,Buy,467.9,647.3,38.34
SHPC,2023-11-06,Buy,292.0,515.0,76.37
CGH,2023-10-18,Buy,1090.0,886.0,-18.72
NLICL,2023-10-17,Buy,531.0,603.0,13.56
UMRH,2023-09-18,Buy,342.0,541.0,58.19
PMHPL,2023-09-18,Buy,158.8,316.3,99.18
UMHL,2023-09-17,Buy,174.0,569.9,227.53
SPDL,2023-09-13,Buy,175.0,416.9,138.23
NHPC,2023-09-12,Buy,134.0,190.8,42.39
DHPL,2023-09-12,Buy,140.0,288.0,105.71
PPCL,2023-09-12,Buy,215.0,338.0,57.21
UPCL,2023-09-12,Buy,173.8,359.0,106.56
MKJC,2023-09-11,Buy,325.0,516.0,58.77
MHNL,2023-09-10,Buy,175.0,241.6,38.06
UNHPL,2023-08-27,Buy,165.0,481.5,191.82
RADHI,2023-08-22,Buy,209.0,730.0,249.28
EDBL,2023-04-11,Buy,285.9,568.0,98.67
PLI,2023-04-10,Buy,397.0,587.0,47.86
PLIC,2023-03-09,Buy,422.0,340.0,-19.43
ULI,2023-03-07,Buy,407.0,358.0,-12.04
GLICL,2023-02-08,Buy,456.0,344.0,-24.56
NIB,2023-01-01,Buy,239.6,251.0,4.76
MEGA,2022-12-26,Buy,196.5,219.0,11.45
SRBL,2022-12-26,Buy,183.5,173.1,-5.67
BOKL,2022-12-26,Buy,205.0,207.3,1.12
HPPL,2022-12-22,Buy,217.9,472.0,116.61
GLH,2022-10-31,Buy,229.0,246.0,7.42
KPCL,2022-10-23,Buy,294.1,531.6,80.75
NIFRA,2022-10-23,Buy,187.1,261.2,39.6
SJCL,2022-09-29,Buy,214.0,284.6,32.99
NHDL,2022-09-29,Buy,304.0,680.0,123.68
NCCB,2022-09-25,Buy,184.0,189.0,2.72
CORBL,2022-06-30,Buy,275.0,1450.0,427.27
KRBL,2022-06-28,Buy,215.0,810.0,276.74
JLI,2022-06-27,Buy,351.9,351.9,0.0
RLI,2022-06-27,Buy,338.1,387.0,14.46
SLICL,2022-06-26,Buy,387.0,387.0,0.0
MDB,2022-06-26,Buy,346.0,562.0,62.43
SHINE,2022-06-26,Buy,284.9,391.0,37.24
SADBL,2022-06-26,Buy,280.0,381.0,36.07
SIFC,2022-06-24,Buy,256.9,492.4,91.67
JBBL,2022-06-24,Buy,265.0,318.0,20.0
MFIL,2022-06-24,Buy,381.0,709.0,86.09
GRDBL,2022-06-24,Buy,198.0,1100.0,455.56
SBI,2022-06-24,Buy,278.0,390.0,40.29
LBL,2022-06-24,Buy,200.0,173.0,-13.5
SLI,2022-06-16,Buy,369.0,396.8,7.53
RHPC,2021-10-21,Buy,619.0,840.0,35.7
SHL,2021-05-02,Buy,189.0,480.5,154.23
MLBL,2019-12-05,Buy,172.0,354.5,106.1
CBL,2019-12-04,Buy,136.0,214.0,57.35
CCBL,2019-02-27,Buy,158.0,199.5,26.27
RRHP,2018-11-19,Buy,111.0,563.9,408.02
GMFIL,2018-07-02,Buy,128.0,448.1,250.08
NBB,2018-03-26,Buy,211.0,400.0,89.57
SHBL,2017-03-16,Buy,399.0,490.0,22.81
