Symbol,50 vs 20 EMA Cross,Date
HBL,SHINE - 2024-02-20 00:00:00 - Cross - Close: 380.0,2024-02-20
HDHPC,TRADING - 2024-02-13 00:00:00 - Cross - Close: 2809.26,2024-02-13
HDL,HLBSL - 2024-02-15 00:00:00 - Cross - Close: 591.0,2024-02-15
HEI,SHEL - 2024-02-14 00:00:00 - Cross - Close: 246.0,2024-02-14
HEIP,TRH - 2024-02-13 00:00:00 - Cross - Close: 792.0,2024-02-13
HHL,UAIL - 2024-02-12 00:00:00 - Cross - Close: 569.9,2024-02-12
HIDCL,NIL - 2024-02-08 00:00:00 - Cross - Close: 835.0,2024-02-08
HIDCLP,RBCL - 2024-02-08 00:00:00 - Cross - Close: 14031.0,2024-02-08
HLBSL,LIFEINSU - 2024-02-04 00:00:00 - Cross - Close: 10446.71,2024-02-04
HLI,SMATA - 2024-02-06 00:00:00 - Cross - Close: 620.0,2024-02-06
HPPL,RNLI - 2024-02-05 00:00:00 - Cross - Close: 447.5,2024-02-05
HRL,UPPER - 2024-02-04 00:00:00 - Cross - Close: 207.0,2024-02-04
HURJA,SPIL - 2024-02-01 00:00:00 - Cross - Close: 704.0,2024-02-01
ICFC,SFMF - 2024-01-21 00:00:00 - Cross - Close: 9.7,2024-01-21
ICFCD83,NTC - 2024-01-30 00:00:00 - Cross - Close: 883.7,2024-01-30
IGI,SHEL - 2024-01-29 00:00:00 - Cross - Close: 243.0,2024-01-29
IHL,SJLIC - 2024-01-28 00:00:00 - Cross - Close: 519.0,2024-01-28
ILBS,SHEL - 2024-01-25 00:00:00 - Cross - Close: 247.0,2024-01-25
ILI,SHIVM - 2024-01-24 00:00:00 - Cross - Close: 501.5,2024-01-24
JALPA,SBL - 2024-01-23 00:00:00 - Cross - Close: 239.5,2024-01-23
JBBD87,SICL - 2024-01-22 00:00:00 - Cross - Close: 734.5,2024-01-22
JBBL,SRLI - 2024-01-21 00:00:00 - Cross - Close: 470.0,2024-01-21
JBLB,UPPER - 2024-01-18 00:00:00 - Cross - Close: 236.0,2024-01-18
JFL,RURU - 2024-01-17 00:00:00 - Cross - Close: 741.3,2024-01-17
JOSHI,SWBBL - 2024-01-16 00:00:00 - Cross - Close: 785.8,2024-01-16
JSLBB,SMATA - 2024-01-14 00:00:00 - Cross - Close: 633.1,2024-01-14
KBL,SLBBL - 2024-01-10 00:00:00 - Cross - Close: 643.0,2024-01-10
KBLD86,RSDC - 2024-01-10 00:00:00 - Cross - Close: 572.0,2024-01-10
KBSH,SKBBL - 2024-01-09 00:00:00 - Cross - Close: 867.0,2024-01-09
KDBY,SHLB - 2024-01-08 00:00:00 - Cross - Close: 908.0,2024-01-08
KDL,JSLBB - 2024-01-07 00:00:00 - Cross - Close: 868.9,2024-01-07
KEF,SLBBL - 2024-01-03 00:00:00 - Cross - Close: 618.0,2024-01-03
KKHC,UMRH - 2024-01-03 00:00:00 - Cross - Close: 372.0,2024-01-03
KLBSL,ADBL - 2024-01-02 00:00:00 - Cross - Close: 248.5,2024-01-02
KPCL,MDB - 2023-12-28 00:00:00 - Cross - Close: 392.1,2023-12-28
KRBL,ULHC - 2023-12-27 00:00:00 - Cross - Close: 275.0,2023-12-27
KSBBL,UNLB - 2023-12-21 00:00:00 - Cross - Close: 1139.9,2023-12-21
KSBBLD87,SMATA - 2023-12-21 00:00:00 - Cross - Close: 632.1,2023-12-21
KSY,USLB - 2023-12-20 00:00:00 - Cross - Close: 854.0,2023-12-20
LBBL,WNLB - 2023-12-18 00:00:00 - Cross - Close: 802.7,2023-12-18
LBLD86,SHIVM - 2023-12-18 00:00:00 - Cross - Close: 540.0,2023-12-18
LEC,SSHL - 2023-12-17 00:00:00 - Cross - Close: 169.4,2023-12-17
LICN,UHEWA - 2023-12-14 00:00:00 - Cross - Close: 318.0,2023-12-14
LLBS,UNHPL - 2023-12-13 00:00:00 - Cross - Close: 181.0,2023-12-13
LSL,USHEC - 2023-12-12 00:00:00 - Cross - Close: 262.0,2023-12-12
LUK,TAMOR - 2023-12-11 00:00:00 - Cross - Close: 268.0,2023-12-11
LVF2,VLBS - 2023-12-10 00:00:00 - Cross - Close: 607.5,2023-12-10
MAKAR,RLFL - 2023-12-07 00:00:00 - Cross - Close: 320.0,2023-12-07
MANDU,TPC - 2023-12-06 00:00:00 - Cross - Close: 338.0,2023-12-06
MBJC,NTC - 2023-12-05 00:00:00 - Cross - Close: 853.0,2023-12-05
MBL,SPHL - 2023-12-04 00:00:00 - Cross - Close: 400.0,2023-12-04
MCHL,NTC - 2023-11-30 00:00:00 - Cross - Close: 865.0,2023-11-30
MDB,OHL - 2023-11-29 00:00:00 - Cross - Close: 760.0,2023-11-29
MEHL,TRH - 2023-11-27 00:00:00 - Cross - Close: 765.0,2023-11-27
MEL,SIKLES - 2023-11-27 00:00:00 - Cross - Close: 400.0,2023-11-27
MEN,USHL - 2023-11-26 00:00:00 - Cross - Close: 316.0,2023-11-26
MERO,SMJC - 2023-11-23 00:00:00 - Cross - Close: 260.0,2023-11-23
MFIL,PCBL - 2023-11-22 00:00:00 - Cross - Close: 189.9,2023-11-22
MHCL,USHL - 2023-11-21 00:00:00 - Cross - Close: 300.4,2023-11-21
MKJC,EHPL - 2023-11-05 00:00:00 - Cross - Close: 303.0,2023-11-05
MLBBL,ADBL - 2023-11-01 00:00:00 - Cross - Close: 251.0,2023-11-01
MLBL,USHEC - 2023-10-31 00:00:00 - Cross - Close: 241.7,2023-10-31
MLBS,SMATA - 2023-10-30 00:00:00 - Cross - Close: 650.0,2023-10-30
MLBSL,TRADING - 2023-10-17 00:00:00 - Cross - Close: 2703.26,2023-10-17
MMF1,SMATA - 2023-10-19 00:00:00 - Cross - Close: 652.9,2023-10-19
MMKJL,STC - 2023-10-18 00:00:00 - Cross - Close: 5100.5,2023-10-18
MNBBL,GRDBL - 2023-10-17 00:00:00 - Cross - Close: 290.0,2023-10-17
MPFL,SMJC - 2023-10-12 00:00:00 - Cross - Close: 239.6,2023-10-12
MSHL,RSDC - 2023-10-11 00:00:00 - Cross - Close: 551.7,2023-10-11
MSLB,UHEWA - 2023-10-10 00:00:00 - Cross - Close: 299.1,2023-10-10
NABBC,SMATA - 2023-10-09 00:00:00 - Cross - Close: 637.5,2023-10-09
NABIL,SHL - 2023-10-08 00:00:00 - Cross - Close: 422.0,2023-10-08
NABILD87,RAWA - 2023-10-05 00:00:00 - Cross - Close: 375.0,2023-10-05
NADEP,SMH - 2023-10-04 00:00:00 - Cross - Close: 563.0,2023-10-04
NBF2,USHEC - 2023-10-03 00:00:00 - Cross - Close: 270.0,2023-10-03
NBF3,SMATA - 2023-10-02 00:00:00 - Cross - Close: 645.0,2023-10-02
NBL,SPIL - 2023-10-01 00:00:00 - Cross - Close: 728.0,2023-10-01
NBLD82,SPHL - 2023-09-27 00:00:00 - Cross - Close: 390.0,2023-09-27
NBLD85,UHEWA - 2023-09-26 00:00:00 - Cross - Close: 343.9,2023-09-26
NCCD86,MCHL - 2023-09-25 00:00:00 - Cross - Close: 258.0,2023-09-25
NFS,RSDC - 2023-09-21 00:00:00 - Cross - Close: 596.0,2023-09-21
NGPL,SMH - 2023-09-19 00:00:00 - Cross - Close: 588.0,2023-09-19
NHDL,KLBSL - 2023-09-11 00:00:00 - Cross - Close: 722.1,2023-09-11
NIBD2082,HEI - 2023-09-13 00:00:00 - Cross - Close: 577.0,2023-09-13
NIBD84,SALICO - 2023-09-12 00:00:00 - Cross - Close: 713.0,2023-09-12
NIBLGF,JBBL - 2023-09-11 00:00:00 - Cross - Close: 302.0,2023-09-11
NIBSF2,SALICO - 2023-09-07 00:00:00 - Cross - Close: 695.0,2023-09-07
NICA,SRLI - 2023-09-05 00:00:00 - Cross - Close: 492.8,2023-09-05
NICAD85/86,NTC - 2023-09-04 00:00:00 - Cross - Close: 859.0,2023-09-04
NICBF,SKBBL - 2023-09-03 00:00:00 - Cross - Close: 895.1,2023-09-03
NICD88,RBCL - 2023-08-30 00:00:00 - Cross - Close: 15050.0,2023-08-30
NICGF,SJLIC - 2023-08-28 00:00:00 - Cross - Close: 542.1,2023-08-28
NICGF2,SLBBL - 2023-08-24 00:00:00 - Cross - Close: 642.0,2023-08-24
NICL,KRBL - 2023-08-24 00:00:00 - Cross - Close: 272.9,2023-08-24
NICLBSL,MKLB - 2023-08-22 00:00:00 - Cross - Close: 676.0,2023-08-22
