Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
NMBHF2,8.84,8.57,10.2,3.15,-13.33
NIFRA,239.3,232.0,299.0,3.15,-19.97
SGICP,258.0,250.0,323.0,3.2,-20.12
NMB,237.5,230.0,278.0,3.26,-14.57
TVCL,390.0,377.6,689.0,3.28,-43.4
LBL,173.0,167.5,972.0,3.28,-82.2
SAEF2,9.05,8.76,10.0,3.31,-9.5
HIDCLP,180.2,174.4,230.6,3.33,-21.86
JSLBB,942.0,911.2,1318.0,3.38,-28.53
SLBBL,787.9,761.9,990.0,3.41,-20.41
MLBBL,954.0,922.5,1661.0,3.41,-42.56
WNLB,1126.0,1088.0,2255.0,3.49,-50.07
SJLICP,240.1,232.0,245.0,3.49,-2.0
LBBLD89,1231.0,1189.0,1346.0,3.53,-8.54
PFL,364.0,351.6,475.5,3.53,-23.45
NHDL,628.0,606.3,796.0,3.58,-21.11
NIBLGF,8.54,8.24,11.81,3.64,-27.69
NADEP,710.0,685.0,871.0,3.65,-18.48
CSY,8.5,8.2,10.0,3.66,-15.0
ILBS,844.9,815.0,1311.0,3.67,-35.55
HLICF,8.3,8.0,10.55,3.75,-21.33
SMFBS,1430.0,1378.2,1808.0,3.76,-20.91
ADBL,296.0,285.2,340.0,3.79,-12.94
DLBS,1034.0,996.2,1579.0,3.79,-34.52
MFLD85,1105.0,1064.0,1203.0,3.85,-8.15
SARBTM,779.0,750.0,942.4,3.87,-17.34
NLICL,560.0,539.0,644.0,3.9,-13.04
NICSF,8.36,8.04,9.97,3.98,-16.15
HLBSL,863.0,830.0,1028.1,3.98,-16.06
PRVUPO,104.0,100.0,105.0,4.0,-0.95
MLBL,344.0,330.7,418.0,4.02,-17.7
NIFRAUR85/86,1030.0,990.0,1128.0,4.04,-8.69
MLBLD89,1250.0,1200.0,1350.0,4.17,-7.41
EDBL,568.0,545.0,683.4,4.22,-16.89
SIKLES,559.0,536.3,900.0,4.23,-37.89
NMBD87/88,1085.0,1040.0,1249.0,4.33,-13.13
SFCL,375.0,359.4,565.0,4.34,-33.63
SEF2,9.1,8.72,10.0,4.36,-9.0
SBCF,9.21,8.82,11.16,4.42,-17.47
UNL,47200.0,45200.0,49738.9,4.42,-5.1
SAPDBL,694.0,664.1,1065.7,4.5,-34.88
GMFIL,410.9,393.1,540.0,4.53,-23.91
DDBL,829.2,793.0,927.0,4.56,-10.55
BPCL,640.0,612.0,868.0,4.58,-26.27
PBD85,1108.9,1060.0,1150.0,4.61,-3.57
ILBSP,460.0,439.4,624.0,4.69,-26.28
GBIMESY2,8.9,8.5,10.78,4.71,-17.44
SDBD87,1107.2,1056.5,1241.0,4.8,-10.78
CBLD88,1165.0,1111.58,1325.0,4.81,-12.08
NIBLSTF,8.41,8.02,10.85,4.86,-22.49
CITY,343.9,327.8,649.0,4.91,-47.01
NICGF2,8.74,8.33,10.13,4.92,-13.72
NIBSF2,8.5,8.1,11.13,4.94,-23.63
NSY,9.29,8.85,10.19,4.97,-8.83
MNBBL,357.0,340.1,477.0,4.97,-25.16
NRN,1344.0,1280.0,2185.0,5.0,-38.49
PCBLP,105.0,100.0,108.1,5.0,-2.87
SIFC,482.0,459.0,687.4,5.01,-29.88
NCCD86,1105.0,1052.0,1299.0,5.04,-14.93
SHPC,499.0,475.0,588.0,5.05,-15.14
RSY2,8.93,8.5,10.0,5.06,-10.7
GILB,1072.5,1020.1,1350.0,5.14,-20.56
