Symbol,Date,Open,High,Low,Close,Volume
MBLD87,2025-01-23,1030.0,1030.0,1027.0,1027.0,56560.0
MCHL,2025-01-23,639.0,650.0,639.0,649.0,8016494.0
MDB,2025-01-23,625.0,650.0,625.0,637.8,19581967.0
MEHL,2025-01-23,563.0,569.0,548.8,550.3,43392032.7
MEL,2025-01-23,364.0,364.0,351.0,358.0,40400868.0
MEN,2025-01-23,609.0,612.0,601.2,604.0,23885670.6
MERO,2025-01-23,677.0,677.0,662.0,668.0,4918389.7
MFIL,2025-01-23,644.8,648.9,630.5,635.0,21720793.7
MFLD85,2025-01-23,1055.0,1055.0,1053.0,1053.0,105351.0
MHCL,2025-01-23,560.0,560.0,545.0,545.3,42066262.1
MHL,2025-01-23,1066.3,1066.3,979.2,979.2,16191933.4
MHNL,2025-01-23,267.5,273.0,265.0,265.5,10842992.6
MKCL,2025-01-23,1560.0,1560.0,1502.0,1527.0,10692313.0
MKHC,2025-01-23,574.0,597.0,565.0,577.0,30595712.0
MKHL,2025-01-23,639.0,668.0,639.0,654.0,20867512.5
MKJC,2025-01-23,590.5,594.0,580.0,581.5,35716407.6
MLBBL,2025-01-23,1620.0,1678.0,1620.0,1647.9,17917111.1
MLBL,2025-01-23,382.0,382.0,368.0,368.2,9201552.0
MLBS,2025-01-23,2121.0,2188.0,2100.0,2129.9,11136930.7
MLBSL,2025-01-23,2248.0,2252.0,2210.0,2215.1,8086109.4
MMF1,2025-01-23,8.61,8.78,8.61,8.77,254241.02
MMKJL,2025-01-23,780.0,795.0,761.0,763.0,46607496.8
MNBBL,2025-01-23,376.0,376.0,370.0,371.0,8287589.3
MND84/85,2025-01-23,1031.0,1031.0,1031.0,1031.0,20620.0
MNMF1,2025-01-23,9.0,9.48,9.0,9.3,727094.9
MPFL,2025-01-23,636.4,636.4,615.0,617.0,17565460.0
MSHL,2025-01-23,947.0,958.4,936.7,944.0,3666695.0
MSLB,2025-01-23,1445.0,1445.0,1397.4,1436.0,1634959.0
NABBC,2025-01-23,1100.5,1218.0,1100.5,1218.0,89400131.3
NABIL,2025-01-23,490.0,492.0,485.3,488.0,25366955.6
NABILD87,2025-01-23,1055.0,1056.0,1055.0,1056.0,75985.0
NADEP,2025-01-23,940.0,940.0,916.0,927.1,1900945.3
NBF3,2025-01-23,8.95,9.2,8.93,9.1,235116.0
NBL,2025-01-23,259.0,259.0,250.0,250.0,10518658.3
NBLD82,2025-01-23,1077.0,1129.0,1077.0,1138.0,400112.9
NBLD87,2025-01-23,1022.0,1022.0,1022.0,1022.0,45990.0
NCCD86,2025-01-23,1145.0,1145.0,1145.0,1145.0,11450.0
