Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
SFMF,2026-02-09,10.38,10.38,10.38,10.38,1000.0,1.96,10.8,10.0,10.187331948143118,10.181785217722442,62.500044703686086,0.2233333397242758,0.002357575633619646,0.0007394498118426185,True
MNBBL,2026-02-08,370.9,376.0,370.0,371.5,55374.0,0.65,1657.0,141.0,364.4595178754297,364.265150397021,53.43511450381679,0.24233333307007948,0.2801973830791667,0.09294393802670128,True
SCB,2026-02-05,628.1,640.0,628.1,639.9,27507.0,1.41,3952.0,375.0,633.6087683999195,633.4820227535668,58.655808784591784,0.07733332999050617,0.014379917082055726,0.001356072037629019,True
SIGS3,2026-02-04,10.2,10.45,10.2,10.32,7499.0,0.68,10.81,9.81,10.206646181187153,10.20126411355183,60.71426746797956,0.17285715469292232,0.0038417308847442655,0.0012786137392492235,True
OHL,2026-02-04,740.0,744.0,712.0,732.5,7773.0,0.34,1205.0,61.0,716.5139208149667,716.3655065069908,63.37625584810896,0.15800000429153443,0.4602438904999417,0.1339044704549906,True
CMF2,2026-02-03,9.79,10.16,9.79,10.16,7036.0,1.91,10.58,9.71,9.909870930521741,9.901648989590898,63.26532399640328,0.44999997193614644,0.00540282147451201,0.0017416338317442382,True
TRH,2026-02-03,754.0,784.0,742.1,764.0,10012.0,3.09,1538.0,74.0,742.173952531919,741.2126237254615,64.75958173656298,0.2610000077014168,1.2781989556043527,0.4727017484792668,True
NIBLSTF,2026-02-02,8.9,9.24,8.73,9.06,191671.0,3.78,9.87,8.56,8.987766306114883,8.984877970875532,53.92160620972017,0.20999997854232788,0.0015533527757110477,0.0009756857278407693,True
NMBHF2,2026-01-29,9.52,9.79,9.5,9.6,15424.0,0.73,10.2,8.9,9.421145843396209,9.41382981404296,51.99999427796501,0.06083333616455396,0.016984159772098904,0.006063258894316093,True
CYCL,2026-01-28,1549.0,1606.0,1549.0,1606.0,4563.0,2.62,1681.0,1499.4,1567.4784290271427,1567.4782589654474,59.89802329515248,0.1356521909651549,2.353751068178326,0.7856986280870842,True
AHL,2026-01-28,552.1,601.0,551.5,597.9,22893.0,6.58,608.9,462.6,558.3821607586073,556.3270563142926,67.11833755120719,0.330869569402674,1.4752894181641978,0.546298943304987,True
UNL,2026-01-27,47700.0,47700.0,47700.0,47700.0,10.0,1.71,47980.0,46000.0,47057.39473241422,47017.86959085532,56.946651884356854,0.07900000540539623,26.919860971029266,10.322191166398989,True
MKHL,2026-01-27,803.5,837.0,803.5,836.9,31068.0,2.19,915.0,750.0,803.7274132942781,803.496592852045,63.104475349467,0.16363636226477948,1.6756325171920252,0.533778399295852,True
UNLB,2026-01-26,1950.0,1977.0,1920.0,1959.0,626.0,0.1,1984.0,1810.0,1908.5059919041387,1906.545348869536,62.102353357314044,0.12857143048729217,3.5240983691940526,1.2251267248505429,True
SMPDA,2026-01-26,906.1,922.0,901.0,922.0,13169.0,1.65,949.0,850.0,890.4836470295257,890.4655367493525,66.10169491525424,0.14809524214693479,1.704214783096336,0.5477092762817393,True
TAMOR,2026-01-26,461.0,475.0,452.3,463.8,85376.0,0.87,475.0,396.4,452.46761735720105,452.14743714878534,62.53163784365111,0.11809523758434114,0.6204356420837712,0.2100595259811712,True
SMJC,2026-01-25,504.0,505.8,490.3,504.0,22128.0,1.41,530.0,464.0,494.4260354143525,494.2120224938942,58.37652706578835,0.09400000050663948,0.5261235678904654,0.17624397851785717,True
DHPL,2026-01-25,306.1,316.0,306.1,314.9,35811.0,3.08,485.2,45.5,296.5799403142768,296.44346755868935,67.21014112165344,0.2036666601896286,1.0356525519154616,0.3358915849891332,True
SICL,2026-01-25,645.0,650.9,635.1,650.0,16177.0,1.79,690.0,610.6,634.9745492871969,634.4971746852889,67.7935711167247,0.1254999934695661,0.7840457298755155,0.26962402432404814,True
VLBS,2026-01-25,792.0,792.0,765.0,791.9,9286.0,1.92,876.0,740.0,768.9596869063384,767.5949562798818,62.58848244051696,0.16399999856948852,1.0753199150257615,0.39873397448400283,True
SARBTM,2026-01-25,885.0,904.0,884.0,904.0,64106.0,2.89,942.4,850.0,884.629587922422,883.972676072483,52.17391112050718,0.12300001457333565,0.5055482027442849,0.1830356396367506,True
JSLBB,2026-01-25,1200.0,1208.0,1181.3,1208.0,1920.0,1.68,1303.0,1100.0,1179.9110537173751,1179.0812883849876,63.29231604293823,0.12150000035762787,1.1771315929090633,0.40636725616723196,True
ULHC,2026-01-25,457.0,474.9,457.0,472.0,19758.0,2.05,599.0,444.5,460.06091973321895,459.7981855882292,54.71428801867326,0.1359999917447567,0.22584749139489305,0.060035319718213034,True
UMRH,2026-01-25,578.0,596.0,578.0,584.0,55072.0,1.39,1150.0,220.0,563.3271854417378,563.2575942907629,64.10658577115257,0.09366666823625565,0.8943333974380039,0.2679261159604266,True
NYADI,2026-01-25,407.0,425.0,403.0,424.9,32395.0,5.7,880.0,176.4,397.37507118145345,396.45956027645315,58.6288445923108,0.2799999887744586,1.3245947598321322,0.4654366063734301,True
MEHL,2026-01-25,441.0,460.0,441.0,455.0,41698.0,1.34,519.0,416.5,436.35978483284674,436.21495368850105,63.1579017815315,0.19349998757243156,0.9894689572896709,0.3120488703654701,True
FOWAD,2026-01-22,1099.9,1119.5,1094.7,1117.0,6138.0,1.55,1180.0,1012.4,1087.9438435084837,1086.5444288639333,68.75,0.14105262568122462,1.245459615501477,0.43993728105360785,True
GMLI,2026-01-22,1729.2,1778.0,1727.0,1774.0,4217.0,0.92,1949.0,1694.0,1732.1585072176822,1729.6691003775013,66.18130965547965,0.13368420744020687,2.0018116933489183,0.7029232336068162,True
HURJA,2026-01-22,232.0,237.6,228.6,237.5,199696.0,3.31,685.4,85.0,225.40784879831986,225.14109256359097,69.45244272459435,0.1706666588783264,0.6016520056598097,0.19838907566903002,True
SMATA,2026-01-22,801.0,809.0,795.0,809.0,6496.0,0.87,909.9,760.0,792.2370798830178,792.1859396251157,51.841621040160696,0.1136842197493503,0.8724987571548354,0.2621437252688338,True
USHEC,2026-01-22,462.2,478.0,462.2,471.0,27819.0,0.45,538.5,450.0,463.8963151371221,463.55552360015406,59.51087272009567,0.08263158249227624,0.4213607553405268,0.1445359892303145,True
SALICO,2026-01-21,616.9,616.9,602.0,608.9,5373.0,0.61,658.0,571.2,603.0153479767154,602.7656079511688,51.515169214175714,0.06888888300293022,0.005292360384282801,0.0016429862940412932,True
CHL,2026-01-21,279.0,282.5,274.5,277.0,128073.0,1.13,715.0,74.0,262.5980276987314,262.09169220512774,64.85059541400085,0.07433335284392038,1.1147421522477203,0.3870750167970186,True
GSY,2026-01-21,9.05,9.23,9.05,9.17,10720.0,0.33,10.4,8.72,9.110160384791897,9.108349659805455,54.43036599410411,0.03499999394019445,0.0013430240410805538,0.0004175598149199544,True
HATHY,2026-01-20,900.0,928.2,897.0,928.0,29411.0,3.57,1008.0,875.5,895.2584481419397,895.0922592952102,63.45775662353567,0.2176470572457594,0.10296922598347465,-0.017054079674880995,True
NICL,2026-01-20,512.9,517.0,510.0,515.0,18705.0,1.78,559.9,483.0,504.66939254332055,504.54258592630873,58.45896918030373,0.12000000520664103,0.24575146637325815,0.0701713917871416,True
AKPL,2026-01-20,250.0,256.0,250.0,254.5,248194.0,2.99,882.4,100.0,246.76721432222132,246.67771101158843,64.54293382927912,0.13199999531110126,0.2494157453284572,0.08016541670782544,True
SWASTIK,2026-01-20,2988.6,3039.8,2968.0,3005.0,6691.0,2.56,3400.0,2690.0,2896.173112025168,2890.9963224341864,60.612279127249195,0.2605882016394068,2.711367802120094,0.9958111988416931,True
USLB,2026-01-20,1586.5,1649.9,1582.0,1585.0,20842.0,1.9,1649.9,1393.0,1484.6676769350674,1484.6510343057964,68.84735202492212,0.3976470608921612,1.1218218613073077,0.157230058374671,True
