Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
RADHI,Radhi Bidhyut Company,Hydro Power,884.50,16.27 Ar,+0.28%,+1.14%,+5.30%,+20.34%,+125.64%,+463.41%,32.46,27.25,5.17,77755.84,40630.44,+91.37%,59459.1,32639.7,+82.17%,298454.02,278513.41,+7.16%,32.46,60.58,-46.42%,171.02,153.03,+11.76%,3745580.24,3325637.57,+12.63%,600467.31,511519.85,+17.39%,1838979.32,1838979.32,0.00%,1306133.62,975138.41,+33.94%,0.1898,0.1909
RAWA,Rawa Energy Development Limited,Hydro Power,722.00,2.02 Ar,+0.28%,-2.43%,+2.56%,+1.13%,-19.96%,+163.31%,16.04,45.03,8.68,59426.47,30911.35,+92.25%,52137.37,27340.63,+90.70%,22449.66,13402.18,+67.51%,16.04,19.15,-16.25%,83.18,79.95,+4.04%,664617.83,657541.01,+1.08%,431724.34,433695.0,-0.45%,280000.0,280000.0,0.00%,-47106.51,-56153.99,-16.11%,0.1928,1.8537
RBBD2088,7% RBBL Debenture 2088,Bond,"1,066.00",0.00,+0.09%,+0.09%,+0.76%,-1.30%,+8.54%,+8.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBBD83,8.5% RBBL Debenture 2083,Bond,"1,035.00",0.00,-1.37%,-1.43%,+0.28%,-5.91%,+0.68%,+8.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBBF40,RBB Focus 40,Mutual Fund,9.60,0.00,-0.62%,+0.84%,-1.74%,+1.80%,+1.80%,+1.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBCL,Rastriya Beema,Non Life Insurance,"15,800.00",42.13 Ar,+1.94%,+3.02%,+6.04%,+7.41%,+7.70%,-6.53%,132.96,118.83,5.79,543632.7,172614.66,+214.94%,337431.83,-15198.56,"-2,320.16%",177263.19,-99509.83,-278.14%,132.96,-149.28,-189.07%,6461.26,6401.84,+0.93%,25283629.19,24784138.49,+2.02%,8055376.38,7714323.17,+4.42%,266639.06,266639.06,0.00%,2553336.06,2375830.43,+7.47%,0.0206,0.4676
RBCLPO,Rastriya Beema Promoter,Non Life Insurance,"12,647.00",22.46 Ar,+2.82%,+5.39%,+8.12%,+8.00%,+11.43%,-20.45%,132.96,95.12,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFPL,River Falls Power Limited,Hydro Power,423.00,2.96 Ar,+2.92%,+2.47%,+8.94%,+19.49%,+0.58%,+116.81%,4.62,91.49,3.54,162840.23,100681.18,+61.74%,153289.9,96041.84,+59.61%,32363.99,31419.24,+3.01%,4.62,17.95,-74.25%,119.39,105.01,+13.69%,2891429.09,2689182.58,+7.52%,1220004.21,1954099.31,-37.57%,1400000.0,700000.0,+100.00%,271424.88,35083.26,+673.66%,0.0387,0.7299
RHGCL,Rapti Hydro And General Construction Limited,Hydro Power,338.10,4.14 Ar,+4.67%,+10.85%,+28.56%,+38.57%,+0.48%,+60.20%,0.02,19508.27,3.53,57076.15,17380.01,+228.40%,47383.59,12327.3,+284.38%,106.2,-12776.55,-100.83%,0.02,-4.17,-100.42%,95.75,94.71,+1.10%,1797708.73,1786063.2,+0.65%,619077.44,620153.47,-0.17%,1225587.6,1225587.6,0.00%,-52045.16,-64817.6,-19.71%,0.0002,0.5253
RHPL,Rasuwagadhi Hydropower Company Limited,Hydro Power,318.00,21.76 Ar,+4.33%,+3.28%,+12.77%,+17.78%,-20.48%,-12.15%,-31.61,-10.06,4.4,254245.0,0.0,0.00%,122043.0,-42550.0,-386.82%,-1081475.0,-653354.0,+65.53%,-31.61,-38.2,-17.24%,72.34,77.52,-6.69%,23450194.0,23340865.0,+0.47%,18500734.0,18036761.0,+2.57%,6842100.0,6842100.0,0.00%,-1892642.0,-1537997.0,+23.06%,-0.437,3.7379
RIDI,Ridi Power Company Limited,Hydro Power,364.00,8.46 Ar,-1.62%,+4.00%,+22.56%,+64.71%,+61.42%,+203.85%,3.22,112.98,3.58,216302.28,119157.55,+81.53%,189709.05,107402.83,+76.63%,37428.12,5927.14,+531.47%,3.22,1.02,+215.73%,101.62,100.26,+1.35%,1084195.28,3880390.76,-72.06%,1525556.69,1550971.76,-1.64%,2323351.8,2323351.8,0.00%,37627.45,6067.2,+520.18%,0.0317,-3.4565
