Symbol,Date,Open,High,Low,Close,Percent Change,Volume,G,H
BNL,2025-01-27,17105.0,18514.8,17105.0,18514.8,8.24,1752645.0,,
BNL,2025-01-23,18000.0,19800.0,18000.0,19005.6,,1914607.0,,
BNT,2025-01-28,13600.0,13950.0,13460.0,13689.9,0.66,3684671.0,,
BNT,2025-01-27,13770.0,13770.0,13353.0,13380.0,-2.83,5950556.0,,
BNT,2025-01-23,13750.0,13800.0,13500.0,13500.0,,4262036.0,,
BOKD86,2025-01-28,1029.0,1029.0,1029.0,1029.0,0.0,25725.0,,
BOKD86,2025-01-27,1027.2,1027.2,1027.2,1027.2,0.0,25680.0,,
BOKD86,2025-01-23,1030.0,1030.0,1030.0,1030.0,,25750.0,,
BOKD86KA,2025-01-28,1102.0,1102.0,1102.0,1102.0,0.0,55100.0,,
BPCL,2025-01-28,406.0,406.0,395.0,397.4,-2.12,4378840.7,,
BPCL,2025-01-27,393.0,400.5,393.0,400.0,1.78,6609324.6,,
BPCL,2025-01-23,399.0,415.0,395.1,395.1,,5151646.2,,
C30MF,2025-01-28,9.0,9.01,9.0,9.0,0.0,27271.0,,
CBBL,2025-01-28,853.0,855.0,841.1,844.0,-1.06,9459538.9,,
CBBL,2025-01-27,856.0,858.8,848.0,851.0,-0.58,4933311.3,,
CBBL,2025-01-23,870.9,870.9,851.0,859.0,,8364370.9,,
CFCL,2025-01-28,507.9,514.0,490.0,510.0,0.41,20644296.9,,
CFCL,2025-01-27,477.0,510.0,457.7,498.0,4.4,32226085.1,,
CFCL,2025-01-23,527.3,548.0,513.0,519.0,,31460643.8,,
CGH,2025-01-28,884.0,899.0,881.5,892.0,0.9,28308667.3,,
CGH,2025-01-27,910.0,910.0,892.0,893.9,-1.77,15312982.5,,
CGH,2025-01-23,924.1,924.1,890.0,899.9,,17012474.5,,
CHCL,2025-01-28,505.0,510.2,498.0,505.0,0.0,29370376.6,,
CHCL,2025-01-27,511.0,511.0,503.3,508.4,-0.51,13399285.1,,
CHCL,2025-01-23,520.0,520.0,505.1,519.0,,19717041.0,,
CHDC,2025-01-28,1799.0,1846.0,1765.0,1831.0,1.78,115587207.2,,
CHDC,2025-01-27,1840.0,1840.0,1761.0,1766.0,-4.02,177116041.7,,
CHDC,2025-01-23,1851.0,1880.0,1813.0,1826.0,,149909188.6,,
CHL,2025-01-28,447.9,469.0,447.9,464.0,3.59,28194606.5,,
CHL,2025-01-27,469.0,478.0,457.0,457.0,-2.56,39119577.2,,
CHL,2025-01-23,448.9,466.0,448.9,459.0,,25989321.9,,
CIT,2025-01-28,1999.0,1999.9,1975.0,1980.0,-0.95,15514084.8,,
CITY,2025-01-28,908.1,914.0,900.0,905.0,-0.34,16245980.4,,
CITY,2025-01-27,913.0,920.0,906.1,908.5,-0.49,9264152.4,,
CITY,2025-01-23,935.0,944.0,911.3,918.0,,8418993.0,,
CKHL,2025-01-28,822.0,870.0,822.0,856.0,4.14,32340274.7,,
CKHL,2025-01-27,821.5,886.5,815.0,815.2,-0.77,30176316.2,,
CKHL,2025-01-23,820.0,845.5,804.0,835.1,,31651473.0,,
CLI,2025-01-28,721.6,735.0,721.0,730.0,1.16,60879306.8,,
CLI,2025-01-27,755.8,755.8,725.1,726.0,-3.94,97905786.9,,
CLI,2025-01-23,710.0,744.9,703.3,736.0,,158880235.7,,
CMF1,2025-01-28,10.5,10.65,10.5,10.51,0.1,150937.0,,
CMF2,2025-01-28,9.2,9.5,9.2,9.4,2.17,10750.0,,
CORBL,2025-01-28,2215.0,2480.0,2167.8,2480.0,11.96,115778716.4,,
CORBL,2025-01-27,2124.0,2289.9,2080.6,2260.0,6.4,65721272.9,,
CORBL,2025-01-23,1792.9,1933.5,1775.0,1933.5,,118756874.5,,
CYCL,2025-01-28,1625.0,1685.0,1625.0,1652.1,1.67,17847666.0,,
CYCL,2025-01-27,1523.0,1670.0,1523.0,1643.0,7.88,41900355.5,,
CYCL,2025-01-23,1515.0,1569.8,1505.0,1505.0,,11406919.4,,
CZBIL,2025-01-28,204.0,207.0,203.0,205.0,0.49,11514318.8,,
CZBIL,2025-01-27,203.2,207.0,203.2,204.5,0.64,3320196.5,,
CZBIL,2025-01-23,209.0,211.0,206.1,207.0,,11378865.6,,
DDBL,2025-01-28,780.0,786.0,771.0,779.0,-0.13,6119986.3,,
DDBL,2025-01-27,772.5,784.0,770.5,780.0,0.97,2648777.0,,
DDBL,2025-01-23,785.0,790.0,772.0,783.0,,3104670.6,,
DHPL,2025-01-28,305.0,320.0,305.0,310.0,1.64,10346022.1,,
DHPL,2025-01-27,310.0,313.0,306.0,308.0,-0.65,10555962.6,,
DHPL,2025-01-23,316.0,319.9,307.8,310.0,,15487427.6,,
DLBS,2025-01-28,1804.0,1860.0,1781.0,1810.1,0.34,11277637.5,,
DLBS,2025-01-27,1850.0,1860.0,1740.0,1770.0,-4.32,20563875.0,,
DLBS,2025-01-23,1862.0,2090.0,1862.0,2087.0,,28855918.3,,
