"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MEL","2024-10-27","282.3","291.4","282.3","288","0.00 %","13,074.00"
"MEL","2024-10-24","287","295","281.4","288","-1.37 %","28,565.00"
"MEL","2024-10-23","295.8","295.8","286","292","0.69 %","23,751.00"
"MEL","2024-10-22","284","297","284","290","1.05 %","33,050.00"
"MEL","2024-10-21","290","299.9","283","287","-2.68 %","49,259.00"
"MEL","2024-10-20","297.8","303","291","294.9","-2.93 %","35,592.00"
"MEL","2024-10-17","300","307.9","299.1","303.8","1.27 %","34,401.00"
"MEL","2024-10-16","296","307","296","300","1.35 %","39,180.00"
"MEL","2024-10-15","298.8","306","293.5","296","1.02 %","13,282.00"
"MEL","2024-10-09","286.7","298","286.7","293","0.17 %","12,626.00"
"MEL","2024-10-08","300","300","290","292.5","-2.17 %","40,234.00"
"MEL","2024-10-07","291","305","291","299","1.15 %","34,991.00"
"MEL","2024-10-06","285","301","285","295.6","1.93 %","25,659.00"
"MEL","2024-10-02","295","301.9","285.1","290","0.00 %","59,306.00"
"MEL","2024-10-01","278","295","272","290","5.84 %","42,602.00"
"MEL","2024-09-30","265.6","277","265.6","274","1.48 %","36,975.00"
"MEL","2024-09-29","272.5","281","268.3","270","-2.88 %","39,967.00"
"MEL","2024-09-26","290","295.8","277","278","-3.74 %","21,170.00"
"MEL","2024-09-25","278","291","278","288.8","2.05 %","33,832.00"
"MEL","2024-09-24","287","301","280","283","-3.08 %","34,378.00"
"MEL","2024-09-23","300","306","288.3","292","-3.95 %","35,787.00"
"MEL","2024-09-22","301.9","307","294","304","2.70 %","52,940.00"
"MEL","2024-09-18","289","299","289","296","0.68 %","65,137.00"
"MEL","2024-09-16","295","305","290","294","-2.33 %","56,030.00"
"MEL","2024-09-15","321","321","301","301","-4.44 %","94,178.00"
"MEL","2024-09-12","303.9","316.9","296.1","315","5.70 %","49,197.00"
"MEL","2024-09-11","304","309.9","294","298","-2.07 %","70,733.00"
"MEL","2024-09-10","315","324.9","302","304.3","-3.09 %","57,116.00"
"MEL","2024-09-09","327.9","327.9","312.3","314","-2.61 %","85,300.00"
"MEL","2024-09-08","329.6","332.5","321","322.4","-0.25 %","98,752.00"
"MEL","2024-09-05","320","330","316","323.2","1.32 %","131,546.00"
"MEL","2024-09-04","340.9","350","318.5","319","-4.86 %","242,075.00"
"MEL","2024-09-03","318.8","340","310.7","335.3","5.18 %","282,543.00"
"MEL","2024-09-02","295.6","318.8","293","318.8","9.97 %","158,914.00"
"MEL","2024-09-01","294","297.9","288.1","289.9","0.49 %","69,634.00"
"MEL","2024-08-29","292.1","304","284","288.5","-2.53 %","79,505.00"
"MEL","2024-08-28","296","307","290.3","296","-0.07 %","100,516.00"
"MEL","2024-08-27","306.1","316","296","296.2","-4.57 %","106,321.00"
"MEL","2024-08-25","326","330.7","310.1","310.4","-3.00 %","155,422.00"
"MEL","2024-08-22","321","333","315.1","320","-0.31 %","110,188.00"
"MEL","2024-08-21","339.6","346","316.6","321","-3.60 %","172,844.00"
"MEL","2024-08-18","347.8","375","329.5","333","-2.35 %","385,102.00"
"MEL","2024-08-15","316.2","341","316.2","341","10.00 %","205,463.00"
"MEL","2024-08-14","305","312.1","298.4","310","2.34 %","213,102.00"
"MEL","2024-08-13","310","313","299","302.9","-1.53 %","174,991.00"
"MEL","2024-08-12","315","320","305.9","307.6","-1.41 %","188,430.00"
"MEL","2024-08-11","305","318.2","295","312","4.31 %","242,280.00"
"MEL","2024-08-08","310","314.2","296","299.1","-3.17 %","151,031.00"
"MEL","2024-08-07","283","309","278","308.9","8.42 %","193,223.00"
