Symbol,Score,Signal,Close,RSI,Trend,52W_Position_%,Volume_Ratio,Momentum_5D_%,Factors
NBB,30,WATCH,400.0,61.3,UP,61.0,3.15,0.9,"Strong_Uptrend, Below_200SMA, High_Volume, Strong_20D_Momentum"
PLIC,30,WATCH,340.0,16.8,DOWN,0.0,2.22,-6.6,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB, High_Volume, Negative_5D_Momentum_Reversal"
RHPL,30,WATCH,280.5,49.5,UP,11.0,0.52,0.2,"Strong_Uptrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
PFL,30,WATCH,375.0,41.4,UP,8.8,0.41,-2.3,"Strong_Uptrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
NYADI,30,WATCH,399.0,48.4,UP,7.7,0.72,1.0,"Strong_Uptrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
BARUN,30,WATCH,368.0,60.7,UP,25.0,0.51,-3.9,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Strong_20D_Momentum"
TRH,30,WATCH,751.0,46.7,UP,12.4,0.38,-1.2,"Strong_Uptrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
JFL,25,NEUTRAL,428.4,29.1,DOWN,6.9,0.29,-1.3,"Oversold_RSI, Below_200SMA, Near_52W_Low, Below_BB_Middle"
SJCL,25,NEUTRAL,301.5,56.1,UP,29.5,1.48,2.1,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Above_Avg_Volume"
RHPC,25,NEUTRAL,840.0,75.0,UP,75.1,2.13,16.7,"Overbought_RSI, Weak_Uptrend, Above_200SMA, High_Volume, Positive_5D_Momentum"
RLFL,25,NEUTRAL,447.0,48.1,UP,15.6,0.45,-2.5,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
NGPL,25,NEUTRAL,420.3,59.6,UP,85.9,0.93,0.6,"Strong_Uptrend, Above_200SMA, Near_52W_High"
RADHI,25,NEUTRAL,848.0,62.3,UP,93.2,0.56,-0.2,"Strong_Uptrend, Above_200SMA, Near_52W_High"
SADBL,25,NEUTRAL,413.0,45.4,UP,24.3,0.65,0.8,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
KBL,25,NEUTRAL,185.0,50.4,UP,16.3,0.7,0.5,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
GBBL,25,NEUTRAL,396.9,41.4,UP,24.1,0.93,-0.0,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
EDBL,25,NEUTRAL,579.0,8.9,DOWN,10.0,0.35,-2.8,"Oversold_RSI, Below_200SMA, Near_52W_Low, Below_BB_Middle"
CHDC,25,NEUTRAL,2310.0,36.8,UP,53.7,0.63,-2.5,"Low_RSI, Strong_Uptrend, Below_200SMA, Below_BB_Middle"
KRBL,25,NEUTRAL,810.0,46.4,UP,93.7,0.89,3.9,"Strong_Uptrend, Above_200SMA, Near_52W_High"
AKJCL,25,NEUTRAL,385.0,90.2,UP,100.0,1.17,8.7,"Overbought_RSI, Strong_Uptrend, Above_200SMA, Near_52W_High, Positive_5D_Momentum, Strong_20D_Momentum"
CORBL,20,NEUTRAL,1643.0,45.7,DOWN,14.9,0.31,-14.6,"Below_200SMA, Near_52W_Low, Below_BB_Middle, Negative_5D_Momentum_Reversal"
SPC,20,NEUTRAL,508.0,27.0,DOWN,23.9,0.36,-2.1,"Oversold_RSI, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
SAPDBL,20,NEUTRAL,813.5,48.8,DOWN,12.7,0.41,-8.3,"Below_200SMA, Near_52W_Low, Below_BB_Middle, Negative_5D_Momentum_Reversal"
SSHL,20,NEUTRAL,197.5,61.5,UP,30.4,0.52,1.1,"Strong_Uptrend, Below_200SMA, Strong_20D_Momentum"
MEGA,20,NEUTRAL,219.0,86.0,UP,15.8,2.32,5.8,"Overbought_RSI, Weak_Uptrend, Below_200SMA, Lower_Half_Range, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
DHPL,20,NEUTRAL,306.0,50.4,UP,22.7,0.68,1.7,"Strong_Uptrend, Below_200SMA, Lower_Half_Range"
NFS,20,NEUTRAL,635.0,32.1,DOWN,9.6,0.35,-4.7,"Low_RSI, Below_200SMA, Near_52W_Low, Below_BB_Middle"
NICA,20,NEUTRAL,320.9,33.0,DOWN,12.8,0.7,-1.6,"Low_RSI, Below_200SMA, Near_52W_Low, Below_BB_Middle"
PROFL,20,NEUTRAL,459.3,33.6,DOWN,13.8,0.44,-3.0,"Low_RSI, Below_200SMA, Near_52W_Low, Below_BB_Middle"
GRDBL,20,NEUTRAL,1068.0,42.9,DOWN,14.2,0.81,-7.0,"Below_200SMA, Near_52W_Low, Below_BB_Middle, Negative_5D_Momentum_Reversal"
JOSHI,20,NEUTRAL,309.0,55.2,UP,24.4,0.9,4.0,"Strong_Uptrend, Below_200SMA, Lower_Half_Range"
JBBL,20,NEUTRAL,330.0,18.7,DOWN,25.1,0.4,-1.8,"Oversold_RSI, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
SBI,15,NEUTRAL,396.0,35.3,DOWN,24.8,0.44,-1.0,"Low_RSI, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
SLICL,15,NEUTRAL,387.0,31.7,DOWN,3.8,2.62,5.1,"Low_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle, High_Volume, Positive_5D_Momentum"
ULI,15,NEUTRAL,358.0,16.9,DOWN,0.0,1.87,-3.5,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle, High_Volume"
GLICL,15,NEUTRAL,344.0,30.2,DOWN,0.0,2.68,-4.4,"Low_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB, High_Volume"
BFC,15,NEUTRAL,467.9,32.5,DOWN,16.6,0.4,-2.0,"Low_RSI, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
KSBBL,15,NEUTRAL,451.0,32.0,DOWN,23.1,0.62,-1.3,"Low_RSI, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
MKJC,15,NEUTRAL,530.2,57.0,UP,34.1,0.59,-2.7,"Strong_Uptrend, Below_200SMA, Below_BB_Middle"
GMFIL,15,NEUTRAL,461.9,34.9,DOWN,30.0,0.17,-2.3,"Low_RSI, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
CGH,10,NEUTRAL,838.0,37.1,DOWN,5.8,0.59,-5.5,"Low_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle, Negative_5D_Momentum_Reversal"
UPPER,10,NEUTRAL,190.0,55.5,UP,39.9,0.69,2.9,"Strong_Uptrend, Below_200SMA"
NRN,10,NEUTRAL,1584.0,54.0,UP,40.4,0.65,1.2,"Weak_Uptrend, Below_200SMA, Strong_20D_Momentum"
SANIMA,10,NEUTRAL,326.0,29.3,DOWN,36.3,0.78,-1.2,"Oversold_RSI, Below_200SMA, Below_BB_Middle"
UPCL,10,NEUTRAL,379.5,51.7,UP,55.6,0.79,0.9,"Strong_Uptrend, Below_200SMA"
NABIL,10,NEUTRAL,496.0,55.5,UP,25.4,0.58,-0.0,"Weak_Uptrend, Below_200SMA, Lower_Half_Range"
CCBL,5,NEUTRAL,199.5,84.0,UP,22.6,1.85,4.9,"Overbought_RSI, Weak_Uptrend, Below_200SMA, Lower_Half_Range, High_Volume"
LICN,5,NEUTRAL,832.8,30.0,DOWN,10.5,0.59,-1.3,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
NHDL,5,NEUTRAL,645.3,19.7,DOWN,2.5,0.78,-2.2,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
PCBL,5,NEUTRAL,234.0,21.1,DOWN,3.8,0.76,-0.8,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
SHPC,5,NEUTRAL,545.0,44.3,DOWN,44.6,1.75,1.9,"Below_200SMA, Below_BB_Middle, High_Volume"
JLI,5,NEUTRAL,351.9,25.1,DOWN,2.5,0.08,-2.8,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
LBBL,5,NEUTRAL,471.0,36.9,DOWN,35.6,0.25,-1.9,"Low_RSI, Below_200SMA, Below_BB_Middle"
RLI,5,NEUTRAL,387.0,38.2,DOWN,26.4,1.68,-2.0,"Low_RSI, Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle, High_Volume"
NMB,0,NEUTRAL,233.3,33.5,DOWN,1.8,0.36,0.1,"Low_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
SHINE,0,NEUTRAL,398.7,38.4,DOWN,8.7,0.7,-0.4,"Low_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
RRHP,0,NEUTRAL,563.9,50.6,DOWN,72.2,1.13,10.6,"Strong_Downtrend, Above_200SMA, Positive_5D_Momentum"
NLIC,0,NEUTRAL,751.0,24.7,DOWN,24.9,0.86,-2.0,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
MLBL,0,NEUTRAL,368.8,37.3,DOWN,12.6,0.57,0.5,"Low_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
NLICL,0,NEUTRAL,579.0,37.4,DOWN,19.8,1.35,-1.5,"Low_RSI, Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle, Above_Avg_Volume"
NCCB,0,NEUTRAL,189.0,61.4,DOWN,8.9,1.7,5.9,"Strong_Downtrend, Below_200SMA, Near_52W_Low, High_Volume, Positive_5D_Momentum"
KPCL,0,NEUTRAL,525.0,33.0,DOWN,13.5,0.29,-2.4,"Low_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
HIDCL,0,NEUTRAL,264.0,48.6,UP,33.1,0.96,1.5,"Weak_Uptrend, Below_200SMA"
CZBIL,0,NEUTRAL,191.0,36.2,DOWN,9.9,1.1,-1.8,"Low_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
ADBL,0,NEUTRAL,295.0,29.2,DOWN,27.8,0.81,-0.0,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
BOKL,-5,NEUTRAL,207.3,62.9,DOWN,4.5,3.21,-0.8,"Strong_Downtrend, Below_200SMA, Near_52W_Low, High_Volume"
HBL,-5,NEUTRAL,189.9,40.7,DOWN,4.9,1.47,0.5,"Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle, Above_Avg_Volume"
MEN,-5,NEUTRAL,577.6,32.6,DOWN,27.9,0.59,-2.0,"Low_RSI, Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
MBL,-5,NEUTRAL,227.1,46.9,DOWN,34.3,0.99,1.3,"Below_200SMA, Below_BB_Middle"
NIB,-5,NEUTRAL,251.0,76.1,DOWN,11.8,3.07,7.2,"Overbought_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
UMRH,-10,NEUTRAL,556.0,40.9,DOWN,9.1,0.81,0.5,"Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
CHCL,-10,NEUTRAL,469.9,46.9,DOWN,5.0,0.68,0.6,"Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
LBL,-10,NEUTRAL,173.0,50.4,DOWN,7.8,0.72,1.3,"Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
CBL,-10,NEUTRAL,214.0,41.7,DOWN,22.0,1.36,-1.7,"Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle, Above_Avg_Volume"
SFCL,-10,NEUTRAL,381.0,40.2,DOWN,3.3,0.61,-3.3,"Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
PRVU,-10,NEUTRAL,183.0,41.9,DOWN,2.8,0.67,-0.5,"Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
SRBL,-10,NEUTRAL,173.1,51.6,DOWN,9.3,1.07,3.0,"Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
RURU,-10,NEUTRAL,665.0,42.2,DOWN,8.3,0.6,-0.9,"Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
GBIME,-15,NEUTRAL,226.0,44.5,DOWN,22.0,0.74,0.1,"Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
HPPL,-15,NEUTRAL,469.0,45.5,DOWN,26.0,0.49,-0.6,"Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
NIFRA,-15,NEUTRAL,260.0,41.3,DOWN,21.1,0.73,-0.7,"Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
NBL,-15,NEUTRAL,243.0,42.7,DOWN,16.7,0.46,0.8,"Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
SAHAS,-15,NEUTRAL,555.9,43.2,DOWN,40.5,1.72,-0.3,"Strong_Downtrend, Below_200SMA, Below_BB_Middle, High_Volume"
SHL,-15,NEUTRAL,497.0,45.2,DOWN,18.6,0.34,-0.4,"Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
SLI,-15,NEUTRAL,396.8,40.1,DOWN,26.6,0.53,-0.3,"Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
