Symbol,Date,Signal,Close_at_Crossover,Latest_Close,P/L_%
GBBL,2025-11-13,SELL,370.0,402.9,-8.89
ICFC,2025-11-13,SELL,615.0,650.0,-5.69
ICFC,2025-11-06,BUY,652.0,650.0,-0.31
ICFC,2025-10-30,SELL,630.0,650.0,-3.17
DHPL,2025-10-23,SELL,283.0,299.5,-5.83
MBL,2025-10-23,SELL,207.1,229.6,-10.86
MFIL,2025-10-23,SELL,568.0,806.0,-41.9
NHDL,2025-10-23,SELL,636.5,643.1,-1.04
SAPDBL,2025-10-23,SELL,789.9,814.0,-3.05
CGH,2025-10-16,SELL,823.8,826.0,-0.27
GHL,2025-10-16,SELL,200.9,240.0,-19.46
MLBL,2025-10-16,SELL,363.9,364.9,-0.27
PCBL,2025-10-16,SELL,232.8,234.8,-0.86
MDB,2025-10-09,SELL,592.1,637.5,-7.67
PRVU,2025-10-02,SELL,207.9,183.5,11.74
HDHPC,2025-09-25,SELL,186.0,193.9,-4.25
KBL,2025-09-25,SELL,190.3,187.0,1.73
LEC,2025-09-25,SELL,208.0,217.9,-4.76
NABBC,2025-09-25,SELL,772.0,1422.9,-84.31
NBL,2025-09-25,SELL,250.0,241.6,3.36
CZBIL,2025-09-18,SELL,197.0,192.8,2.13
NHPC,2025-09-18,SELL,178.6,224.0,-25.42
NLICL,2025-09-18,SELL,550.0,579.1,-5.29
RURU,2025-09-18,SELL,650.0,657.6,-1.17
SBI,2025-09-18,SELL,376.9,410.0,-8.78
SCB,2025-09-18,SELL,607.0,647.1,-6.61
SINDU,2025-09-18,SELL,618.0,738.1,-19.43
AKJCL,2025-09-11,SELL,191.33,352.0,-83.98
CHCL,2025-09-11,SELL,497.36,468.0,5.9
JBBL,2025-09-11,SELL,325.4,329.5,-1.26
MHNL,2025-09-11,SELL,245.13,258.9,-5.62
NYADI,2025-09-11,SELL,399.62,393.1,1.63
SSHL,2025-09-11,SELL,173.88,186.0,-6.97
BARUN,2025-09-04,SELL,330.66,345.0,-4.34
MPFL,2025-09-04,SELL,570.03,618.5,-8.5
HURJA,2025-08-28,SELL,237.78,255.0,-7.24
KKHC,2025-08-28,SELL,256.24,279.0,-8.88
OHL,2025-08-21,SELL,862.03,705.0,18.22
SIFC,2025-08-21,SELL,508.34,584.9,-15.06
JOSHI,2025-08-14,SELL,319.81,290.0,9.32
LEC,2025-08-07,BUY,254.17,217.9,-14.27
ADBL,2025-07-31,BUY,332.18,298.0,-10.29
ICFC,2025-07-31,BUY,694.65,650.0,-6.43
MFIL,2025-07-31,BUY,716.71,806.0,12.46
CGH,2025-07-24,BUY,1129.73,826.0,-26.89
GBBL,2025-07-24,BUY,469.65,402.9,-14.21
JBBL,2025-07-24,BUY,387.21,329.5,-14.9
MNBBL,2025-07-24,BUY,473.72,360.4,-23.92
RURU,2025-07-24,BUY,812.81,657.6,-19.1
SCB,2025-07-24,BUY,670.91,647.1,-3.55
SIFC,2025-07-24,BUY,566.43,584.9,3.26
RHPL,2025-07-24,SELL,349.21,284.0,18.67
CHCL,2025-07-17,BUY,547.62,468.0,-14.54
LBBL,2025-07-17,BUY,492.67,470.0,-4.6
MBL,2025-07-17,BUY,261.69,229.6,-12.26
NBL,2025-07-17,BUY,299.67,241.6,-19.38
CZBIL,2025-07-10,BUY,220.98,192.8,-12.75
SJCL,2025-07-10,SELL,314.29,296.0,5.82
PCBL,2025-07-03,BUY,254.49,234.8,-7.74
MHNL,2025-06-26,BUY,280.79,258.9,-7.8
CFCL,2025-06-26,SELL,498.18,522.3,-4.84
CHL,2025-06-26,SELL,337.99,282.7,16.36
CZBIL,2025-06-26,SELL,201.99,192.8,4.55
PCBL,2025-06-26,SELL,237.82,234.8,1.27
AKJCL,2025-06-19,BUY,218.06,352.0,61.42
SAHAS,2025-06-19,BUY,545.38,566.0,3.78
SBL,2025-06-19,BUY,307.4,376.0,22.32
SIFC,2025-06-19,SELL,510.63,584.9,-14.54
SIFC,2025-06-12,BUY,586.56,584.9,-0.28
ALICL,2025-06-12,SELL,500.56,443.0,11.5
MHNL,2025-06-12,SELL,264.38,258.9,2.07
PROFL,2025-06-12,SELL,494.97,455.0,8.08
TRH,2025-06-12,SELL,942.89,755.3,19.9
NGPL,2025-06-05,BUY,395.88,424.9,7.33
JBBL,2025-06-05,SELL,326.04,329.5,-1.06
MBL,2025-06-05,SELL,217.46,229.6,-5.58
RLFL,2025-06-05,SELL,467.59,446.9,4.42
SIFC,2025-06-05,SELL,485.56,584.9,-20.46
TPC,2025-06-05,SELL,336.55,384.0,-14.1
GBIME,2025-05-29,BUY,249.27,226.7,-9.05
HURJA,2025-05-29,BUY,253.03,255.0,0.78
MBL,2025-05-29,BUY,234.82,229.6,-2.22
BFC,2025-05-29,SELL,485.09,462.1,4.74
SCB,2025-05-29,SELL,628.67,647.1,-2.93
SPC,2025-05-29,SELL,508.71,493.9,2.91
GMFIL,2025-05-22,SELL,507.26,458.0,9.71
SFCL,2025-05-22,SELL,492.43,378.0,23.24
AKJCL,2025-05-15,SELL,205.45,352.0,-71.33
MBL,2025-05-15,SELL,211.18,229.6,-8.72
RURU,2025-05-15,SELL,693.42,657.6,5.17
AKJCL,2025-05-08,BUY,219.19,352.0,60.59
HBL,2025-05-08,SELL,220.32,188.5,14.44
GBIME,2025-05-01,SELL,215.07,226.7,-5.41
ICFC,2025-04-24,SELL,590.99,650.0,-9.98
LBBL,2025-04-24,SELL,389.4,470.0,-20.7
MFIL,2025-04-24,SELL,585.52,806.0,-37.66
SBL,2025-04-24,SELL,272.84,376.0,-37.81
GFCL,2025-04-17,SELL,679.49,635.0,6.55
NBL,2025-04-10,SELL,246.12,241.6,1.84
SHINE,2025-04-10,SELL,411.27,401.2,2.45
CHCL,2025-04-03,SELL,481.48,468.0,2.8
GBBL,2025-03-27,SELL,394.51,402.9,-2.13
JFL,2025-03-27,SELL,512.71,415.3,19.0
ADBL,2025-03-20,SELL,285.66,298.0,-4.32
NFS,2025-03-13,SELL,734.9,626.0,14.82
NLICL,2025-02-27,BUY,620.5,579.1,-6.67
PFL,2025-02-06,SELL,412.0,380.0,7.77
GUFL,2025-01-30,SELL,594.5,544.0,8.49
LEC,2025-01-30,SELL,210.0,217.9,-3.76
MNBBL,2025-01-23,SELL,371.0,360.4,2.86
NGPL,2025-01-23,SELL,285.0,424.9,-49.09
NLICL,2025-01-16,SELL,589.0,579.1,1.68
AKJCL,2025-01-09,SELL,201.0,352.0,-75.12
MEN,2025-01-09,SELL,620.0,583.0,5.97
