Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%,Chart_URL
CYCL,1564.0,1462.0,2040.0,6.98,-23.33,https://nepsealpha.com/nepse-chart?symbol=CYCL
SFMF,10.07,9.4,11.74,7.13,-14.22,https://nepsealpha.com/nepse-chart?symbol=SFMF
NRM,418.0,390.1,645.0,7.15,-35.19,https://nepsealpha.com/nepse-chart?symbol=NRM
NLIC,753.0,702.0,890.0,7.26,-15.39,https://nepsealpha.com/nepse-chart?symbol=NLIC
NBL,241.8,225.4,313.0,7.28,-22.75,https://nepsealpha.com/nepse-chart?symbol=NBL
MFLD85,1122.0,1045.0,1201.0,7.37,-6.58,https://nepsealpha.com/nepse-chart?symbol=MFLD85
MEN,574.5,535.0,683.4,7.38,-15.94,https://nepsealpha.com/nepse-chart?symbol=MEN
ADBL,292.5,272.3,344.9,7.42,-15.19,https://nepsealpha.com/nepse-chart?symbol=ADBL
NADEP,748.0,696.0,1046.0,7.47,-28.49,https://nepsealpha.com/nepse-chart?symbol=NADEP
SCB,640.0,594.9,701.0,7.58,-8.7,https://nepsealpha.com/nepse-chart?symbol=SCB
DOLTI,507.0,470.6,772.0,7.73,-34.33,https://nepsealpha.com/nepse-chart?symbol=DOLTI
VLUCL,556.0,516.0,788.0,7.75,-29.44,https://nepsealpha.com/nepse-chart?symbol=VLUCL
RNLI,448.7,416.0,593.0,7.86,-24.33,https://nepsealpha.com/nepse-chart?symbol=RNLI
SNLI,444.0,411.6,744.5,7.87,-40.36,https://nepsealpha.com/nepse-chart?symbol=SNLI
GBBL,396.5,367.4,498.0,7.92,-20.38,https://nepsealpha.com/nepse-chart?symbol=GBBL
SMFBS,1608.0,1490.0,2140.0,7.92,-24.86,https://nepsealpha.com/nepse-chart?symbol=SMFBS
ULBSL,3165.0,2931.0,5181.0,7.98,-38.91,https://nepsealpha.com/nepse-chart?symbol=ULBSL
HLBSL,904.0,837.0,1122.0,8.0,-19.43,https://nepsealpha.com/nepse-chart?symbol=HLBSL
FMDBL,776.4,718.0,1038.8,8.13,-25.26,https://nepsealpha.com/nepse-chart?symbol=FMDBL
NFS,622.9,576.0,859.6,8.14,-27.54,https://nepsealpha.com/nepse-chart?symbol=NFS
UHEWA,551.0,508.5,993.4,8.36,-44.53,https://nepsealpha.com/nepse-chart?symbol=UHEWA
HRL,827.0,762.1,1156.0,8.52,-28.46,https://nepsealpha.com/nepse-chart?symbol=HRL
BNHC,339.9,313.1,613.8,8.56,-44.62,https://nepsealpha.com/nepse-chart?symbol=BNHC
SADBL,408.3,376.0,526.5,8.59,-22.45,https://nepsealpha.com/nepse-chart?symbol=SADBL
TRH,740.0,681.1,1190.0,8.65,-37.82,https://nepsealpha.com/nepse-chart?symbol=TRH
NESDO,1500.0,1380.1,2436.0,8.69,-38.42,https://nepsealpha.com/nepse-chart?symbol=NESDO
SPIL,680.0,625.0,980.4,8.8,-30.64,https://nepsealpha.com/nepse-chart?symbol=SPIL
ACLBSL,979.9,900.0,1280.0,8.88,-23.45,https://nepsealpha.com/nepse-chart?symbol=ACLBSL
SPC,480.9,441.0,641.0,9.05,-24.98,https://nepsealpha.com/nepse-chart?symbol=SPC
SJCL,291.2,267.0,377.0,9.06,-22.76,https://nepsealpha.com/nepse-chart?symbol=SJCL
BNT,11650.0,10660.0,14680.0,9.29,-20.64,https://nepsealpha.com/nepse-chart?symbol=BNT
BHDC,466.2,426.0,706.0,9.44,-33.97,https://nepsealpha.com/nepse-chart?symbol=BHDC
DDBL,831.9,759.0,1010.0,9.6,-17.63,https://nepsealpha.com/nepse-chart?symbol=DDBL
UPPER,182.0,166.0,228.0,9.64,-20.18,https://nepsealpha.com/nepse-chart?symbol=UPPER
RSDC,635.1,578.7,880.0,9.75,-27.83,https://nepsealpha.com/nepse-chart?symbol=RSDC
SJLIC,428.9,390.0,504.0,9.97,-14.9,https://nepsealpha.com/nepse-chart?symbol=SJLIC
UAIL,465.0,422.1,767.0,10.16,-39.37,https://nepsealpha.com/nepse-chart?symbol=UAIL
NYADI,390.0,354.0,674.0,10.17,-42.14,https://nepsealpha.com/nepse-chart?symbol=NYADI
NLO,269.4,244.33,293.2,10.26,-8.12,https://nepsealpha.com/nepse-chart?symbol=NLO
BHPL,555.0,503.1,1308.4,10.32,-57.58,https://nepsealpha.com/nepse-chart?symbol=BHPL
MKJC,525.0,475.5,635.0,10.41,-17.32,https://nepsealpha.com/nepse-chart?symbol=MKJC
JBBL,325.9,295.0,413.0,10.47,-21.09,https://nepsealpha.com/nepse-chart?symbol=JBBL
MEL,281.9,255.0,367.5,10.55,-23.29,https://nepsealpha.com/nepse-chart?symbol=MEL
RHPL,279.0,252.3,459.0,10.58,-39.22,https://nepsealpha.com/nepse-chart?symbol=RHPL
MBL,226.9,205.0,272.1,10.68,-16.61,https://nepsealpha.com/nepse-chart?symbol=MBL
CLI,455.0,411.0,752.5,10.71,-39.53,https://nepsealpha.com/nepse-chart?symbol=CLI
HEI,508.0,458.0,685.0,10.92,-25.84,https://nepsealpha.com/nepse-chart?symbol=HEI
DHPL,294.0,265.0,427.2,10.94,-31.18,https://nepsealpha.com/nepse-chart?symbol=DHPL
AHPC,269.3,242.5,334.0,11.05,-19.37,https://nepsealpha.com/nepse-chart?symbol=AHPC
BFC,457.0,411.5,684.0,11.06,-33.19,https://nepsealpha.com/nepse-chart?symbol=BFC
