Symbol,50 vs 20 EMA Cross,Date
NIBD2082,SFMF - 2023-08-29 00:00:00 - Cross - Close: 10.95,2023-08-29
NIBD84,SMATA - 2023-09-12 00:00:00 - Cross - Close: 623.5,2023-09-12
NIBLGF,MDB - 2023-09-11 00:00:00 - Cross - Close: 405.0,2023-09-11
NIBLSTF,NICA - 2023-09-10 00:00:00 - Cross - Close: 780.0,2023-09-10
NICAD85/86,SMB - 2023-08-28 00:00:00 - Cross - Close: 990.0,2023-08-28
NICBF,KLBSL - 2023-08-27 00:00:00 - Cross - Close: 800.0,2023-08-27
NICD88,NICL - 2023-08-30 00:00:00 - Cross - Close: 770.1,2023-08-30
NICFC,NIL - 2023-08-28 00:00:00 - Cross - Close: 859.0,2023-08-28
NICGF,TRH - 2023-08-27 00:00:00 - Cross - Close: 765.0,2023-08-27
NICGF2,SKBBL - 2023-08-27 00:00:00 - Cross - Close: 908.0,2023-08-27
NICL,SMH - 2023-08-24 00:00:00 - Cross - Close: 585.0,2023-08-24
