Symbol,Date,Open,High,Low,Close
HHL,2024-06-04,369,369.2,354.8,357.9
HIDCL,2024-06-04,164.5,166,162.2,165
HIDCLP,2024-06-04,99.4,99.4,98.4,98.5
HLBSL,2024-06-04,1255,1380,1255,1380
HLI,2024-06-04,387.4,393.7,385.3,388.9
HPPL,2024-06-04,258,260,253,257
HRL,2024-06-04,573,575,570.1,570.7
HURJA,2024-06-04,280,281,276,276
ICFC,2024-06-04,527.4,527.4,510,515
ICFCD83,2024-06-04,1220,1220,1220,1220
IGI,2024-06-04,540.4,540.4,525.4,530
IHL,2024-06-04,405.5,412.9,400.2,403
ILBS,2024-06-04,1305,1386,1305,1375
ILI,2024-06-04,432.1,440,432.1,436.1
JALPA,2024-06-04,1450,1510,1425,1450
JBBL,2024-06-04,293,293,286,287.6
JBLB,2024-06-04,1360,1375,1335,1353
JFL,2024-06-04,550.1,571.2,548,567.9
JOSHI,2024-06-04,305,309,301.5,301.6
JSLBB,2024-06-04,1360,1387.2,1360,1382
KBL,2024-06-04,145,145,141,142.8
KBLD86,2024-06-04,1037,1037,1037,1037
KBLD89,2024-06-04,1137,1137.3,1137,1137.3
KBSH,2024-06-04,1153,1153,1111,1113.2
KDBY,2024-06-04,8.93,9.28,8.93,9.28
KDL,2024-06-04,1199,1271,1175.1,1250
KEF,2024-06-04,8.3,8.96,8.16,8.96
KKHC,2024-06-04,218.1,222,217,217
KLBSL,2024-06-04,997.8,1000,979,991
KMCDB,2024-06-04,1027.1,1105,1027.1,1090
KPCL,2024-06-04,460,460,435.2,447.8
KRBL,2024-06-04,428.4,429.5,422,427
KSBBL,2024-06-04,370,376.9,370,374.8
KSY,2024-06-04,8.01,8.31,8.01,8.31
LBBL,2024-06-04,382,390,382,386.3
LEC,2024-06-04,178.8,184,178.8,180.7
LEMF,2024-06-04,9.59,9.77,9.59,9.77
LICN,2024-06-04,1351.2,1383.9,1351.2,1376.8
LLBS,2024-06-04,1121,1170,1113.2,1139
LSL,2024-06-04,165,165,162,163.1
LUK,2024-06-04,8.3,8.5,8.3,8.5
LVF2,2024-06-04,8.21,8.43,8.21,8.43
MAKAR,2024-06-04,405.2,419,394,398
MANDU,2024-06-04,845,860,840,848
MBJC,2024-06-04,306,309,300,301
MBL,2024-06-04,171.2,175,171.1,173.6
MCHL,2024-06-04,396.4,408,392,394
MDB,2024-06-04,493,493,476.1,483
MEHL,2024-06-04,340,361,334,350.1
MEL,2024-06-04,228,229.8,225,227
MEN,2024-06-04,575.2,595,575.2,587
MERO,2024-06-04,681,701,681,689
MFIL,2024-06-04,514.6,514.6,503,508.9
MHCL,2024-06-04,383.1,398,383.1,387
MHL,2024-06-04,440,446,432,437
MHNL,2024-06-04,230.2,234.8,230.1,234.8
MKCL,2024-06-04,1040,1050.6,1015,1015
MKHC,2024-06-04,325,330.3,320.5,324
MKHL,2024-06-04,451,465,446.2,456
MKJC,2024-06-04,488,495,471,485.8
MKLB,2024-06-04,1130,1147,1085.3,1085.3
MLBBL,2024-06-04,1290,1351,1290,1329
MLBL,2024-06-04,330,330,323,324
MLBS,2024-06-04,1332,1384.9,1332,1363.9
MLBSL,2024-06-04,1921.6,1921.6,1888,1917
MMF1,2024-06-04,7.32,7.58,7.19,7.57
MMKJL,2024-06-04,445,475,445,470
MNBBL,2024-06-04,349.5,349.5,340,345.9
MPFL,2024-06-04,488.1,511,481.5,498
MSHL,2024-06-04,645,650,630,650
MSLB,2024-06-04,1298,1380,1280,1380
NABBC,2024-06-04,556.9,625,556.9,615
NABIL,2024-06-04,493,493,480.3,483
NABILD87,2024-06-04,984,984,984,984
NADEP,2024-06-04,811.9,815,795.1,806
NBBD2085,2024-06-04,1215,1215,1215,1215
NBF2,2024-06-04,8.42,8.42,8.37,8.38
NBF3,2024-06-04,7.41,7.59,7.41,7.5
NBL,2024-06-04,216.7,216.7,210.7,212.9
NESDO,2024-06-04,2022,2022,1955,1985
NFS,2024-06-04,594,630,579.2,607.7
NGPL,2024-06-04,309.5,311,306,306.9
NHDL,2024-06-04,502,502,480,480.3
NHPC,2024-06-04,146,147.8,145.1,147.2
NIBD2082,2024-06-04,1075,1075,1075,1075
NIBLGF,2024-06-04,8.1,8.2,8.1,8.11
NIBLSTF,2024-06-04,8.82,8.82,8.67,8.8
NIBSF2,2024-06-04,7.86,8.11,7.86,8
NICA,2024-06-04,423.4,423.4,414,415.5
NICAD8283,2024-06-04,1140,1140,1140,1140
NICAD85/86,2024-06-04,1100,1100,1030,1045
NICBF,2024-06-04,8.8,8.95,8.8,8.81
NICD88,2024-06-04,971,971,971,971
NICFC,2024-06-04,8.82,8.82,8.82,8.82
NICGF,2024-06-04,9.82,9.82,9.63,9.63
NICGF2,2024-06-04,7.93,8,7.92,7.99
NICL,2024-06-04,846,846,830,835.1
NICLBSL,2024-06-04,678.1,678.1,656,663.1
NICSF,2024-06-04,9.25,9.25,9.23,9.25
NIFRA,2024-06-04,196.2,200,196.2,197.5
NIFRAP,2024-06-04,111,111,111,111
NIFRAUR85/86,2024-06-04,885,885,885,885
NIL,2024-06-04,801,815,797.1,801.5
NIMB,2024-06-04,160.1,162,158.2,160.6
NIMBD90,2024-06-04,1025.3,1060,1025.3,1060
NIMBPO,2024-06-04,139.1,139.1,139.1,139.1
NLG,2024-06-04,755,768.9,745,764
NLIC,2024-06-04,615,618.5,610,614
NLICL,2024-06-04,540,557,540,547.4
NMB,2024-06-04,204,204,198,200
NMB50,2024-06-04,9.8,9.8,9.8,9.8
NMBD2085,2024-06-04,1035,1035,1035,1035
NMBMF,2024-06-04,670.2,693.9,670.2,685
NMFBS,2024-06-04,1311.1,1370,1311.1,1360
NMLBBL,2024-06-04,747,747.6,726,729
NRIC,2024-06-04,679.3,679.3,663,663
NRM,2024-06-04,384.5,398.8,384.5,386
NRN,2024-06-04,583.1,631.1,583.1,600
NSIF2,2024-06-04,9.64,9.83,9.64,9.68
NTC,2024-06-04,856.6,856.6,837.6,840
NUBL,2024-06-04,672.8,676,666.8,670.1
NWCL,2024-06-04,833,844,815,827.8
NYADI,2024-06-04,290,295.8,288,288.6
OHL,2024-06-04,753,762,752.1,754
PBLD84,2024-06-04,1040,1040,1040,1040
PBLD86,2024-06-04,1050,1050,1050,1050
PBLD87,2024-06-04,980.1,980.1,980.1,980.1
PCBL,2024-06-04,200.1,202.2,200,202.2
PFL,2024-06-04,645,654,636,647.9
PHCL,2024-06-04,313.1,313.1,306.9,310
PMHPL,2024-06-04,228,230,226,228.8
PMLI,2024-06-04,501,508.4,497,504.5
PPCL,2024-06-04,232,235,228.1,228.2
PPL,2024-06-04,453,455,441,447
PRIN,2024-06-04,772,784,770.2,777
PROFL,2024-06-04,356,363.1,349,350
PRSF,2024-06-04,8.89,9.05,8.89,8.92
PRVU,2024-06-04,147.2,147.2,143,143.1
PSF,2024-06-04,9.02,9.2,8.9,9.19
RADHI,2024-06-04,229.1,235,229.1,232
RAWA,2024-06-04,528.3,534,510,510
RBCL,2024-06-04,13464,13464,13200,13200.1
RBCLPO,2024-06-04,10535,11081,10117.9,11081
RFPL,2024-06-04,352.1,361,349,352
RHGCL,2024-06-04,347,359.9,344.2,347
RHPL,2024-06-04,275,282.5,275,278
RIDI,2024-06-04,172.2,172.2,166.1,167.9
RLFL,2024-06-04,411,417,406.1,409.8
RMF1,2024-06-04,8.02,8.16,8,8.16
RMF2,2024-06-04,8.65,8.66,8.65,8.66
RNLI,2024-06-04,426,436,425.1,430
RSDC,2024-06-04,697.6,708,688,695
RURU,2024-06-04,611,630,610,613
SABSL,2024-06-04,965,1015,965,1013.8
SADBL,2024-06-04,319.5,319.5,314.9,319
SAEF,2024-06-04,9.92,9.93,9.92,9.93
SAGF,2024-06-04,8.88,9.12,8.88,8.95
SAHAS,2024-06-04,527.1,533,521.5,521.5
SALICO,2024-06-04,684,694.9,681.1,688
SAMAJ,2024-06-04,2200,2266.9,2160,2160
SAND2085,2024-06-04,1040,1040,1040,1040
SANIMA,2024-06-04,256,256,251.1,251.5
SAPDBL,2024-06-04,331,331,324,324
SARBTM,2024-06-04,809.5,845,809.5,824
SBCF,2024-06-04,8.55,8.55,8.09,8.16
SBD87,2024-06-04,975,975,975,975
SBI,2024-06-04,302.9,302.9,298.4,299.9
SBID83,2024-06-04,1050,1050,1050,1050
SBL,2024-06-04,250,252.4,248,249.5
SBLD2082,2024-06-04,1085,1085,1085,1085
SCB,2024-06-04,575,575,566.1,567
SCBD,2024-06-04,1055,1055,1055,1055
SDBD87,2024-06-04,989.8,989.8,989.8,989.8
SDLBSL,2024-06-04,972,1007,970,975
SEF,2024-06-04,8.21,8.35,8.07,8.1
SFCL,2024-06-04,372,377,363,363
SFEF,2024-06-04,8.21,8.21,8.21,8.21
SFMF,2024-06-04,10,10,9.81,9.9
SGHC,2024-06-04,330.4,337,324.4,329
SGIC,2024-06-04,530.1,541,529.1,532
SHEL,2024-06-04,161.9,161.9,157.2,158.5
SHINE,2024-06-04,393,393.9,385,386.2
SHIVM,2024-06-04,501,502,493,494
SHL,2024-06-04,444.7,444.7,426.3,434
SHLB,2024-06-04,1770,1799.8,1760,1760.2
SHPC,2024-06-04,326,331,325,325.1
SICL,2024-06-04,700,709,700,701
SIFC,2024-06-04,435,436.5,423.6,429
SIGS2,2024-06-04,8.48,8.6,8.35,8.49
SIGS3,2024-06-04,8.72,8.72,8.38,8.54
SIKLES,2024-06-04,574,574,546,553
SINDU,2024-06-04,383.3,385,377.7,385
SJCL,2024-06-04,267.1,270,266,267.3
SJLIC,2024-06-04,415,419,414,415.5
SKBBL,2024-06-04,813,828,813,822
SLBBL,2024-06-04,760,793,760,779.5
SLBSL,2024-06-04,1223,1263.9,1179,1230.9
SLCF,2024-06-04,7.98,8.18,7.98,8.04
SMATA,2024-06-04,957,1001.6,945,1001.5
SMB,2024-06-04,1668.9,1668.9,1590,1637
SMFBS,2024-06-04,1370,1450,1370,1446
SMH,2024-06-04,695,710,695,700
SMHL,2024-06-04,517.1,535,517.1,523.7
SMJC,2024-06-04,390,397,379,380.5
SNLI,2024-06-04,462,473,461.2,469.9
SONA,2024-06-04,445,449.5,440,445.9
SPC,2024-06-04,520.1,530,520.1,525
SPDL,2024-06-04,236,236,231.4,233.8
SPHL,2024-06-04,486,505.7,486,490
SPIL,2024-06-04,770,780,765,777
SPL,2024-06-04,683.5,720,683.5,697
SRLI,2024-06-04,438.1,449.1,438.1,445
SSHL,2024-06-04,161,162.9,159.1,160
STC,2024-06-04,4661.1,4874,4661.1,4864
SWBBL,2024-06-04,828.8,836.4,826,833
SWMF,2024-06-04,830,870,830,850
TAMOR,2024-06-04,391,395,384,386.7
TPC,2024-06-04,501,512,495.5,495.5
TRH,2024-06-04,765,765,745,750.2
TSHL,2024-06-04,507,514.1,504,508
TVCL,2024-06-04,463,463,447.1,451
UAIL,2024-06-04,571.2,599,555,578
UHEWA,2024-06-04,396.9,410,396.9,405.5
ULBSL,2024-06-04,1850,1925,1850,1919
ULHC,2024-06-04,406.7,414,387.1,399
UMHL,2024-06-04,237.9,242,235,236.8
UMRH,2024-06-04,377,377,365.1,369
UNHPL,2024-06-04,229,229.5,224,224
UNL,2024-06-04,42952,46320,42952,44487
UNLB,2024-06-04,2040,2040,1940,1983
UPCL,2024-06-04,191,193,190,190
UPPER,2024-06-04,162,163.5,161.1,162.7
USHEC,2024-06-04,406,419.3,400,412
USHL,2024-06-04,508.9,508.9,491,497
USLB,2024-06-04,1941,2020,1941,1994
VLBS,2024-06-04,935,1031.9,935,1005.1
VLUCL,2024-06-04,497,508,492,497
WNLB,2024-06-04,1407,1445,1407,1410
