Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
SAIL,3/26/2026,1370.0,1415.0,1345.0,1392.0,1.61,143616.0,1690.0,301.7
SALICO,3/26/2026,645.0,645.0,636.0,645.0,0.0,16455.0,765.9,570.1
SANIMA,3/26/2026,364.0,368.0,360.2,364.7,0.19,120880.0,391.0,295.0
SANVI,3/26/2026,845.0,870.0,838.0,868.0,2.72,156348.0,1060.0,359.0
SAPDBL,3/26/2026,935.0,1026.6,902.0,927.9,-0.76,97018.0,1284.0,686.0
SARBTM,3/26/2026,907.0,907.0,881.0,898.0,-0.99,48559.0,1048.0,770.0
SBCF,3/26/2026,9.95,11.16,9.82,10.13,1.81,65999.0,12.03,8.82
SBD87,3/26/2026,1074.0,1095.0,1074.0,1075.0,0.09,100.0,1139.0,1019.5
SBI,3/26/2026,419.5,430.0,419.5,429.9,2.48,29833.0,452.0,363.0
SBID2090,3/26/2026,1051.0,1055.0,1051.0,1055.0,0.38,50.0,1107.0,1000.0
SBL,3/26/2026,415.0,415.0,408.2,412.9,-0.51,95766.0,424.0,261.0
SBLD2091,3/26/2026,1062.0,1083.2,1062.0,1083.2,2.0,65.0,1150.0,109.0
SBLD89,3/26/2026,1240.5,1240.5,1240.5,1240.5,0.0,50.0,1450.0,1183.2
SCB,3/26/2026,673.0,679.0,670.0,677.0,0.59,14816.0,712.6,594.9
SEF,3/26/2026,10.15,10.32,10.01,10.32,1.67,7100.0,11.53,8.6
SFCL,3/26/2026,425.1,430.9,424.1,430.0,1.15,18615.0,587.0,359.4
SFEF,3/26/2026,10.3,10.49,10.3,10.47,1.65,9700.0,11.12,8.82
SFMF,3/26/2026,10.5,10.75,10.2,10.3,-1.9,46468.0,11.74,9.4
SGHC,3/26/2026,440.0,455.0,436.1,455.0,3.41,69567.0,564.0,296.0
SGIC,3/26/2026,520.0,527.0,519.0,526.0,1.15,30204.0,632.0,439.0
SHEL,3/26/2026,345.0,349.9,340.1,348.0,0.87,335203.0,361.0,243.0
SHINE,3/26/2026,429.7,440.0,429.7,440.0,2.4,69937.0,499.0,382.0
SHINED,3/26/2026,1125.2,1130.0,1125.2,1126.0,0.07,50.0,1200.0,1000.0
SHIVM,3/26/2026,698.0,708.9,691.0,706.0,1.15,404924.0,730.0,495.0
SHL,3/26/2026,512.0,522.2,509.0,519.1,1.39,125133.0,619.0,464.0
SHLB,3/26/2026,1690.0,1720.0,1683.0,1718.9,1.71,886.0,2349.0,1535.1
SHPC,3/26/2026,558.0,570.0,557.0,564.3,1.13,130394.0,684.9,459.0
SICL,3/26/2026,680.0,680.0,669.0,674.1,-0.87,8607.0,876.9,588.8
SIFC,3/26/2026,610.0,610.0,598.4,604.9,-0.84,13665.0,687.4,459.0
SIGS2,3/26/2026,10.17,10.37,10.17,10.18,0.1,10100.0,11.7,8.9
SIGS3,3/26/2026,10.5,10.71,10.5,10.55,0.48,5900.0,11.46,8.5
SIKLES,3/26/2026,635.0,653.8,625.3,649.0,2.2,37656.0,1180.0,540.0
SINDU,3/26/2026,850.0,850.0,829.0,833.0,-2.0,74271.0,1247.0,608.0
SJCL,3/26/2026,345.9,358.0,345.9,352.0,1.76,157138.0,365.0,267.0
SJLIC,3/26/2026,460.0,465.0,456.0,462.2,0.48,31619.0,489.9,390.0
SKBBL,3/26/2026,802.0,806.0,798.4,803.5,0.19,25683.0,999.0,752.0
SKHL,3/26/2026,326.3,363.0,326.3,363.0,11.25,130.0,363.0,300.0
SLBBL,3/26/2026,888.0,888.0,868.3,874.0,-1.58,14507.0,1155.0,780.0
SLBSL,3/26/2026,1386.0,1413.0,1280.0,1413.0,1.95,3359.0,2111.0,1234.5
SLCF,3/26/2026,10.09,10.09,9.93,9.94,-1.49,15300.0,11.99,8.6
SMATA,3/26/2026,851.1,865.0,849.0,865.0,1.63,11250.0,1382.0,734.1
SMB,3/26/2026,1930.0,1965.0,1930.0,1950.0,1.04,2306.0,2607.0,1710.1
SMFBS,3/26/2026,1745.4,1745.4,1678.0,1720.0,-1.46,2567.0,2026.0,1490.0
SMH,3/26/2026,640.5,647.0,635.0,643.0,0.39,33419.0,1024.8,603.0
SMHL,3/26/2026,557.0,557.0,545.2,553.3,-0.66,172033.0,1230.0,443.0
SMJC,3/26/2026,496.1,506.0,496.1,503.0,1.39,41334.0,679.3,464.0
SMPDA,3/26/2026,891.1,915.0,891.1,913.0,2.46,5238.0,1155.0,840.0
SNLI,3/26/2026,498.8,498.9,487.0,490.6,-1.64,30375.0,668.0,411.6
SOHL,3/26/2026,655.7,707.1,655.7,707.1,7.84,236950.0,707.1,300.0
SONA,3/26/2026,482.0,487.5,473.5,484.4,0.5,134416.0,523.3,398.0
SPC,3/26/2026,522.0,566.0,510.3,520.9,-0.21,20383.0,591.0,441.0
SPDL,3/26/2026,450.0,473.0,442.2,455.1,1.13,194971.0,474.0,308.9
SPHL,3/26/2026,566.4,573.0,566.1,568.0,0.28,8256.0,826.0,477.1
SPIL,3/26/2026,748.0,750.0,741.1,750.0,0.27,15181.0,894.5,625.0
SPL,3/26/2026,750.0,805.0,747.1,805.0,7.33,21752.0,1035.0,696.3
SRLI,3/26/2026,417.0,419.9,412.1,416.4,-0.14,58920.0,451.1,363.9
SSHL,3/26/2026,235.0,244.0,235.0,243.9,3.79,503513.0,313.8,151.0
STC,3/26/2026,6100.0,6100.0,6032.0,6060.0,-0.66,511.0,6335.9,4832.0
SWASTIK,3/26/2026,2850.0,2900.0,2850.0,2895.0,1.58,1011.0,3400.0,391.7
SWBBL,3/26/2026,803.0,803.0,774.3,788.0,-1.87,10926.0,1046.5,718.0
SWMF,3/26/2026,719.0,723.0,708.1,723.0,0.56,11547.0,868.1,641.1
SWMFPO,3/26/2026,382.0,382.0,382.0,382.0,0.0,7000.0,399.0,250.0
SYPNL,3/26/2026,1940.0,2065.0,1940.0,2019.9,4.12,357168.0,2255.9,319.8
TAMOR,3/26/2026,470.0,470.0,456.0,467.0,-0.64,271739.0,576.0,396.4
TPC,3/26/2026,414.9,415.0,407.0,411.3,-0.87,100395.0,616.0,270.1
TRH,3/26/2026,789.0,795.0,782.5,785.0,-0.51,1696.0,1105.0,681.1
TSHL,3/26/2026,751.0,759.0,739.0,750.0,-0.13,6894.0,989.0,616.8
TTL,3/26/2026,954.0,985.0,945.0,975.0,2.2,60186.0,1262.8,366.1
TVCL,3/26/2026,621.9,627.0,609.5,627.0,0.82,32038.0,689.0,377.6
UAIL,3/26/2026,491.0,498.0,486.0,495.0,0.81,24837.0,670.0,422.1
UHEWA,3/26/2026,625.0,625.0,615.0,623.6,-0.22,14533.0,779.9,508.5
ULBSL,3/26/2026,3220.0,3285.0,3182.0,3265.0,1.4,1278.0,4325.0,2931.0
ULHC,3/26/2026,555.0,557.9,545.0,556.0,0.18,29386.0,599.0,411.7
UMHL,3/26/2026,631.0,643.0,626.0,637.0,0.95,60100.0,706.0,430.5
UMRH,3/26/2026,578.0,580.0,572.0,575.0,-0.52,21872.0,675.0,526.0
UNHPL,3/26/2026,550.0,571.0,549.0,560.0,1.82,410553.0,571.0,299.7
UNL,3/26/2026,46490.1,46950.0,46490.1,46950.0,0.99,32.0,50724.0,45000.0
UNLB,3/26/2026,1925.0,1952.9,1895.0,1930.0,0.26,1166.0,2480.0,1810.0
UPCL,3/26/2026,401.8,418.0,401.8,417.0,3.78,274031.0,489.0,282.0
UPPER,3/26/2026,230.0,234.0,226.0,233.9,1.7,481909.0,242.6,166.0
USHEC,3/26/2026,509.3,521.0,508.0,518.0,1.71,34595.0,623.9,410.0
USHL,3/26/2026,715.2,739.9,715.1,737.0,3.05,5737.0,945.0,588.0
USLB,3/26/2026,1501.5,1517.5,1496.0,1510.0,0.57,1655.0,2750.0,1393.0
VLBS,3/26/2026,810.0,820.0,805.0,820.0,1.23,20195.0,1008.0,737.0
VLUCL,3/26/2026,576.2,586.0,572.0,584.8,1.49,3479.0,699.0,516.0
WNLB,3/26/2026,1630.0,1723.0,1630.0,1662.0,1.96,1186.0,3562.0,1242.1
