Symbol,Score,Signal,Close,RSI,Trend,52W_Position_%,Volume_Ratio,Momentum_5D_%,Factors
LICN,5,NEUTRAL,837.0,26.3,DOWN,11.3,0.33,-1.3,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
JLI,5,NEUTRAL,351.9,25.1,DOWN,2.5,0.08,-2.8,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
GRDBL,5,NEUTRAL,1090.9,30.0,DOWN,13.4,0.43,-3.2,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
SHL,5,NEUTRAL,491.0,25.4,DOWN,14.2,0.64,-1.4,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
PRVU,5,NEUTRAL,183.2,26.0,DOWN,3.1,0.5,-1.0,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
SFCL,5,NEUTRAL,387.0,30.0,DOWN,5.0,0.6,-1.1,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
NMB,5,NEUTRAL,235.0,26.6,DOWN,5.6,0.73,0.3,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
RLI,5,NEUTRAL,387.0,38.2,DOWN,26.4,1.68,-2.0,"Low_RSI, Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle, High_Volume"
RURU,5,NEUTRAL,654.0,28.8,DOWN,2.2,1.17,-2.4,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
OHL,0,NEUTRAL,699.0,35.1,DOWN,9.1,0.64,-2.5,"Low_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
NCCB,0,NEUTRAL,189.0,61.4,DOWN,8.9,1.7,5.9,"Strong_Downtrend, Below_200SMA, Near_52W_Low, High_Volume, Positive_5D_Momentum"
GBIME,0,NEUTRAL,224.2,20.8,DOWN,18.8,0.33,-0.7,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
ADBL,0,NEUTRAL,297.0,24.5,DOWN,31.0,1.91,0.3,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Below_BB_Middle, High_Volume"
CHCL,0,NEUTRAL,470.0,36.1,DOWN,5.1,0.93,0.0,"Low_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
NBL,0,NEUTRAL,243.5,29.9,DOWN,17.3,0.84,-0.5,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
NLIC,0,NEUTRAL,751.0,15.5,DOWN,24.9,0.98,-1.9,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
NIFRA,0,NEUTRAL,259.6,29.5,DOWN,20.6,0.66,-1.3,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
HPPL,0,NEUTRAL,469.0,21.6,DOWN,24.2,0.21,-0.8,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
MLBL,0,NEUTRAL,367.0,31.3,DOWN,11.0,0.28,-0.8,"Low_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
RRHP,0,NEUTRAL,563.9,50.6,DOWN,72.2,1.13,10.6,"Strong_Downtrend, Above_200SMA, Positive_5D_Momentum"
NICA,0,NEUTRAL,325.9,25.1,DOWN,17.2,0.25,-0.9,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
NHDL,0,NEUTRAL,654.0,33.7,DOWN,4.9,0.44,-2.2,"Low_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
NLICL,-5,NEUTRAL,579.9,34.9,DOWN,20.4,0.66,-1.2,"Low_RSI, Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
MEN,-5,NEUTRAL,579.0,33.1,DOWN,28.9,0.63,-1.0,"Low_RSI, Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
BOKL,-5,NEUTRAL,207.3,62.9,DOWN,4.5,3.21,-0.8,"Strong_Downtrend, Below_200SMA, Near_52W_Low, High_Volume"
NIB,-5,NEUTRAL,251.0,76.1,DOWN,11.8,3.07,7.2,"Overbought_RSI, Strong_Downtrend, Below_200SMA, Near_52W_Low, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
SHINE,-5,NEUTRAL,406.9,39.7,DOWN,16.9,0.95,0.3,"Low_RSI, Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
UMRH,-10,NEUTRAL,560.0,42.3,DOWN,10.9,0.25,-0.7,"Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
LBL,-10,NEUTRAL,173.0,50.4,DOWN,7.8,0.72,1.3,"Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
CBL,-10,NEUTRAL,214.0,41.7,DOWN,22.0,1.36,-1.7,"Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle, Above_Avg_Volume"
BPCL,-10,NEUTRAL,706.2,24.6,DOWN,49.6,0.32,-5.0,"Oversold_RSI, Strong_Downtrend, Below_200SMA, Below_BB_Middle"
SRBL,-10,NEUTRAL,173.1,51.6,DOWN,9.3,1.07,3.0,"Strong_Downtrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
KPCL,-15,NEUTRAL,528.0,41.2,DOWN,15.1,0.24,-3.1,"Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
SAHAS,-15,NEUTRAL,557.0,34.6,DOWN,41.0,1.15,-1.4,"Low_RSI, Strong_Downtrend, Below_200SMA, Below_BB_Middle"
SLI,-15,NEUTRAL,396.8,40.1,DOWN,26.6,0.53,-0.3,"Strong_Downtrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
