Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
ENL,Emerging Nepal Limited,Organized Fund,969.00,5.38 Ar,-0.51%,+0.97%,+6.02%,+8.06%,-12.27%,+243.25%,6.15,157.6,8.77,20292.62,513.66,"+3,850.59%",18641.74,-1501.87,"-1,341.23%",17080.73,-1894.32,"-1,001.68%",6.15,-1.36,-550.84%,110.46,108.52,+1.78%,655883.56,611043.45,+7.34%,42188.83,8096.1,+421.10%,555600.0,555600.0,0.00%,58094.73,47347.34,+22.70%,0.0557,0.0687
FMDBL,First Micro Finance Development Bank,Microcredit,888.40,11.95 Ar,-0.96%,+5.51%,+11.89%,+13.25%,+19.73%,+65.81%,10.47,84.84,6.92,200576.21,103271.27,+94.22%,97454.97,44841.81,+117.33%,70416.3,16840.53,+318.14%,10.47,5.01,+109.07%,128.31,132.54,-3.19%,5910806.41,5802112.17,+1.87%,4185174.24,4019557.44,+4.12%,1344871.32,1344871.32,0.00%,380760.84,437683.41,-13.01%,0.0816,2.4253
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,128.00",13.49 Ar,-0.18%,+1.81%,+7.43%,+4.64%,-3.22%,-18.35%,31.98,35.27,4.81,1437582.46,707666.54,+103.14%,719338.2,333955.37,+115.40%,191235.42,57153.55,+234.60%,31.98,19.12,+67.30%,234.69,271.79,-13.65%,22950518.41,22421067.17,+2.36%,20143743.79,19170597.3,+5.08%,1195953.71,1195953.71,0.00%,1610820.9,2054516.16,-21.60%,0.1363,7.1768
GBBD85,"Garima Debenture, 2085",Bond,"1,095.09",0.00,+0.44%,-1.87%,+2.63%,-0.75%,+5.70%,+9.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBBL,Garima Bikas Bank,Development Bank,428.00,24.31 Ar,0.00%,-1.38%,+6.23%,+12.04%,+18.21%,+114.76%,21.1,20.29,2.68,3842874.46,2053389.9,+87.15%,1880415.18,998594.65,+88.31%,635130.81,250575.27,+153.47%,21.1,17.64,+19.56%,159.59,166.38,-4.08%,104894583.9,104965367.9,-0.07%,95284856.42,95514005.41,-0.24%,6021348.37,5680517.33,+6.00%,3588379.13,3770845.14,-4.84%,0.1322,9.9155
GBBLPO,Garima Bikas Bank Promoter,Development Bank,242.00,0.00,0.00%,0.00%,0.00%,0.00%,+18.05%,+29.70%,21.1,20.29,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBIME,Global Ime Bank,Commercial Banks,254.80,97.12 Ar,+0.87%,+2.33%,+12.40%,+10.88%,+21.30%,-18.21%,17.06,14.93,1.45,20087055.0,10321005.0,+94.62%,8022317.0,4133063.0,+94.10%,3252116.0,1858651.0,+74.97%,17.06,19.51,-12.51%,175.29,179.5,-2.34%,748296592.0,729628550.0,+2.56%,681483217.0,661210840.0,+3.07%,38115853.0,38115853.0,0.00%,28697523.0,30301859.0,-5.29%,0.0973,10.1998
GBIMESY2,Global IME Sammunat Yojana -2,Mutual Fund,9.69,1.46 Ar,-1.42%,+3.19%,+4.08%,+4.75%,-3.00%,-3.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBLBS,Grameen Bikas Laghubitta,Microcredit,814.00,8.00 Ar,+0.12%,+2.15%,+7.79%,-0.73%,+1.85%,-22.92%,43.75,18.61,2.93,1054426.94,527844.67,+99.76%,664280.66,335561.89,+97.96%,219906.87,122027.52,+80.21%,43.75,49.68,-11.94%,278.07,280.45,-0.85%,15398251.0,14400050.39,+6.93%,12602636.2,11644624.86,+8.23%,1005350.0,982500.0,+2.33%,1790264.8,1772925.53,+0.98%,0.1573,4.508
GCIL,Ghorahi Cement Industry Limited,Manufacturing And Processing,467.00,21.33 Ar,+1.15%,+3.52%,+12.53%,+11.46%,-3.24%,+16.20%,-10.54,-44.29,2.8,2098530.46,911970.83,+130.11%,422479.13,229569.77,+84.03%,-264902.71,-128020.83,+106.92%,-10.54,-11.21,-5.94%,166.58,186.38,-10.62%,21910646.41,22327733.14,-1.87%,13540668.26,13814362.99,-1.98%,5024454.27,4567685.7,+10.00%,3345523.88,3945684.45,-15.21%,-0.0633,1.6178
