Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Hydro Power,564.00,2.26 Ar,-1.23%,+7.47%,+28.47%,+28.47%,+3.83%,+115.51%,7.28,77.51,7.29,"50,819.91","1,43,781.60",-64.65%,"49,395.44","1,36,243.43",-63.74%,"7,518.32","-22,594.43",-133.28%,7.28,-5.47,-233.10%,77.35,74.66,+3.61%,"13,50,587.42","13,66,576.00",-1.17%,"10,30,876.55","10,57,996.27",-2.56%,"4,13,304.40","4,13,304.40",0.00%,"-93,593.53","-1,04,724.67",-10.63%
BNL,Bottlers Nepal (Balaju),Manufacturing And Processing,"15,900.70",30.99 Ar,+2.00%,+2.25%,-2.15%,0.00%,-9.68%,+742.68%,660.22,24.08,4.75,"36,98,179.00","1,09,60,792.00",-66.26%,"11,63,811.00","27,27,051.00",-57.32%,"3,21,676.00","-4,00,600.00",-180.30%,660.22,-205.55,-421.19%,"3,349.59","3,184.34",+5.19%,"1,42,39,690.00","1,33,59,703.00",+6.59%,"77,11,703.00","71,53,774.00",+7.80%,"1,94,889.00","1,94,889.00",0.00%,"63,33,098.00","60,11,040.00",+5.36%
BNT,Bottlers Nepal (Terai),Manufacturing And Processing,"11,772.00",14.24 Ar,+0.57%,-2.10%,-0.24%,+7.02%,-14.32%,+29.59%,905.30,13.00,3.75,"26,22,779.00","76,99,956.00",-65.94%,"9,33,024.00","17,41,008.00",-46.41%,"2,73,853.00","-6,07,572.00",-145.07%,905.30,-502.13,-280.29%,"3,141.86","2,920.77",+7.57%,"95,32,726.00","86,70,966.00",+9.94%,"57,31,081.00","51,36,829.00",+11.57%,"1,21,000.00","1,21,000.00",0.00%,"36,80,645.00","34,13,137.00",+7.84%
BPCL,Butwal Power,Hydro Power,754.00,25.70 Ar,-3.56%,-4.56%,+1.19%,-2.03%,+86.24%,+137.00%,9.95,75.78,3.51,"2,41,214.00","7,33,793.00",-67.13%,"1,34,450.00","3,12,107.00",-56.92%,"84,802.00","2,26,150.00",-62.50%,9.95,6.63,+49.99%,215.04,212.69,+1.10%,"83,36,439.00","81,41,520.00",+2.39%,"10,05,514.00","8,90,686.00",+12.89%,"34,09,065.00","34,09,065.00",0.00%,"39,21,860.00","38,41,769.00",+2.08%
BUNGAL,Bungal Hydro Limited,Hydro Power,702.00,5.83 Ar,-2.50%,-6.65%,+13.17%,+111.06%,+111.06%,+111.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C30MF,Citizens Super 30 Mutual Fund,Mutual Fund,9.63,72.29 Cr,+0.42%,+0.94%,-0.72%,+4.45%,+20.68%,+20.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBBL,Chhimek Laghubitta Bikas Bank,Microcredit,940.50,30.24 Ar,+0.48%,-3.04%,+0.91%,+7.29%,+23.78%,+34.13%,33.46,28.10,3.53,"16,51,153.23","61,22,253.02",-73.03%,"7,55,117.98","28,19,466.84",-73.22%,"2,69,002.80","12,12,874.50",-77.82%,33.46,37.72,-11.28%,266.18,257.54,+3.35%,"5,37,35,805.33","5,17,69,918.55",+3.80%,"4,51,77,284.70","4,34,89,078.88",+3.88%,"32,15,345.87","32,15,345.87",0.00%,"53,43,174.76","50,65,493.81",+5.48%
CCBD88,Century Debenture 2088,Bond,"1,204.00",2.65 Ar,+1.43%,+1.60%,-5.35%,-3.15%,+5.13%,+20.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFCL,Central Finance,Finance,560.00,5.31 Ar,-3.45%,-3.10%,+19.15%,+11.38%,+5.66%,+188.31%,8.26,67.79,4.93,"3,18,245.75","1,48,054.20",+114.95%,"1,02,505.20","37,701.33",+171.89%,"39,191.30","18,444.57",+112.48%,8.26,7.78,+6.24%,113.65,114.32,-0.58%,"95,61,730.99","91,64,863.95",+4.33%,"84,83,312.93","80,80,145.12",+4.99%,"9,48,875.46","9,48,875.46",0.00%,"1,29,542.60","1,35,843.37",-4.64%
CGH,Chandragiri Hills Limited,Hotels,866.00,13.29 Ar,-2.04%,-4.78%,+0.81%,-0.05%,-0.38%,+454.62%,-3.24,-267.16,8.11,"1,48,996.63","9,32,849.15",-84.03%,"50,933.28","5,39,041.22",-90.55%,"-12,431.73","2,10,895.50",-105.89%,-3.24,13.75,-123.58%,106.80,107.61,-0.75%,"37,48,301.63","37,01,440.77",+1.27%,"21,09,838.33","20,50,545.75",+2.89%,"15,34,091.00","15,34,091.00",0.00%,"1,04,372.30","1,16,804.03",-10.64%
CHCL,Chilime Hydropower,Hydro Power,470.10,41.29 Ar,-0.82%,-3.27%,-0.19%,+1.73%,-1.21%,+30.08%,9.38,50.14,3.55,"3,53,082.70","11,24,979.34",-68.61%,"2,69,080.99","8,58,545.77",-68.66%,"2,05,841.81","6,79,599.76",-69.71%,9.38,7.74,+21.15%,132.45,130.59,+1.42%,"1,21,42,825.57","1,18,64,367.36",+2.35%,"5,10,964.03","3,95,747.06",+29.11%,"87,82,396.92","87,82,396.92",0.00%,"28,49,464.62","26,86,223.38",+6.08%
CHDC,CEDB Holdings Limited,Organized Fund,"2,405.00",24.87 Ar,-2.04%,-1.96%,+7.22%,+2.87%,+21.83%,+548.87%,60.55,39.72,11.54,"1,60,927.48","6,08,464.23",-73.55%,"1,58,278.29","6,06,863.42",-73.92%,"1,56,563.73","5,73,502.14",-72.70%,60.55,55.45,+9.20%,208.39,193.25,+7.83%,"21,65,007.42","20,15,554.97",+7.41%,"9,766.24","16,877.52",-42.13%,"10,34,237.06","10,34,237.06",0.00%,"11,21,004.12","9,64,440.39",+16.23%
CHL,Chhyangdi Hydropower Ltd.,Hydro Power,283.00,2.19 Ar,-1.39%,-2.04%,+10.25%,+9.60%,+0.39%,+121.63%,9.93,28.51,3.32,"57,700.82","1,40,141.32",-58.83%,"49,246.52","1,08,830.01",-54.75%,"19,207.03","-49,710.31",-138.64%,9.93,-12.85,-177.28%,85.16,51.42,+65.63%,"13,66,572.42","13,18,838.67",+3.62%,"7,07,442.72","11,19,857.81",-36.83%,"7,73,955.00","3,86,977.50",+100.00%,"-1,14,825.30","-1,87,996.64",-38.92%
CIT,Citizen Investment Trust,Organized Fund,"1,764.10",114.34 Ar,-0.50%,-1.83%,+1.38%,-0.25%,-6.28%,-1.29%,19.40,90.94,4.28,"5,37,202.00","20,97,409.00",-74.39%,"4,58,525.00","20,38,776.00",-77.51%,"3,14,328.00","12,53,569.00",-74.93%,19.40,19.34,+0.30%,412.40,410.37,+0.49%,"31,91,55,681.00","31,10,66,708.00",+2.60%,"29,24,25,099.00","28,44,67,679.00",+2.80%,"64,81,712.00","64,81,712.00",0.00%,"2,02,48,869.00","2,01,17,316.00",+0.65%
CITY,City Hotel Limited,Hotels,482.00,8.07 Ar,-0.62%,-3.27%,+1.45%,-11.07%,-17.21%,+329.08%,-13.30,-36.25,3.54,"1,15,535.89","5,22,315.41",-77.88%,"24,284.01","1,50,265.43",-83.84%,"-55,652.16","-1,98,965.88",-72.03%,-13.30,-11.89,+11.88%,135.99,80.83,+68.24%,"59,08,122.77","55,60,623.70",+6.25%,"36,31,721.29","42,07,530.36",-13.69%,"16,74,000.00","16,74,000.00",0.00%,"6,02,401.47","-3,20,906.66",-287.72%
CKHL,Chirkhwa Hydropower Limited,Hydro Power,724.80,2.90 Ar,-3.32%,+1.17%,+8.99%,+17.34%,-18.84%,+119.64%,17.52,41.36,7.94,"47,273.92","1,18,463.10",-60.09%,"42,878.47","97,940.42",-56.22%,"17,524.30","-5,436.26",-422.36%,17.52,-1.36,"-1,389.44%",91.32,91.08,+0.26%,"11,95,412.61","11,96,615.48",-0.10%,"8,30,114.76","8,32,282.66",-0.26%,"4,00,000.00","4,00,000.00",0.00%,"-34,702.15","-35,667.18",-2.71%
CLI,Citizen Life Insurance Company Limited,Life Insurance,472.00,23.60 Ar,-0.44%,-2.07%,+1.07%,+3.63%,-16.28%,+43.31%,10.52,44.87,3.83,"27,15,163.01","91,98,427.38",-70.48%,"3,77,457.12","13,01,350.59",-70.99%,"1,31,489.59","4,25,013.15",-69.06%,10.52,8.50,+23.75%,148.93,148.71,+0.15%,"2,96,07,870.76","2,80,94,737.44",+5.39%,"2,21,61,432.32","2,06,59,315.50",+7.27%,"50,00,000.00","50,00,000.00",0.00%,"11,56,978.00","10,39,952.27",+11.25%
